Town name,BTO name,Project type,Launch date,Estimated completion date,Type,Total,Full brochure,Launch brochure,Notes & Errata
Bedok,Bayshore Palms,HS-BTO,16 Oct 2024,47 months,plus,710,"<a href=""/hdb-brochures/bto-2024-10/bayshore_palms.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bedok,Bayshore Vista,HS-BTO,16 Oct 2024,45 months,plus,734,"<a href=""/hdb-brochures/bto-2024-10/bayshore_vista.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Ang Mo Kio,Central Trio @ AMK,HS-BTO,16 Oct 2024,59 months,plus,422,"<a href=""/hdb-brochures/bto-2024-10/central_trio_@_amk.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Pasir Ris,Costa Riviera I & II,HS-BTO,16 Oct 2024,37 / 38 months,standard,767,"<a href=""/hdb-brochures/bto-2024-10/costa_riviera_I_II.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Kallang/Whampoa,Crawford Heights,HS-BTO,16 Oct 2024,50 months,PRIME,312,"<a href=""/hdb-brochures/bto-2024-10/crawford_heights.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Sengkang,Fernvale Oasis,HS-BTO,16 Oct 2024,33 months,standard,851,"<a href=""/hdb-brochures/bto-2024-10/fernvale_oasis.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Sengkang,Fernvale Sails,HS-BTO,16 Oct 2024,27 months,standard,545,"<a href=""/hdb-brochures/bto-2024-10/fernvale_sails.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Kallang/Whampoa,Kallang View,HS-BTO,16 Oct 2024,43 months,plus,271,"<a href=""/hdb-brochures/bto-2024-10/kallang_view.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bedok,Kembangan Wave,HS-BTO,16 Oct 2024,41 months,plus,348,"<a href=""/hdb-brochures/bto-2024-10/kembangan_wave.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Woodlands,Marsiling Ridge,HS-BTO,16 Oct 2024,43 months,standard,292,"<a href=""/hdb-brochures/bto-2024-10/marsiling_ridge.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Geylang,Merpati Alcove,HS-BTO,16 Oct 2024,44 months,plus,433,"<a href=""/hdb-brochures/bto-2024-10/merpati_alcove.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Jurong West,Taman Jurong Skyline,HS-BTO,16 Oct 2024,52 months,standard,1844,"<a href=""/hdb-brochures/bto-2024-10/taman_jurong_skyline.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Kallang/Whampoa,Towner Breeze,HS-BTO,16 Oct 2024,48 months,plus,355,"<a href=""/hdb-brochures/bto-2024-10/towner_breeze.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Bukit Batok,West BrickVille @ Bukit Batok,HS-BTO,16 Oct 2024,24 months,standard,689,"<a href=""/hdb-brochures/bto-2024-10/west_brickville_@_bukit_batok.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Yishun,Chencharu Hills,HS-BTO,19 Jun 2024,44 / 45 months,non-m,1277,"<a href=""/hdb-brochures/bto-2024-06/chencharu_hills.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Queenstown,Holland Vista,HS-BTO,19 Jun 2024,57 months,PLH,342,"<a href=""/hdb-brochures/bto-2024-06/holland_vista.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Woodlands,Marsiling Peak I & II,HS-BTO,19 Jun 2024,35 / 54 months,non-m,1609,"<a href=""/hdb-brochures/bto-2024-06/marsiling_peak_I_II.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
Tampines,Tampines GreenTopaz,HS-BTO,19 Jun 2024,37 months,mature,561,"<a href=""/hdb-brochures/bto-2024-06/tampines_greentopaz.pdf"" target=""_blank"" rel=""noreferrer noopener"">brochure</a>",,
