Year,Community Care,Studio Type 1,Studio Type 2,2-room Type 1,2-room Type 2,3-room,4-room,5-room,Exec,3gen,Number of units,Average flat size (sqm),Community care,Studio,2-room,3-room,4-room,5-room,3gen,,,,,,,
2001,,,,,,,1653,941,,,2594,1394.71,,,,,1653,941,,,,,,,,
2002,,,,,,,1466,,,,1466,1653.00,,,,,1466,,,,,,,,,
2003,,,,,,,2906,186,,,3092,1610.17,,,,,2906,186,,,,,,,,
2004,,,,,,290,3629,616,,,4535,1450.58,,,,290,3629,616,,,,,,,,
2005,,,,,,128,1115,,,,1243,1482.78,,,,128,1115,,,,,,,,,
2006,,58,118,,86,197,1898,,,,2357,1331.10,,176,86,197,1898,,,,,,,,,
2007,,30,60,,329,984,4499,14,,,5916,1259.30,,90,329,984,4499,14,,,,,,,,
2008,,60,104,,276,724,5578,1047,,,7789,1310.27,,164,276,724,5578,1047,,,,,,,,
2009,,221,238,,772,2082,4584,996,,,8893,957.45,,459,772,2082,4584,996,,,,,,,,
2010,,847,843,,1174,2807,7827,2907,,,16405,955.41,,1690,1174,2807,7827,2907,,,,,,,,
2011,,1283,1455,,855,4114,12061,5526,,,25294,993.79,,2738,855,4114,12061,5526,,,,,,,,
2012,,1057,1084,,424,4967,13648,5904,,,27084,1038.10,,2141,424,4967,13648,5904,,,,,,,,
2013,,525,544,395,1116,4981,12437,6039,,196,26233,1000.31,,1069,1511,4981,12437,6039,196,,,,,,,
2014,,338,372,1249,3782,4241,8769,3426,,332,22509,787.20,,710,5031,4241,8769,3426,332,,,,,,,
2015,,172,220,1060,3093,2054,6224,2019,,258,15100,807.16,,392,4153,2054,6224,2019,258,,,,,,,
2016,,,,1512,3556,2246,7444,2823,,310,17891,836.25,,,5068,2246,7444,2823,310,,,,,,,
2017,,,,1331,3292,2030,7284,3295,,352,17584,861.07,,,4623,2030,7284,3295,352,,,,,,,
2018,,,,1147,3047,1515,6858,3118,,126,15811,902.56,,,4194,1515,6858,3118,126,,,,,,,
2019,,,,1458,3716,1507,5038,2766,,106,14591,749.13,,,5174,1507,5038,2766,106,,,,,,,
2020,,,,948,2866,1706,8263,2924,,45,16752,979.60,,,3814,1706,8263,2924,45,,,,,,,
2021,169,,,900,2537,1794,8497,3212,,,16940,1007.56,169,,3437,1794,8497,3212,,,,,,,,
2022,245,,,1105,3293,3046,11185,4261,,39,22929,981.22,245,,4398,3046,11185,4261,39,,,,,,,
2023,250,,,721,2135,2289,13579,5017,,63,23804,1141.28,250,,2856,2289,13579,5017,63,,,,,,,
2024,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,
