Abb,Town,Total,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AMK,Ang Mo Kio,4569,0,0,0,0,0,0,0,0,0,0,256,1288,283,0,0,590,0,0,454,380,0,896,0,422
BD,Bedok,9244,0,0,0,0,0,0,0,0,0,0,129,1476,0,0,0,2012,0,0,0,0,0,0,2874,2753
BI,Bishan,2882,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,0,0,732,0
BB,Bukit Batok,16258,0,0,0,0,0,0,0,0,0,0,180,1232,3008,3498,2678,1655,1397,0,0,0,1131,790,0,689
BM,Bukit Merah,7189,0,0,0,0,0,0,400,0,0,0,0,910,1480,0,0,0,0,0,0,0,175,3320,904,0
BP,Bukit Panjang,7435,0,0,0,0,0,0,412,474,528,1318,1936,862,0,0,0,1571,0,0,0,0,0,0,334,0
BT,Bukit Timah,132,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0
CT,Central Area,2808,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,0,0
CCK,Choa Chu Kang,12864,0,0,0,0,0,0,0,452,0,592,0,5484,1650,0,126,0,0,574,0,571,68,987,1895,465
CL,Clementi,2950,0,0,0,0,0,0,0,0,0,0,0,962,0,0,385,0,1603,0,0,0,0,0,0,0
GE,Geylang,8059,0,0,0,0,0,447,0,0,0,0,0,975,0,0,750,0,2015,1193,0,421,1382,443,0,433
HG,Hougang,10343,0,0,0,0,0,0,0,0,0,699,1952,0,1916,1192,1488,711,0,0,0,0,2025,0,0,360
JE,Jurong East,1649,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,569,562,0,0
JW,Jurong West,11933,0,0,0,0,0,0,0,0,705,915,913,0,1816,1056,0,0,0,0,1374,0,221,1016,987,2930
KWN,Kallang/Whampoa,15587,0,0,0,0,0,0,0,0,0,0,0,2240,405,738,0,243,0,0,1438,0,1372,875,5275,3001
LCK,Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP,Marine Parade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR,Pasir Ris,3408,0,0,0,0,0,0,0,0,0,0,1571,0,0,0,0,0,0,0,0,1070,0,0,0,767
PG,Punggol,47889,0,1032,903,734,369,365,2594,4002,3508,4261,5340,3721,3338,3410,4117,2194,2203,2112,2724,0,0,0,0,962
QT,Queenstown,10879,0,0,0,0,0,0,0,0,1718,0,0,1179,0,0,0,0,0,0,0,0,610,4184,2595,593
SB,Sembawang,14708,857,0,879,0,0,471,0,0,424,432,578,0,2453,3248,1041,1822,0,310,0,2193,0,0,0,0
SK,Sengkang,38789,1737,434,1310,1953,874,898,2126,1043,1195,2891,7226,3436,2717,1014,1160,921,4007,1518,933,0,0,0,0,1396
SGN,Serangoon,480,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,330,0
TM,Tampines,22186,0,0,0,0,0,0,0,0,0,0,1631,964,424,1947,1216,2736,2830,3625,1306,2520,2159,267,0,561
TG,Tengah,22521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,5640,2623,3681,3350,5607,0
TP,Toa Payoh,5783,0,0,0,0,0,0,0,0,0,0,0,1443,0,557,0,0,0,542,0,2866,0,375,0,0
,Bidadari,7322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139,2612,1355,0,0,0,1216,0,0,0
WL,Woodlands,21387,0,0,0,0,0,0,0,382,815,2113,222,780,3029,2698,0,0,1418,629,722,2134,1540,630,1247,3028
YI,Yishun,26585,0,0,0,0,0,0,384,1436,0,3184,2842,0,3714,3001,0,824,756,3688,0,0,0,5479,0,1277
