Land Use,Region,Subzone,Planning Area,Geometry-Land Use,Geometry-Region,Geometry-Subzone,Geometry-Planning Area
BUSINESS 1,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 1,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 1,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 1,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 1,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
