End of Period / SORA Value Date,Month,Day,Date,3-Month US$ SIBOR
1990,Jan,02,02-Jan-1990,8.38
1990,Jan,03,03-Jan-1990,8.38
1990,Jan,04,04-Jan-1990,8.38
1990,Jan,05,05-Jan-1990,8.38
1990,Jan,08,08-Jan-1990,8.31
1990,Jan,09,09-Jan-1990,8.31
1990,Jan,10,10-Jan-1990,8.31
1990,Jan,11,11-Jan-1990,8.31
1990,Jan,12,12-Jan-1990,8.25
1990,Jan,15,15-Jan-1990,8.25
1990,Jan,16,16-Jan-1990,8.25
1990,Jan,17,17-Jan-1990,8.31
1990,Jan,18,18-Jan-1990,8.31
1990,Jan,19,19-Jan-1990,8.44
1990,Jan,22,22-Jan-1990,8.38
1990,Jan,23,23-Jan-1990,8.38
1990,Jan,24,24-Jan-1990,8.44
1990,Jan,25,25-Jan-1990,8.38
1990,Jan,26,26-Jan-1990,8.38
1990,Jan,30,30-Jan-1990,8.44
1990,Jan,31,31-Jan-1990,8.38
1990,Feb,01,01-Feb-1990,8.38
1990,Feb,02,02-Feb-1990,8.38
1990,Feb,05,05-Feb-1990,8.38
1990,Feb,06,06-Feb-1990,8.38
1990,Feb,07,07-Feb-1990,8.38
1990,Feb,08,08-Feb-1990,8.38
1990,Feb,09,09-Feb-1990,8.38
1990,Feb,12,12-Feb-1990,8.38
1990,Feb,13,13-Feb-1990,8.38
1990,Feb,14,14-Feb-1990,8.38
1990,Feb,15,15-Feb-1990,8.31
1990,Feb,16,16-Feb-1990,8.38
1990,Feb,19,19-Feb-1990,8.38
1990,Feb,20,20-Feb-1990,8.38
1990,Feb,21,21-Feb-1990,8.44
1990,Feb,22,22-Feb-1990,8.38
1990,Feb,23,23-Feb-1990,8.38
1990,Feb,26,26-Feb-1990,8.38
1990,Feb,27,27-Feb-1990,8.38
1990,Feb,28,28-Feb-1990,8.38
1990,Mar,01,01-Mar-1990,8.38
1990,Mar,02,02-Mar-1990,8.44
1990,Mar,05,05-Mar-1990,8.44
1990,Mar,06,06-Mar-1990,8.44
1990,Mar,07,07-Mar-1990,8.44
1990,Mar,08,08-Mar-1990,8.44
1990,Mar,09,09-Mar-1990,8.44
1990,Mar,12,12-Mar-1990,8.5
1990,Mar,13,13-Mar-1990,8.5
1990,Mar,14,14-Mar-1990,8.63
1990,Mar,15,15-Mar-1990,8.56
1990,Mar,16,16-Mar-1990,8.56
1990,Mar,19,19-Mar-1990,8.5
1990,Mar,20,20-Mar-1990,8.5
1990,Mar,21,21-Mar-1990,8.5
1990,Mar,22,22-Mar-1990,8.5
1990,Mar,23,23-Mar-1990,8.5
1990,Mar,26,26-Mar-1990,8.5
1990,Mar,27,27-Mar-1990,8.5
1990,Mar,28,28-Mar-1990,8.5
1990,Mar,29,29-Mar-1990,8.5
1990,Mar,30,30-Mar-1990,8.5
1990,Apr,02,02-Apr-1990,8.5
1990,Apr,03,03-Apr-1990,8.56
1990,Apr,04,04-Apr-1990,8.5
1990,Apr,05,05-Apr-1990,8.5
1990,Apr,06,06-Apr-1990,8.5
1990,Apr,09,09-Apr-1990,8.5
1990,Apr,10,10-Apr-1990,8.5
1990,Apr,11,11-Apr-1990,8.5
1990,Apr,12,12-Apr-1990,8.5
1990,Apr,16,16-Apr-1990,8.5
1990,Apr,17,17-Apr-1990,8.5
1990,Apr,18,18-Apr-1990,8.5
1990,Apr,19,19-Apr-1990,8.56
1990,Apr,20,20-Apr-1990,8.56
1990,Apr,23,23-Apr-1990,8.56
1990,Apr,24,24-Apr-1990,8.63
1990,Apr,25,25-Apr-1990,8.63
1990,Apr,27,27-Apr-1990,8.75
1990,Apr,30,30-Apr-1990,8.69
1990,May,02,02-May-1990,8.75
1990,May,03,03-May-1990,8.75
1990,May,04,04-May-1990,8.69
1990,May,07,07-May-1990,8.56
1990,May,08,08-May-1990,8.56
1990,May,10,10-May-1990,8.5
1990,May,11,11-May-1990,8.5
1990,May,14,14-May-1990,8.44
1990,May,15,15-May-1990,8.38
1990,May,16,16-May-1990,8.38
1990,May,17,17-May-1990,8.44
1990,May,18,18-May-1990,8.44
1990,May,21,21-May-1990,8.44
1990,May,22,22-May-1990,8.44
1990,May,23,23-May-1990,8.44
1990,May,24,24-May-1990,8.38
1990,May,25,25-May-1990,8.38
1990,May,28,28-May-1990,8.38
1990,May,29,29-May-1990,8.44
1990,May,30,30-May-1990,8.44
1990,May,31,31-May-1990,8.38
1990,Jun,01,01-Jun-1990,8.38
1990,Jun,04,04-Jun-1990,8.31
1990,Jun,05,05-Jun-1990,8.31
1990,Jun,06,06-Jun-1990,8.31
1990,Jun,07,07-Jun-1990,8.38
1990,Jun,08,08-Jun-1990,8.38
1990,Jun,11,11-Jun-1990,8.31
1990,Jun,12,12-Jun-1990,8.31
1990,Jun,13,13-Jun-1990,8.38
1990,Jun,14,14-Jun-1990,8.31
1990,Jun,15,15-Jun-1990,8.31
1990,Jun,18,18-Jun-1990,8.31
1990,Jun,19,19-Jun-1990,8.31
1990,Jun,20,20-Jun-1990,8.31
1990,Jun,21,21-Jun-1990,8.38
1990,Jun,22,22-Jun-1990,8.38
1990,Jun,25,25-Jun-1990,8.38
1990,Jun,26,26-Jun-1990,8.38
1990,Jun,27,27-Jun-1990,8.44
1990,Jun,28,28-Jun-1990,8.44
1990,Jun,29,29-Jun-1990,8.38
1990,Jul,02,02-Jul-1990,8.38
1990,Jul,04,04-Jul-1990,8.31
1990,Jul,05,05-Jul-1990,8.31
1990,Jul,06,06-Jul-1990,8.31
1990,Jul,09,09-Jul-1990,8.38
1990,Jul,10,10-Jul-1990,8.38
1990,Jul,11,11-Jul-1990,8.38
1990,Jul,12,12-Jul-1990,8.38
1990,Jul,13,13-Jul-1990,8.31
1990,Jul,16,16-Jul-1990,8.19
1990,Jul,17,17-Jul-1990,8.19
1990,Jul,18,18-Jul-1990,8.19
1990,Jul,19,19-Jul-1990,8.19
1990,Jul,20,20-Jul-1990,8.19
1990,Jul,23,23-Jul-1990,8.13
1990,Jul,24,24-Jul-1990,8.13
1990,Jul,25,25-Jul-1990,8.13
1990,Jul,26,26-Jul-1990,8.13
1990,Jul,27,27-Jul-1990,8.13
1990,Jul,30,30-Jul-1990,8.13
1990,Jul,31,31-Jul-1990,8
1990,Aug,01,01-Aug-1990,7.94
1990,Aug,02,02-Aug-1990,7.94
1990,Aug,03,03-Aug-1990,8.06
1990,Aug,06,06-Aug-1990,7.94
1990,Aug,07,07-Aug-1990,8
1990,Aug,08,08-Aug-1990,8.06
1990,Aug,10,10-Aug-1990,8.06
1990,Aug,13,13-Aug-1990,8
1990,Aug,14,14-Aug-1990,8
1990,Aug,15,15-Aug-1990,8
1990,Aug,16,16-Aug-1990,8
1990,Aug,17,17-Aug-1990,8.13
1990,Aug,20,20-Aug-1990,8.19
1990,Aug,21,21-Aug-1990,8.19
1990,Aug,22,22-Aug-1990,8.19
1990,Aug,23,23-Aug-1990,8.25
1990,Aug,24,24-Aug-1990,8.31
1990,Aug,27,27-Aug-1990,8.31
1990,Aug,28,28-Aug-1990,8.19
1990,Aug,29,29-Aug-1990,8.19
1990,Aug,30,30-Aug-1990,8.19
1990,Aug,31,31-Aug-1990,8.13
1990,Sep,03,03-Sep-1990,8.13
1990,Sep,04,04-Sep-1990,8.06
1990,Sep,05,05-Sep-1990,8.13
1990,Sep,06,06-Sep-1990,8.06
1990,Sep,07,07-Sep-1990,8.06
1990,Sep,10,10-Sep-1990,8.13
1990,Sep,11,11-Sep-1990,8.13
