Year,Month,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,3-Month US$ SIBOR,HDB Interest Rate
1990,Jan,,,,8.35,2.6
1990,Feb,,,,8.3795,2.6
1990,Mar,,,,8.4895,2.6
1990,Apr,,,,8.5495,2.6
1990,May,,,,8.4814,2.6
1990,Jun,,,,8.3524,2.6
1990,Jul,,,,8.2319,2.6
1990,Aug,,,,8.1032,2.6
1990,Sep,,,,8.2055,2.6
1990,Oct,,,,8.1968,2.6
1990,Nov,,,,8.1855,2.6
1990,Dec,,,,8.0035,2.6
1991,Jan,,,,7.4059,2.6
1991,Feb,,,,6.7558,2.6
1991,Mar,,,,6.623,2.6
1991,Apr,,,,6.261,2.6
1991,May,,,,6.06,2.6
1991,Jun,,,,6.2116,2.6
1991,Jul,,,,6.1796,2.6
1991,Aug,,,,5.7919,2.6
1991,Sep,,,,5.6281,2.6
1991,Oct,,,,5.4848,2.6
1991,Nov,,,,5.0785,2.6
1991,Dec,,,,4.65,2.6
1992,Jan,,,,4.1918,2.6
1992,Feb,,,,4.2022,2.6
1992,Mar,,,,4.4014,2.6
1992,Apr,,,,4.1935,2.6
1992,May,,,,4.0147,2.6
1992,Jun,,,,4.0352,2.6
1992,Jul,,,,3.5578,2.6
1992,Aug,,,,3.488,2.6
1992,Sep,,,,3.3214,2.6
1992,Oct,,,,3.4448,2.6
1992,Nov,,,,3.8376,2.6
1992,Dec,,,,3.7318,2.6
1993,Jan,,,,3.4174,2.6
1993,Feb,,,,3.312,2.6
1993,Mar,,,,3.3077,2.6
1993,Apr,,,,3.2471,2.6
1993,May,,,,3.26,2.6
1993,Jun,,,,3.3552,2.6
1993,Jul,,,,3.305,2.6
1993,Aug,,,,3.2671,2.6
1993,Sep,,,,3.2209,2.6
1993,Oct,,,,3.3943,2.6
1993,Nov,,,,3.5,2.6
1993,Dec,,,,3.4039,2.6
1994,Jan,,,,3.2867,2.6
1994,Feb,,,,3.5694,2.6
1994,Mar,,,,3.89,2.6
1994,Apr,,,,4.125,2.6
1994,May,,,,4.644,2.6
1994,Jun,,,,4.5832,2.6
1994,Jul,,,,4.8257,2.6
1994,Aug,,,,4.9159,2.6
1994,Sep,,,,5.125,2.6
1994,Oct,,,,5.63,2.6
1994,Nov,,,,5.9014,2.6
1994,Dec,,,,6.3924,2.6
1995,Jan,,,,6.341,2.6
1995,Feb,,,,6.27,2.6
1995,Mar,,,,6.2691,2.6
1995,Apr,,,,6.2342,2.6
1995,May,,,,6.141,2.6
1995,Jun,,,,6.0227,2.6
1995,Jul,,,,5.9095,2.6
1995,Aug,,,,5.9727,2.6
1995,Sep,,,,6.0629,2.6
1995,Oct,,,,6.269,2.6
1995,Nov,,,,6.1732,2.6
1995,Dec,,,,5.9235,2.6
1996,Jan,,,,5.6777,2.6
1996,Feb,,,,5.4161,2.6
1996,Mar,,,,5.5829,2.6
1996,Apr,,,,5.599,2.6
1996,May,,,,5.5733,2.6
1996,Jun,,,,5.676,2.6
1996,Jul,,,,5.7604,2.6
1996,Aug,,,,5.6429,2.6
1996,Sep,,,,5.7357,2.6
1996,Oct,,,,5.6457,2.6
1996,Nov,,,,5.6055,2.6
1996,Dec,,,,5.731,2.6
1997,Jan,,,,5.7014,2.6
1997,Feb,,,,5.6494,2.6
1997,Mar,,,,5.7765,2.6
1997,Apr,,,,5.9457,2.6
1997,May,,,,5.919,2.6
1997,Jun,,,,5.8971,2.6
1997,Jul,,,,5.8361,2.6
1997,Aug,,,,5.8071,2.6
1997,Sep,,,,5.7991,2.6
1997,Oct,,,,5.825,2.6
1997,Nov,,,,6.251,2.6
1997,Dec,,,,6.2955,2.6
1998,Jan,,,,6.1683,2.6
1998,Feb,,,,5.8575,2.6
1998,Mar,,,,5.7959,2.6
1998,Apr,,,,5.817,2.6
1998,May,,,,5.8847,2.6
1998,Jun,,,,5.9309,2.6
1998,Jul,,,,5.86,2.6
1998,Aug,,,,5.8925,2.6
1998,Sep,,,,5.7314,2.6
1998,Oct,,,,5.5167,2.6
1998,Nov,,,,5.4029,2.6
1998,Dec,,,,5.2845,2.6
1999,Jan,,,,5.2105,2.6
1999,Feb,,,,5.0361,2.6
1999,Mar,,,,5.0095,2.6
1999,Apr,,,,4.98,2.6
1999,May,,,,4.9871,2.6
1999,Jun,,,,5.1909,2.6
1999,Jul,,,,5.3195,2.6
1999,Aug,,,,5.479,2.6
1999,Sep,,,,5.5441,2.6
1999,Oct,,,,6.0367,2.6
1999,Nov,,,,6.1362,2.6
1999,Dec,,,,6.1755,2.6
2000,Jan,,,,6.0357,2.6
2000,Feb,,,,6.098,2.6
2000,Mar,,,,6.1905,2.6
2000,Apr,,,,6.3047,2.6
2000,May,,,,6.7462,2.6
2000,Jun,,,,6.7886,2.6
2000,Jul,,,,6.7314,2.6
2000,Aug,,,,6.7014,2.6
2000,Sep,,,,6.671,2.6
2000,Oct,,,,6.7776,2.6
2000,Nov,,,,6.75,2.6
2000,Dec,,,,6.5484,2.6
2001,Jan,,,,5.7195,2.6
2001,Feb,,,,5.354,2.6
2001,Mar,,,,4.9619,2.6
2001,Apr,,,,4.6225,2.6
2001,May,,,,4.0833,2.6
