school_name,lat,long
ANDERSON SERANGOON JUNIOR COLLEGE,1.3650925,103.8878158
ANGLO-CHINESE JUNIOR COLLEGE,1.3031354,103.785109
ANGLO-CHINESE SCHOOL (JUNIOR),1.3090345,103.8416385
CATHOLIC JUNIOR COLLEGE,1.3249907,103.8354662
EUNOIA JUNIOR COLLEGE,1.3626165,103.8394527
JURONG PIONEER JUNIOR COLLEGE,1.3847446,103.753857
MONTFORT JUNIOR SCHOOL,1.373863,103.8895082
NANYANG JUNIOR COLLEGE,1.3503224,103.8664323
NATIONAL JUNIOR COLLEGE,1.330476,103.8045
ST. ANDREW'S JUNIOR COLLEGE,1.333255,103.8631819
ST. ANDREW'S JUNIOR SCHOOL,1.3309872,103.8652758
ST. JOSEPH'S INSTITUTION JUNIOR,1.3173615,103.8454801
TAMPINES MERIDIAN JUNIOR COLLEGE,1.3766538,103.9372656
TEMASEK JUNIOR COLLEGE,1.3572944,103.9561855
VICTORIA JUNIOR COLLEGE,1.3060699,103.9198719
YISHUN INNOVA JUNIOR COLLEGE,1.4252209,103.8311055
HWA CHONG INSTITUTION,1.3261287,103.803582
RAFFLES INSTITUTION,1.3466071,103.843095
YISHUN INNOVA JUNIOR COLLEGE,1.425226683,103.831103
