school_name,lat,long
ADMIRALTY PRIMARY SCHOOL,1.4430452,103.8003087
AHMAD IBRAHIM PRIMARY SCHOOL,1.4337349,103.8327825
ALEXANDRA PRIMARY SCHOOL,1.2912575,103.8237619
ANCHOR GREEN PRIMARY SCHOOL,1.3908643,103.8871175
ANDERSON PRIMARY SCHOOL,1.3840518,103.8413617
ANG MO KIO PRIMARY SCHOOL,1.3693482,103.8398126
ANGLO-CHINESE SCHOOL (PRIMARY),1.3187555,103.8358322
ANGSANA PRIMARY SCHOOL,1.3629146,103.9389934
BEACON PRIMARY SCHOOL,1.3839141,103.7736916
BEDOK GREEN PRIMARY SCHOOL,1.3242773,103.9375185
BENDEMEER PRIMARY SCHOOL,1.322193,103.8650825
BLANGAH RISE PRIMARY SCHOOL,1.2763845,103.8093313
BOON LAY GARDEN PRIMARY SCHOOL,1.3434436,103.712979
BUKIT PANJANG PRIMARY SCHOOL,1.3735964,103.7695266
BUKIT TIMAH PRIMARY SCHOOL,1.3373813,103.7667738
BUKIT VIEW PRIMARY SCHOOL,1.3461955,103.7537972
CANBERRA PRIMARY SCHOOL,1.4505141,103.8156974
CANOSSA CATHOLIC PRIMARY SCHOOL,1.3262861,103.8817743
CANTONMENT PRIMARY SCHOOL,1.2754926,103.8399129
CASUARINA PRIMARY SCHOOL,1.3725006,103.9570205
CEDAR PRIMARY SCHOOL,1.335401,103.8758022
CHANGKAT PRIMARY SCHOOL,1.340245,103.9522864
CHIJ (KATONG) PRIMARY,1.3064102,103.9109673
CHIJ PRIMARY (TOA PAYOH),1.3333971,103.8425739
CHONGZHENG PRIMARY SCHOOL,1.3508639,103.9512472
CHUA CHU KANG PRIMARY SCHOOL,1.3778193,103.7423121
CLEMENTI PRIMARY SCHOOL,1.3153018,103.7632831
COMPASSVALE PRIMARY SCHOOL,1.3945602,103.8980513
CONCORD PRIMARY SCHOOL,1.380347,103.7363383
CORPORATION PRIMARY SCHOOL,1.3514322,103.7076403
DAMAI PRIMARY SCHOOL,1.3356727,103.9211476
DAZHONG PRIMARY SCHOOL,1.35922,103.7479191
EAST SPRING PRIMARY SCHOOL,1.3529446,103.9618398
EDGEFIELD PRIMARY SCHOOL,1.4004367,103.9076926
ELIAS PARK PRIMARY SCHOOL,1.3749538,103.9452385
ENDEAVOUR PRIMARY SCHOOL,1.4545646,103.8171781
EVERGREEN PRIMARY SCHOOL,1.444082,103.795038
FAIRFIELD METHODIST SCHOOL (PRIMARY),1.3005321,103.7848697
FARRER PARK PRIMARY SCHOOL,1.312316,103.850874
FENGSHAN PRIMARY SCHOOL,1.3298137,103.93195
FERN GREEN PRIMARY SCHOOL,1.3975342,103.8798637
FERNVALE PRIMARY SCHOOL,1.3900136,103.8741783
FIRST TOA PAYOH PRIMARY SCHOOL,1.3402883,103.8555874
FRONTIER PRIMARY SCHOOL,1.336807,103.6994043
FUCHUN PRIMARY SCHOOL,1.4304356,103.7781651
FUHUA PRIMARY SCHOOL,1.3363949,103.7368184
GAN ENG SENG PRIMARY SCHOOL,1.2854763,103.8149056
GEYLANG METHODIST SCHOOL (PRIMARY),1.3181599,103.8838404
GONGSHANG PRIMARY SCHOOL,1.3571755,103.9491666
GREENDALE PRIMARY SCHOOL,1.3962652,103.9127224
GREENRIDGE PRIMARY SCHOOL,1.3856591,103.7679301
GREENWOOD PRIMARY SCHOOL,1.4397028,103.8049819
HENRY PARK PRIMARY SCHOOL,1.3167825,103.7841363
