school_name,lat,long
ADMIRALTY SECONDARY SCHOOL,1.4462673,103.8026082
AHMAD IBRAHIM SECONDARY SCHOOL,1.4364306,103.8299804
ANDERSON SECONDARY SCHOOL,1.3751207,103.8515701
ANG MO KIO SECONDARY SCHOOL,1.3672319,103.8426326
BARTLEY SECONDARY SCHOOL,1.3402886,103.8828396
BEATTY SECONDARY SCHOOL,1.3416799,103.8518807
BEDOK GREEN SECONDARY SCHOOL,1.3341416,103.935336
BEDOK SOUTH SECONDARY SCHOOL,1.325871,103.9508335
BEDOK VIEW SECONDARY SCHOOL,1.3246274,103.9438629
BENDEMEER SECONDARY SCHOOL,1.3245163,103.8605913
BOON LAY SECONDARY SCHOOL,1.343319,103.7019012
BOWEN SECONDARY SCHOOL,1.3706875,103.877572
BROADRICK SECONDARY SCHOOL,1.3072755,103.8872129
BUKIT BATOK SECONDARY SCHOOL,1.3483821,103.7401883
BUKIT MERAH SECONDARY SCHOOL,1.2857966,103.812824
BUKIT VIEW SECONDARY SCHOOL,1.3460903,103.752164
CANBERRA SECONDARY SCHOOL,1.4537005,103.8141663
CEDAR GIRLS' SECONDARY SCHOOL,1.3342298,103.8744464
CHANGKAT CHANGI SECONDARY SCHOOL,1.3410453,103.9528122
CHIJ SECONDARY (TOA PAYOH),1.332431,103.8432942
CHRIST CHURCH SECONDARY SCHOOL,1.4263994,103.7934218
CHUA CHU KANG SECONDARY SCHOOL,1.3834832,103.7515449
CLEMENTI TOWN SECONDARY SCHOOL,1.3154596,103.7622755
COMMONWEALTH SECONDARY SCHOOL,1.318987,103.7456026
COMPASSVALE SECONDARY SCHOOL,1.3960452,103.9002456
CREST SECONDARY SCHOOL,1.3433526,103.7428662
DAMAI SECONDARY SCHOOL,1.33838,103.9263581
DEYI SECONDARY SCHOOL,1.366291,103.8526883
DUNEARN SECONDARY SCHOOL,1.363167,103.7445869
DUNMAN SECONDARY SCHOOL,1.3610555,103.9559258
EAST SPRING SECONDARY SCHOOL,1.3568208,103.9607517
EDGEFIELD SECONDARY SCHOOL,1.4002914,103.9021546
EVERGREEN SECONDARY SCHOOL,1.4415377,103.7936021
FAIRFIELD METHODIST SCHOOL (SECONDARY),1.301545,103.7845145
FUHUA SECONDARY SCHOOL,1.3474524,103.7265396
GEYLANG METHODIST SCHOOL (SECONDARY),1.3181272,103.8828971
GREENDALE SECONDARY SCHOOL,1.3974817,103.9120177
GREENRIDGE SECONDARY SCHOOL,1.3754112,103.7644315
GUANGYANG SECONDARY SCHOOL,1.344693,103.850566
HILLGROVE SECONDARY SCHOOL,1.3537023,103.7532001
HOUGANG SECONDARY SCHOOL,1.3781206,103.8812046
HUA YI SECONDARY SCHOOL,1.3522705,103.7216407
JUNYUAN SECONDARY SCHOOL,1.3533278,103.9335232
JURONG SECONDARY SCHOOL,1.330365,103.724282
JURONG WEST SECONDARY SCHOOL,1.3358625,103.7016785
JURONGVILLE SECONDARY SCHOOL,1.3516392,103.7291022
JUYING SECONDARY SCHOOL,1.3392826,103.687185
KENT RIDGE SECONDARY SCHOOL,1.3013766,103.7649426
KRANJI SECONDARY SCHOOL,1.3906192,103.7415227
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,1.349824,103.8549463
LOYANG VIEW SECONDARY SCHOOL,1.3668644,103.9568413
MANJUSRI SECONDARY SCHOOL,1.3275247,103.901507
MARSILING SECONDARY SCHOOL,1.4381054,103.7763303
MAYFLOWER SECONDARY SCHOOL,1.3687527,103.835656
MERIDIAN SECONDARY SCHOOL,1.3675302,103.9492665
METHODIST GIRLS' SCHOOL (SECONDARY),1.3329949,103.783453
MONTFORT SECONDARY SCHOOL,1.3741106,103.8887182
NAVAL BASE SECONDARY SCHOOL,1.4186356,103.8310575
NEW TOWN SECONDARY SCHOOL,1.3100184,103.7731811
NGEE ANN SECONDARY SCHOOL,1.3544373,103.9569646
NORTH VISTA SECONDARY SCHOOL,1.3815792,103.8988936
NORTHBROOKS SECONDARY SCHOOL,1.4210901,103.8451567
NORTHLAND SECONDARY SCHOOL,1.4358326,103.8401937
ORCHID PARK SECONDARY SCHOOL,1.4152284,103.8380148
OUTRAM SECONDARY SCHOOL,1.286507,103.837091
PASIR RIS CREST SECONDARY SCHOOL,1.3728817,103.959416
PASIR RIS SECONDARY SCHOOL,1.3548646,103.9485724
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.3511063,103.884904
PEI HWA SECONDARY SCHOOL,1.3907202,103.8787946
PEICAI SECONDARY SCHOOL,1.3586499,103.8705579
PEIRCE SECONDARY SCHOOL,1.3663952,103.8298414
PUNGGOL SECONDARY SCHOOL,1.4022738,103.9090934
QUEENSTOWN SECONDARY SCHOOL,1.2937568,103.8131978
