school_name,lat,long
NATIONAL UNIVERSITY OF SINGAPORE,1.2976,103.7767
NANYANG TECHNOLOGICAL UNIVERSITY,1.3483099,103.6831347
SINGAPORE MANAGEMENT UNIVERSITY,1.2963,103.8502
SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,1.328590208,103.7763628
SINGAPORE INSTITUTE OF TECHNOLOGY (SINGAPORE POLYTECHNIC),1.30041721,103.7804558
SINGAPORE INSTITUTE OF TECHNOLOGY (NANYANG POLYTECHNIC),1.377436122,103.8487848
SINGAPORE INSTITUTE OF TECHNOLOGY (NGEE ANN POLYTECHNIC),1.334195061,103.7744397
SINGAPORE INSTITUTE OF TECHNOLOGY (TEMASEK POLYTECHNIC),1.343464412,103.9321002
SINGAPORE INSTITUTE OF TECHNOLOGY (REPUBLIC POLYTECHNIC),1.444488301,103.7837468
SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,1.341255727,103.9637581
LASALLE COLLEGE OF THE ARTS,1.3028,103.8517
NANYANG ACADEMY OF FINE ARTS,1.3,103.8518
