name,Latitude,Longitude,top_30,top_10,top_20,top_5,geometry,index_right,Name,Description,planning_area,region
ADMIRALTY PRIMARY SCHOOL,1.4430452,103.8003087,N,N,N,N,POINT (103.8003087 1.4430452),32,kml_33,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>WOODLANDS</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>WD</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>C93AEED43B7939D3</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Woodlands,North Region
AHMAD IBRAHIM PRIMARY SCHOOL,1.4337349,103.8327825,N,N,N,N,POINT (103.8327825 1.4337349),54,kml_55,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>YISHUN</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>YS</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>E56BC88A635A3D89</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Yishun,North Region
ALEXANDRA PRIMARY SCHOOL,1.2912575,103.8237619,N,N,N,N,POINT (103.8237619 1.2912575),3,kml_4,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>BUKIT MERAH</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>BM</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>CENTRAL REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>CR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>4850795BB0B6A4F7</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Bukit Merah,Central Region
ANCHOR GREEN PRIMARY SCHOOL,1.3908643,103.8871175,N,N,N,N,POINT (103.8871175 1.3908643),19,kml_20,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>SENGKANG</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>SE</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH-EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>3909BE3D6566DC6B</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Sengkang,North-East Region
ANDERSON PRIMARY SCHOOL,1.3840518,103.8413617,N,N,N,N,POINT (103.8413617 1.3840518),51,kml_52,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>ANG MO KIO</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>AM</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH-EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>88DAC92AEAF47E93</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Ang Mo Kio,North-East Region
ANG MO KIO PRIMARY SCHOOL,1.3693482,103.8398126,N,N,N,N,POINT (103.8398126 1.3693482),51,kml_52,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>ANG MO KIO</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>AM</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH-EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>88DAC92AEAF47E93</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Ang Mo Kio,North-East Region
ANGLO-CHINESE SCHOOL (PRIMARY),1.3187555,103.8358322,Y,N,N,N,POINT (103.8358322 1.3187555),24,kml_25,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>NOVENA</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>NV</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>CENTRAL REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>CR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>26D3DCBD67CE3F87</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Novena,Central Region
ANGSANA PRIMARY SCHOOL,1.3629146,103.9389934,N,N,N,N,POINT (103.9389934 1.3629146),46,kml_47,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>TAMPINES</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>TM</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>ER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>9988953DFA610218</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Tampines,East Region
BEACON PRIMARY SCHOOL,1.3839141,103.7736916,N,N,N,N,POINT (103.7736916 1.3839141),4,kml_5,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>BUKIT PANJANG</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>BP</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>WEST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>WR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>656F87D23D6DAB02</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Bukit Panjang,West Region
BEDOK GREEN PRIMARY SCHOOL,1.3242773,103.9375185,N,N,N,N,POINT (103.9375185 1.3242773),0,kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>BEDOK</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>BD</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>ER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>5F00E6FF084F3364</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Bedok,East Region
