name,Latitude,Longitude,geometry,index_right,Name,Description,planning_area,region
ADMIRALTY SECONDARY SCHOOL,1.4462673,103.8026082,POINT (103.8026082 1.4462673),32,kml_33,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>WOODLANDS</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>WD</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>C93AEED43B7939D3</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Woodlands,North Region
AHMAD IBRAHIM SECONDARY SCHOOL,1.4364306,103.8299804,POINT (103.8299804 1.4364306),54,kml_55,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>YISHUN</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>YS</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>E56BC88A635A3D89</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Yishun,North Region
ANDERSON SECONDARY SCHOOL,1.3751207,103.8515701,POINT (103.8515701 1.3751207),51,kml_52,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>ANG MO KIO</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>AM</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH-EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>88DAC92AEAF47E93</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Ang Mo Kio,North-East Region
ANG MO KIO SECONDARY SCHOOL,1.3672319,103.8426326,POINT (103.8426326 1.3672319),51,kml_52,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>ANG MO KIO</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>AM</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>NORTH-EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>NER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>88DAC92AEAF47E93</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Ang Mo Kio,North-East Region
BARTLEY SECONDARY SCHOOL,1.3402886,103.8828396,POINT (103.8828396 1.3402886),28,kml_29,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>TOA PAYOH</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>TP</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>CENTRAL REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>CR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>85DD6CFD19B09A35</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Toa Payoh,Central Region
BEATTY SECONDARY SCHOOL,1.3416799,103.8518807,POINT (103.8518807 1.3416799),28,kml_29,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>TOA PAYOH</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>TP</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>CENTRAL REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>CR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>85DD6CFD19B09A35</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Toa Payoh,Central Region
BEDOK GREEN SECONDARY SCHOOL,1.3341416,103.935336,POINT (103.935336 1.3341416),0,kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>BEDOK</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>BD</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>ER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>5F00E6FF084F3364</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Bedok,East Region
BEDOK SOUTH SECONDARY SCHOOL,1.325871,103.9508335,POINT (103.9508335 1.325871),0,kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>BEDOK</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>BD</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>ER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>5F00E6FF084F3364</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Bedok,East Region
BEDOK VIEW SECONDARY SCHOOL,1.3246274,103.9438629,POINT (103.9438629 1.3246274),0,kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>BEDOK</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>BD</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>EAST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>ER</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>5F00E6FF084F3364</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Bedok,East Region
BENDEMEER SECONDARY SCHOOL,1.3245163,103.8605913,POINT (103.8605913 1.3245163),21,kml_22,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>KALLANG</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>KL</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>CENTRAL REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>CR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>8805C45D2F327F92</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Kallang,Central Region
BOON LAY SECONDARY SCHOOL,1.343319,103.7019012,POINT (103.7019012 1.343319),12,kml_13,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>PLN_AREA_N</th> <td>JURONG WEST</td> </tr><tr bgcolor=""""> <th>PLN_AREA_C</th> <td>JW</td> </tr><tr bgcolor=""#E3E3F3""> <th>CA_IND</th> <td>N</td> </tr><tr bgcolor=""""> <th>REGION_N</th> <td>WEST REGION</td> </tr><tr bgcolor=""#E3E3F3""> <th>REGION_C</th> <td>WR</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>2DFF32E53038ED97</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20191223152014</td> </tr></table></center>",Jurong West,West Region
