Year,Region,Gender,Category,Attribute,Value
1/1/2000,WEST REGION,male,marital_status,,
1/1/2000,WEST REGION,,language_literate,l2_eng_tam,16424
1/1/2010,NORTH REGION,,mode_of_transport_school,mrt_other,200
1/1/2020,NORTH-EAST REGION,,industry,arts_entertainment_recreation,8084
1/1/2015,NORTH-EAST REGION,female,age_group,age_70_74,11390
1/1/2020,EAST REGION,,language_spoken_at_home,tamil,1114
1/1/2000,NORTH REGION,male,age_group,age_75_79,1270
1/1/2015,EAST REGION,,household_income,sgd_10000_over,
1/1/2000,NORTH-EAST REGION,,mode_of_transport_school,car,12092
1/1/2000,EAST REGION,,industry,others,1892
1/1/2010,WEST REGION,,household_structure,ofn_1_gen,30864
1/1/2010,WEST REGION,,language_literate,l2_eng_mal,103762
1/1/2020,WEST REGION,,industry,construction,23360
1/1/2020,NORTH REGION,,language_literate,l2_other_two,1483
1/1/2020,EAST REGION,,industry,admin_support_services,21378
1/1/2010,EAST REGION,,religion,no_religion,87538
1/1/2015,NORTH REGION,,income_from_work,below_sgd_1000,24400
1/1/2015,CENTRAL REGION,,household_income,sgd_11000_to_11999,9100
1/1/2000,EAST REGION,,household_income,sgd_8000_to_8999,
1/1/2010,NORTH-EAST REGION,female,marital_status,single,92716
1/1/2015,CENTRAL REGION,,language_literate,l2_eng_mal,56000
1/1/2010,CENTRAL REGION,,mode_of_transport_work,taxi,8801
1/1/2015,CENTRAL REGION,,household_structure,ofn_1_gen,47300
1/1/2010,CENTRAL REGION,,education_attending,,
1/1/2015,NORTH REGION,,language_spoken_at_home,eng_oth_lang,0
1/1/2010,WEST REGION,,household_income,sgd_11000_to_11999,
1/1/2015,NORTH REGION,,household_income,no_working_person,10100
1/1/2000,NORTH-EAST REGION,,language_literate,l2_other_two,829
1/1/2020,NORTH REGION,,language_spoken_at_home,malay,13647
1/1/2020,EAST REGION,female,age_group,age_30_34,24020
1/1/2015,WEST REGION,,income_from_work,,
1/1/2015,NORTH REGION,,dwelling_type_population,condominiums_and_other_apartments,22450
1/1/2015,NORTH REGION,,language_literate,l1_chi,68300
1/1/2010,WEST REGION,,dwelling_type_household,hdb_5_room_and_executive_flats,82835
1/1/2020,EAST REGION,,industry,wholesale_retail_trade,52691
1/1/2010,NORTH-EAST REGION,,language_literate,l2_eng_mal,50076
1/1/2020,NORTH REGION,,mode_of_transport_school,taxi_pvt_hire_car_only,589
1/1/2010,EAST REGION,,language_spoken_at_home,,
1/1/2015,NORTH REGION,,household_income,sgd_10000_to_10999,7700
1/1/2010,NORTH-EAST REGION,,language_spoken_at_home,eng_mly,0
1/1/2015,NORTH-EAST REGION,,religion,other_religions,1600
1/1/2020,NORTH-EAST REGION,,household_income,sgd_17500_to_19999,13447
1/1/2015,NORTH-EAST REGION,male,ethnic_distribution,others,9250
1/1/2000,NORTH REGION,,religion,taoism,27064
1/1/2010,WEST REGION,,language_literate,l1_chi,114344
1/1/2000,EAST REGION,male,economic_status,inactive,52274
1/1/2015,EAST REGION,,language_literate,l1_eng,63400
1/1/2010,NORTH-EAST REGION,,mode_of_transport_work,pvt_chartered_bus,10415
1/1/2020,CENTRAL REGION,female,age_group,age_10_14,21610
1/1/2010,EAST REGION,,dwelling_type_population,hdb_4_room_flats,226100
1/1/2000,WEST REGION,male,age_group,age_25_29,30660
1/1/2010,EAST REGION,,household_income,sgd_15000_to_17499,
1/1/2015,NORTH-EAST REGION,,dwelling_type_household,hdb_3_room_flats,43900
1/1/2020,NORTH-EAST REGION,,mode_of_transport_work,no_transport_required,47717
1/1/2010,WEST REGION,,education_attending,prof_qualification_diploma,3665
1/1/2020,CENTRAL REGION,,dwelling_type_population,others,13160
1/1/2015,NORTH-EAST REGION,,dwelling_type_population,landed_properties,76650
1/1/2010,EAST REGION,,tenancy,owner,180216
