Age Group,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
0-4 Years,78156,81290,82894,84758,89905,91872,92054,93646,93680,91156,88833,88255,89356,89821,92860,95212,92145,91631,93221,97317,102425,107753,113372,117024,120308
5-9 Years,81181,82563,83198,83649,85409,85301,86297,87814,88757,90493,91415,91278,92271,93661,97929,102078,103525,105867,109784,111958,114771,119256,123456,128314,137667
10-14 Years,78176,79691,79394,78986,83061,84366,84616,85544,87398,91845,96372,99836,104237,108620,110841,113513,116022,116882,118970,121629,123577,127138,128503,125929,124573
15-19 Years,81864,82194,81457,81265,87234,91780,95114,99284,104137,107063,110092,114501,117931,120181,122727,124108,125598,123960,120946,117960,116707,113548,114291,117457,121130
20-24 Years,92637,95690,98849,102477,106407,109437,113190,116177,118811,122219,124404,127558,128397,126531,124827,124513,118832,117489,119831,121506,121667,123938,126868,127349,128332
25-29 Years,126528,131118,132563,133431,138684,141189,144592,145759,143283,141773,140417,137638,139841,145728,152503,155376,148612,142998,141413,140696,142435,148010,156731,158266,163362
30-34 Years,164434,165944,162315,156789,157499,156556,152171,153268,158601,161902,163251,164536,163312,163101,161937,160718,154622,154275,153182,154192,154046,155142,157923,159132,165592
35-39 Years,151449,145813,142353,144201,151203,152720,154599,154522,155491,154957,154912,155005,157512,157589,158710,157492,151655,148570,148225,151580,156296,163165,170486,173774,176853
40-44 Years,139502,141626,138212,135369,138806,139145,141065,145336,147049,149067,149330,148271,147857,148455,151907,155825,159162,161615,163961,164119,165493,165245,167684,168274,168924
45-49 Years,130288,131662,132317,131024,136846,137484,137562,137963,139834,143972,149168,155042,159577,162779,162916,163207,161257,160159,159699,158380,156546,154870,153359,148486,144191
50-54 Years,132757,132258,129666,128486,135708,140905,146873,151219,154729,155976,157538,157220,157165,157626,156076,153979,150921,146602,141251,135711,131951,127810,126618,124536,116885
55-59 Years,137039,142284,143933,144692,149129,150527,150260,150116,150775,149761,147982,145978,143033,138129,132608,128401,123464,119005,116530,108584,97450,89547,81542,72280,73575
60-64 Years,144713,144251,142300,140321,141708,139958,137320,134268,129792,125075,121400,117459,114024,111983,104204,92578,84245,74898,65749,66570,71007,71736,72576,70324,65908
65-69 Years,132281,129639,125213,119402,116718,113008,108644,104919,103055,95587,85376,77972,69933,61309,61913,65299,65033,64390,61854,57449,55411,52461,52106,52542,51842
70-74 Years,103745,99841,95417,92517,86625,77029,70057,62448,54447,54737,57748,57857,57650,55546,51441,48435,45093,43814,43806,43033,41023,39509,39043,38075,36861
75-79 Years,67420,60943,53981,46669,47139,49532,49259,48702,46779,43083,40549,37567,36310,36162,35444,33070,31442,30213,29067,27530,26200,23688,24260,22519,21166
80-84 Years,39343,38992,38529,36882,34045,31856,29184,27954,27746,26881,24971,23582,22468,21416,20310,18883,17139,16236,14928,14134,14032,13515,13026,12438,12010
85-89 Years,21556,19551,18716,18749,18212,16843,15679,14846,14110,13257,12186,11093,10350,9406,8816,8262,7950,7787,7301,6979,6923,6658,6538,6261,6055
90 Years & Over,11294,10545,10184,9779,9236,8468,7725,7181,6484,6060,5643,5407,5023,4688,4434,4078,3876,3951,3655,3455,3595,3355,3232,2914,2640
