Age Group,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
0-4 Years,45338,46171,46409,45655,46261,46495,47051,48905,50492,51520,53355,56342,59407,61618,64854,66919,66951,67059,67424,69260,70432,70884,71939,72721,72228
5-9 Years,54151,53515,52946,52442,52891,53684,55390,57809,60200,62850,64651,66181,67589,69509,72708,75343,76423,78224,80117,80854,81717,83101,83321,79500,73317
10-14 Years,56752,56919,57038,57304,59873,61004,61836,63542,65409,68612,71612,74405,77508,80366,81759,83653,85346,85035,84757,84657,82885,81418,78946,73413,66600
15-19 Years,61668,61842,61736,61916,65689,68514,70680,73734,76659,78237,80322,83210,84036,84280,84881,83900,83153,80748,76277,71147,67237,60764,57189,55409,52540
20-24 Years,68510,70304,71857,73721,76087,78078,80452,81519,81762,82515,81744,82014,80895,77032,73581,70879,64619,60754,59849,58495,56104,54511,52427,50074,47144
25-29 Years,78807,81787,82612,82067,84319,83734,84210,83426,79844,76090,74304,70994,69832,71925,74469,74659,72214,69147,68103,66451,65042,64168,64953,63954,63225
30-34 Years,84239,85283,83386,79193,77578,75995,71827,71050,72790,75607,77864,81338,82284,84543,86374,87620,87692,90137,90683,91675,91112,88795,86981,84395,82896
35-39 Years,78246,74682,71612,70623,73552,74298,76285,77561,80109,81997,84436,87728,92365,94723,97585,98379,96082,93958,92624,92478,92891,93599,94074,92804,90443
40-44 Years,73383,73723,71678,71170,74007,75868,78594,83494,86492,89739,91491,91484,90894,90595,91152,92119,93190,93130,93578,93322,92704,91240,90337,87120,82302
45-49 Years,72745,74330,76017,76428,81183,82826,83076,83475,83922,85118,86635,88847,90127,90941,91110,91112,90108,88720,87375,84980,81976,77816,74012,69098,63144
50-54 Years,78956,78845,77027,76116,79059,80855,83144,84566,85688,86096,86470,86208,85709,84560,82686,80480,77201,73092,69038,64839,61251,57114,54122,50460,44115
55-59 Years,76905,78931,79026,78946,80902,81689,81357,80957,80158,78799,76605,73820,70470,67000,63245,60437,57023,53661,50734,45637,39057,34079,29517,24957,23738
60-64 Years,76823,76632,75521,73900,74235,72226,69434,66350,63316,59993,57488,54558,51764,49153,44515,38648,34162,29349,25180,24555,24662,23615,23029,21572,19406
65-69 Years,66483,64275,60913,57610,55479,53159,50405,48029,45863,41764,36424,32616,28147,24188,23637,24050,23435,22770,21397,19615,18249,16623,15971,15643,14961
70-74 Years,47977,45626,43254,40885,37925,33101,29331,25486,22095,21671,22224,21695,21065,19860,18172,17129,15722,15024,14858,14347,13331,12680,12552,12186,11494
75-79 Years,28994,25849,22224,19025,18878,19203,18724,18376,17487,16174,15291,13978,13244,12919,12457,11759,11191,10970,10437,9925,9082,8069,8300,7659,7094
80-84 Years,15600,15162,14769,13975,12958,12173,11000,10508,10393,10058,9406,8983,8616,8191,7732,7138,6671,6194,5895,5499,5201,4975,4784,4420,4164
85-89 Years,8388,7583,7225,7053,6857,6372,5997,5834,5633,5380,4947,4549,4150,3846,3591,3377,3136,3083,2913,2728,2586,2532,2399,2304,2170
90 Years & Over,4394,4120,4085,3925,3745,3503,3240,2936,2666,2515,2395,2273,2124,1986,1845,1767,1692,1632,1507,1401,1317,1204,1178,1005,901
