Year,Age Group Category,Population
2000,Adults (25-59 Years),51470
2000,Children (0-14 Years),14806
2000,Seniors (60+ Years),28109
2000,Youth (15-24 Years),11440
2001,Adults (25-59 Years),46870
2001,Children (0-14 Years),12128
2001,Seniors (60+ Years),28304
2001,Youth (15-24 Years),10085
2002,Adults (25-59 Years),44936
2002,Children (0-14 Years),10403
2002,Seniors (60+ Years),29677
2002,Youth (15-24 Years),9364
2003,Adults (25-59 Years),43009
2003,Children (0-14 Years),9735
2003,Seniors (60+ Years),27295
2003,Youth (15-24 Years),8983
2004,Adults (25-59 Years),43394
2004,Children (0-14 Years),9638
2004,Seniors (60+ Years),28509
2004,Youth (15-24 Years),8881
2005,Adults (25-59 Years),44352
2005,Children (0-14 Years),9588
2005,Seniors (60+ Years),28551
2005,Youth (15-24 Years),8888
2006,Adults (25-59 Years),45267
2006,Children (0-14 Years),9888
2006,Seniors (60+ Years),29490
2006,Youth (15-24 Years),9031
2007,Adults (25-59 Years),46398
2007,Children (0-14 Years),10763
2007,Seniors (60+ Years),30829
2007,Youth (15-24 Years),9522
2008,Adults (25-59 Years),47741
2008,Children (0-14 Years),11920
2008,Seniors (60+ Years),31454
2008,Youth (15-24 Years),10187
2009,Adults (25-59 Years),49480
2009,Children (0-14 Years),13094
2009,Seniors (60+ Years),32629
2009,Youth (15-24 Years),10930
2010,Adults (25-59 Years),51917
2010,Children (0-14 Years),14932
2010,Seniors (60+ Years),33611
2010,Youth (15-24 Years),11973
2011,Adults (25-59 Years),56053
2011,Children (0-14 Years),17090
2011,Seniors (60+ Years),35700
2011,Youth (15-24 Years),13630
2012,Adults (25-59 Years),59685
2012,Children (0-14 Years),19347
2012,Seniors (60+ Years),37924
2012,Youth (15-24 Years),15258
2013,Adults (25-59 Years),64240
2013,Children (0-14 Years),21773
2013,Seniors (60+ Years),40433
2013,Youth (15-24 Years),16999
2014,Adults (25-59 Years),67231
2014,Children (0-14 Years),23032
2014,Seniors (60+ Years),43281
2014,Youth (15-24 Years),18176
2015,Adults (25-59 Years),69518
2015,Children (0-14 Years),23607
2015,Seniors (60+ Years),47548
2015,Youth (15-24 Years),19119
2016,Adults (25-59 Years),69897
2016,Children (0-14 Years),23647
2016,Seniors (60+ Years),50840
2016,Youth (15-24 Years),19463
2017,Adults (25-59 Years),69921
2017,Children (0-14 Years),23779
2017,Seniors (60+ Years),54592
2017,Youth (15-24 Years),19760
2018,Adults (25-59 Years),70170
2018,Children (0-14 Years),23322
2018,Seniors (60+ Years),58240
2018,Youth (15-24 Years),19223
2019,Adults (25-59 Years),70819
2019,Children (0-14 Years),22900
2019,Seniors (60+ Years),61439
2019,Youth (15-24 Years),18613
2020,Adults (25-59 Years),71324
2020,Children (0-14 Years),22918
2020,Seniors (60+ Years),64880
2020,Youth (15-24 Years),18236
2021,Adults (25-59 Years),71105
2021,Children (0-14 Years),22955
2021,Seniors (60+ Years),67497
2021,Youth (15-24 Years),18002
2022,Adults (25-59 Years),71996
2022,Children (0-14 Years),23248
2022,Seniors (60+ Years),70790
2022,Youth (15-24 Years),17822
2023,Adults (25-59 Years),73991
2023,Children (0-14 Years),23278
2023,Seniors (60+ Years),75361
2023,Youth (15-24 Years),17578
2024,Adults (25-59 Years),75676
2024,Children (0-14 Years),23059
2024,Seniors (60+ Years),79647
2024,Youth (15-24 Years),17351
