Year,Planning Area,age_0_4,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_5_9,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total
2000,Ang Mo Kio,48404460,56605500,62305920,71707160,82507750,70406800,78707610,78108260,76308280,68007150,43804520,58805860,37703730,27502910,18402200,10101280,540760,360710,8980090830
2000,Bedok,84507790,1085010250,101409600,103009980,1106011090,1032010530,1232012940,1321013780,1220012640,1047010530,61406040,1076010200,51505410,39404550,30303580,16602210,8201370,5501120,1.41E+11
2000,Bishan,27402570,35403280,29002700,27502620,33103390,32003660,41304820,47704880,40003940,30402990,17401750,43703840,14101520,10401210,650940,430610,250400,190390,4446045520
2000,Boon Lay,,,,,,,,,,,,,,,,,,,
2000,Bukit Batok,47904410,56105260,48004510,39503930,47405180,58405950,67006800,68206600,56404970,36103350,18501840,52805110,14701440,11101320,760970,430570,220370,200270,6380062840
2000,Bukit Merah,34603240,39003480,40903750,51405100,67506400,60805570,63105830,64606090,59306170,55406120,39404240,40403930,40504110,34003330,25902750,15401810,7301180,480960,7440074050
2000,Bukit Panjang,39903680,43504100,33503020,29802960,38904230,43104490,52505510,52104640,38703470,25002260,14001410,44504210,11101190,850990,590770,320460,170290,120220,4870047860
2000,Bukit Timah,16801570,24802550,19902130,20802180,21902380,18702420,24003130,28603350,27803110,25902620,15901590,24802470,12801320,9501010,660810,350530,210350,130240,3057033750
2000,Central Water Catchment,,,,,,,,,,,,,,,,,,,
2000,Changi,5040,4040,4030,3030,5050,6050,5050,5050,4030,4030,2010,5060,1030,1010,2010,1010,1010,0,560530
2000,Changi Bay,,,,,,,,,,,,,,,,,,,
2000,Choa Chu Kang,76007130,53004780,42703930,36403670,47306120,77408770,89307900,68906000,47204070,29802690,15601510,72806690,11601390,9401230,660920,370470,190290,130190,6909067720
2000,Clementi,22902150,26902550,31202960,38603870,42404080,36203460,37903640,34104010,36604700,39204120,23502260,28402650,20001880,13501380,910970,500610,210420,160330,4492046060
2000,Downtown Core,90100,110100,120100,120150,230200,210180,180180,210160,160180,190190,150120,120120,140150,120100,12080,8050,3030,4030,24002220
2000,Geylang,33103010,40003700,37703590,39703990,48904800,45804530,54205150,56705420,48704720,40204060,27202800,42403910,26402780,22202350,17201950,10101090,450690,300600,5978059130
2000,Hougang,72006800,83508050,71206970,66006460,76807940,81108720,1013010540,1064010280,86008040,61606030,36103620,89008280,30203150,22202710,16102060,8701280,470800,330720,1.02E+11
