Age Group,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
0-4 Years,131775,135762,137607,138502,144145,146195,147012,150516,152004,150367,149709,152005,155549,157545,163155,166987,163479,162664,164278,170163,176480,182327,189346,194458,198145
5-9 Years,143102,143817,143769,143469,145497,146167,149151,153419,156968,161556,164076,164968,166489,168973,175721,181898,184061,188021,193559,196380,200233,206264,211300,213838,218817
10-14 Years,141936,143848,143751,143778,150676,153260,154403,157104,160924,168505,175901,181834,188562,195124,198219,202214,206166,206529,208232,210815,210946,213264,212574,205239,197568
15-19 Years,151562,152023,151228,151259,161230,168968,174718,182255,190208,194575,199244,206288,209863,211810,214395,214281,214637,210289,202341,194002,188800,179276,176835,179187,180828
20-24 Years,170468,175585,180493,186122,192423,197454,203941,208219,211026,215017,216055,219254,218221,211443,205486,201936,189599,184184,185583,185863,183668,184423,185589,184248,183046
25-29 Years,215530,223093,225329,225547,232921,234747,238548,238980,232715,227079,223675,217281,217667,225138,233875,236524,226896,217963,214873,212425,212640,217438,227740,229210,234929
30-34 Years,257980,260187,254382,243970,242736,239934,231391,231766,239090,245125,248551,253094,252074,253474,253751,253442,247159,249368,248802,250802,250079,248949,250498,249771,255755
35-39 Years,237812,228044,221175,221876,231776,233930,237856,238954,242354,243732,246019,249264,256374,258711,262331,261611,253244,247895,246224,249582,254807,262765,271175,274097,275959
40-44 Years,222631,224670,218602,215081,221288,223336,227509,236674,242006,247442,249370,248245,246762,246738,250582,255239,259563,261968,264759,264773,265861,264585,267001,265468,262232
45-49 Years,213957,216569,218708,217875,228505,230541,230679,231443,234198,240023,246846,254959,260192,263727,263601,263613,260599,258362,256658,252963,247936,242015,236958,227712,217917
50-54 Years,224042,223214,218498,216576,227285,234631,242985,248778,253729,255201,256890,256259,255239,253979,249941,245139,238500,229673,219772,209558,202095,193637,190082,184889,171020
55-59 Years,229002,236500,238019,238715,245288,247491,246817,246038,245893,243163,238087,232703,225488,216258,206206,198918,190143,182376,176833,163160,144495,131123,118421,104153,104748
60-64 Years,240265,239160,235523,231862,233428,229076,223221,216223,208022,198879,191479,183838,177048,171949,158647,140100,126698,111864,97796,97994,103203,102980,104076,99874,93037
65-69 Years,219042,213316,204314,194248,188645,181847,173904,166911,162333,149609,132053,119928,106322,92727,92739,97159,96395,95348,91061,84450,80743,75802,75141,75330,74218
70-74 Years,169298,161881,153842,147919,137939,121738,109823,96995,84462,84178,87994,87588,86768,83082,76784,72454,67366,65404,65303,63895,60638,58325,58231,56806,55028
75-79 Years,107965,96991,85021,73134,73394,76526,75648,74697,71583,66019,62050,57446,55218,54675,53333,50092,47787,46288,44335,41998,39539,35465,37234,34493,32314
80-84 Years,61256,60344,59443,56793,52601,49238,45012,43021,42687,41364,38433,36452,34738,33086,31332,29116,26570,25134,23407,22107,21667,20888,20309,19172,18404
85-89 Years,33325,30263,28908,28793,27997,25905,24217,23120,22030,20791,19121,17480,16192,14816,13844,13011,12456,12296,11606,11039,10869,10485,10252,9840,9529
90 Years & Over,17507,16415,16070,15440,14636,13540,12414,11462,10404,9732,9138,8748,8158,7568,7141,6729,6410,6451,5990,5649,5705,5288,5143,4594,4170
