Age Group,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
0-4 Years,170496,175268,178085,178435,183076,185355,185528,187653,187160,183575,181369,183295,186673,188249,194432,197788,193889,193626,194479,199529,204819,209903,217798,222991,225705
5-9 Years,202082,201974,201360,198760,198737,197775,199066,200575,201509,204452,205790,205704,206324,208119,215675,221435,223622,229541,235204,237237,240517,247044,253192,254077,256574
10-14 Years,204391,204459,202379,199993,206393,207926,206530,206253,207495,214388,220796,226244,233320,240536,244302,248628,253796,255292,256482,258553,257283,259124,257692,246972,235352
15-19 Years,211067,209579,206749,204913,215234,222222,226520,232973,239771,242902,247337,255066,258861,260738,263750,262775,262856,257298,246547,234921,227417,214074,209687,210903,211286
20-24 Years,224644,229066,233303,237720,244537,249079,255516,259072,260854,264127,263918,266889,264506,255069,247190,241753,225385,218485,219631,218951,215217,215412,216313,214636,212236
25-29 Years,269536,277889,280082,278037,286997,288194,291631,290198,279988,271030,265659,255615,254582,262606,272639,274308,263114,254523,251659,247799,246713,250878,262720,262754,267161
30-34 Years,320486,323627,317153,301060,297798,293446,281397,279340,285544,290619,292287,296870,295396,297555,298687,297240,289817,294453,293251,293414,290489,287304,289184,286690,290290
35-39 Years,314575,300037,290981,289221,299515,300818,303720,300956,301998,301067,302029,305503,313970,316161,320024,317311,307243,301973,298203,299153,302908,310643,320753,322878,322621
40-44 Years,310259,310173,299871,292770,299291,300763,303640,311484,313445,316755,316023,312581,308823,306614,309441,312983,317363,321049,323017,321472,321057,318282,320863,317996,312420
45-49 Years,301224,302515,304317,300125,311740,311682,307838,303457,301183,303413,308533,316336,320925,323991,323459,322497,318078,315552,312858,307546,300671,292791,286738,274569,262201
50-54 Years,307332,302367,292984,285962,296068,301682,308965,312814,315598,315091,315503,312988,310376,308130,303044,297383,289189,279220,266994,254168,244110,233180,230367,223842,206657
55-59 Years,294228,300668,299835,298226,305830,306759,304390,301678,299591,295063,288392,281069,271817,260678,248696,239947,229356,220983,214601,197803,174788,157894,143175,125449,125061
60-64 Years,296643,293788,288007,282612,284626,278828,271688,262651,251853,240493,231502,222154,213996,208160,191995,169696,153161,135501,118242,117575,122736,121724,123438,118506,110503
65-69 Years,266169,259041,247930,235391,229396,221296,212101,203969,198020,182425,161198,145817,128879,112396,111511,116258,115185,113757,108837,101088,96007,89883,89587,89676,88305
70-74 Years,206521,197890,188584,181326,170008,150127,135546,119494,103796,102631,106815,105746,104414,100073,92618,87428,81307,78631,78317,76545,72485,70002,70642,69048,66948
75-79 Years,134612,121003,105792,90978,90990,94600,93327,91953,87955,81211,76294,70619,67675,66909,65178,61490,59001,56732,54413,51601,47875,42863,45830,42501,39644
80-84 Years,77542,76165,74937,71555,66513,62293,57103,54341,53556,51785,48418,46199,44115,42145,39839,37143,33882,31519,29443,27879,26864,25783,25213,23897,22876
85-89 Years,43906,40016,37948,37668,36586,33935,31991,30481,29086,27494,25486,23235,21503,19756,18481,17569,16734,15923,15206,14514,13778,13217,13047,12500,12092
90 Years & Over,25155,23728,22942,22090,20875,19429,17786,16454,15157,14169,13390,12821,12050,11366,10760,10244,9681,9024,8510,8066,7532,6890,6705,6017,5431
