Year,Planning Area,Age Range,Value
2000,Ang Mo Kio,0-24,58680
2000,Ang Mo Kio,25-59,100150
2000,Ang Mo Kio,60+,21860
2000,Bedok,0-24,98320
2000,Bedok,25-59,153270
2000,Bedok,60+,33390
2000,Bishan,0-24,31310
2000,Bishan,25-59,49620
2000,Bishan,60+,9040
2000,Boon Lay,0-24,0
2000,Boon Lay,25-59,0
2000,Boon Lay,60+,0
2000,Bukit Batok,0-24,47650
2000,Bukit Batok,25-59,69890
2000,Bukit Batok,60+,9130
2000,Bukit Merah,0-24,40130
2000,Bukit Merah,25-59,81430
2000,Bukit Merah,60+,26930
2000,Bukit Panjang,0-24,37090
2000,Bukit Panjang,25-59,52440
2000,Bukit Panjang,60+,7080
2000,Bukit Timah,0-24,21610
2000,Bukit Timah,25-59,34880
2000,Bukit Timah,60+,7840
2000,Central Water Catchment,0-24,0
2000,Central Water Catchment,25-59,0
2000,Central Water Catchment,60+,0
2000,Changi,0-24,410
2000,Changi,25-59,580
2000,Changi,60+,130
2000,Changi Bay,0-24,0
2000,Changi Bay,25-59,0
2000,Changi Bay,60+,0
2000,Choa Chu Kang,0-24,54290
2000,Choa Chu Kang,25-59,74610
2000,Choa Chu Kang,60+,7940
2000,Clementi,0-24,28980
2000,Clementi,25-59,51260
2000,Clementi,60+,10720
2000,Downtown Core,0-24,1130
2000,Downtown Core,25-59,2540
2000,Downtown Core,60+,970
2000,Geylang,0-24,37490
2000,Geylang,25-59,63650
2000,Geylang,60+,17800
2000,Hougang,0-24,74730
2000,Hougang,25-59,110100
2000,Hougang,60+,19240
2000,Jurong East,0-24,32340
2000,Jurong East,25-59,48960
2000,Jurong East,60+,7790
2000,Jurong West,0-24,78490
2000,Jurong West,25-59,112560
2000,Jurong West,60+,13700
2000,Kallang,0-24,26010
2000,Kallang,25-59,49770
2000,Kallang,60+,16440
2000,Lim Chu Kang,0-24,120
2000,Lim Chu Kang,25-59,180
2000,Lim Chu Kang,60+,10
2000,Mandai,0-24,360
2000,Mandai,25-59,540
2000,Mandai,60+,110
2000,Marina East,0-24,0
2000,Marina East,25-59,0
2000,Marina East,60+,0
2000,Marina South,0-24,0
2000,Marina South,25-59,0
2000,Marina South,60+,0
2000,Marine Parade,0-24,13570
2000,Marine Parade,25-59,25010
2000,Marine Parade,60+,7680
2000,Museum,0-24,30
2000,Museum,25-59,120
2000,Museum,60+,100
2000,Newton,0-24,1650
2000,Newton,25-59,3540
2000,Newton,60+,940
2000,North-Eastern Islands,0-24,0
2000,North-Eastern Islands,25-59,0
2000,North-Eastern Islands,60+,0
2000,Novena,0-24,12580
2000,Novena,25-59,23430
2000,Novena,60+,6870
2000,Orchard,0-24,160
2000,Orchard,25-59,350
2000,Orchard,60+,90
2000,Outram,0-24,4950
2000,Outram,25-59,11600
2000,Outram,60+,5670
2000,Pasir Ris,0-24,46690
2000,Pasir Ris,25-59,63270
2000,Pasir Ris,60+,6760
2000,Paya Lebar,0-24,50
2000,Paya Lebar,25-59,80
2000,Paya Lebar,60+,10
2000,Pioneer,60+,0
2000,Punggol,0-24,80
2000,Punggol,25-59,130
2000,Punggol,60+,20
2000,Queenstown,0-24,26870
2000,Queenstown,25-59,53850
2000,Queenstown,60+,17180
2000,River Valley,0-24,2680
2000,River Valley,25-59,5350
2000,River Valley,60+,1340
2000,Rochor,0-24,4560
2000,Rochor,25-59,9420
2000,Rochor,60+,3970
2000,Seletar,0-24,130
2000,Seletar,25-59,300
2000,Seletar,60+,30
2000,Sembawang,0-24,11010
2000,Sembawang,25-59,18380
2000,Sembawang,60+,2270
2000,Sengkang,0-24,21890
2000,Sengkang,25-59,35070
2000,Sengkang,60+,4380
2000,Serangoon,0-24,43430
2000,Serangoon,25-59,66320
2000,Serangoon,60+,12670
2000,Simpang,0-24,0
2000,Simpang,25-59,0
2000,Simpang,60+,0
2000,Singapore River,0-24,210
2000,Singapore River,25-59,540
2000,Singapore River,60+,100
2000,Southern Islands,0-24,0
2000,Southern Islands,25-59,0
2000,Southern Islands,60+,0
2000,Straits View,0-24,0
2000,Straits View,25-59,0
2000,Straits View,60+,0
2000,Sungei Kadut,0-24,250
2000,Sungei Kadut,25-59,400
2000,Sungei Kadut,60+,270
2000,Tampines,0-24,98710
2000,Tampines,25-59,135830
2000,Tampines,60+,18580
2000,Tanglin,0-24,4070
2000,Tanglin,25-59,7780
2000,Tanglin,60+,1890
2000,Tengah,0-24,0
2000,Tengah,25-59,0
2000,Tengah,60+,0
2000,Toa Payoh,0-24,35080
2000,Toa Payoh,25-59,66490
2000,Toa Payoh,60+,19680
2000,Tuas,0-24,0
2000,Tuas,25-59,0
2000,Tuas,60+,0
2000,Western Islands,0-24,0
2000,Western Islands,25-59,0
2000,Western Islands,60+,0
2000,Western Water Catchment,0-24,140
2000,Western Water Catchment,25-59,250
2000,Western Water Catchment,60+,10
2000,Woodlands,0-24,73000
2000,Woodlands,25-59,103890
2000,Woodlands,60+,11840
2000,Yishun,0-24,68680
2000,Yishun,25-59,95850
2000,Yishun,60+,12720
2010,Ang Mo Kio,0-24,46850
2010,Ang Mo Kio,25-59,99190
2010,Ang Mo Kio,60+,33290
2010,Bedok,0-24,85980
2010,Bedok,25-59,158880
2010,Bedok,60+,49670
2010,Bishan,0-24,27910
2010,Bishan,25-59,49400
2010,Bishan,60+,13980
2010,Boon Lay,0-24,0
2010,Boon Lay,25-59,0
2010,Boon Lay,60+,0
2010,Bukit Batok,0-24,46510
2010,Bukit Batok,25-59,81750
2010,Bukit Batok,60+,15970
2010,Bukit Merah,0-24,37270
2010,Bukit Merah,25-59,85090
2010,Bukit Merah,60+,34790
2010,Bukit Panjang,0-24,44740
2010,Bukit Panjang,25-59,70450
2010,Bukit Panjang,60+,13570
2010,Bukit Timah,0-24,22120
2010,Bukit Timah,25-59,36400
2010,Bukit Timah,60+,11820
2010,Central Water Catchment,0-24,0
2010,Central Water Catchment,25-59,0
2010,Central Water Catchment,60+,0
2010,Changi,0-24,760
2010,Changi,25-59,1160
2010,Changi,60+,270
2010,Changi Bay,0-24,0
2010,Changi Bay,25-59,0
2010,Changi Bay,60+,0
2010,Choa Chu Kang,0-24,63270
2010,Choa Chu Kang,25-59,94930
2010,Choa Chu Kang,60+,15150
2010,Clementi,0-24,23390
2010,Clementi,25-59,51220
2010,Clementi,60+,17290
2010,Downtown Core,0-24,720
2010,Downtown Core,25-59,2130
2010,Downtown Core,60+,880
2010,Geylang,0-24,33080
2010,Geylang,25-59,65630
2010,Geylang,60+,21990
2010,Hougang,0-24,67610
2010,Hougang,25-59,118410
2010,Hougang,60+,30710
2010,Jurong East,0-24,26280
2010,Jurong East,25-59,49330
2010,Jurong East,60+,12540
2010,Jurong West,0-24,88580
2010,Jurong West,25-59,152290
2010,Jurong West,60+,26670
2010,Kallang,0-24,24240
2010,Kallang,25-59,54580
2010,Kallang,60+,20720
2010,Lim Chu Kang,0-24,0
2010,Lim Chu Kang,25-59,0
2010,Lim Chu Kang,60+,0
2010,Mandai,0-24,640
2010,Mandai,25-59,1040
2010,Mandai,60+,210
2010,Marina East,0-24,0
2010,Marina East,25-59,0
2010,Marina East,60+,0
2010,Marina South,0-24,0
2010,Marina South,25-59,0
2010,Marina South,60+,0
2010,Marine Parade,0-24,12930
2010,Marine Parade,25-59,24820
2010,Marine Parade,60+,9560
2010,Museum,0-24,80
2010,Museum,25-59,240
2010,Museum,60+,30
2010,Newton,0-24,1700
2010,Newton,25-59,3490
2010,Newton,60+,1080
2010,North-Eastern Islands,0-24,0
2010,North-Eastern Islands,25-59,0
2010,North-Eastern Islands,60+,0
2010,Novena,0-24,12530
2010,Novena,25-59,25430
2010,Novena,60+,8710
2010,Orchard,0-24,180
2010,Orchard,25-59,520
2010,Orchard,60+,140
2010,Outram,0-24,3860
2010,Outram,25-59,10660
2010,Outram,60+,5360
2010,Pasir Ris,0-24,50130
2010,Pasir Ris,25-59,71560
2010,Pasir Ris,60+,12200
2010,Paya Lebar,0-24,0
2010,Paya Lebar,25-59,0
2010,Paya Lebar,60+,0
2010,Pioneer,0-24,0
2010,Pioneer,25-59,0
2010,Pioneer,60+,0
2010,Punggol,0-24,19850
2010,Punggol,25-59,34670
2010,Punggol,60+,4880
