Year,Planning Area,,condominiums_and_other_apartments,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,landed_properties,others,total_hdb
2000,Ang Mo Kio,,2463,4190,26561,12850,4984,2722,333,48585
2000,Bedok,,6860,3335,22830,19348,11881,9115,463,58395
2000,Bishan,,1264,368,2484,9918,7617,2635,35,21020
2000,Boon Lay,No Data,,,,,,,,
2000,Bukit Batok,,2798,135,11498,14041,7338,280,162,33013
2000,Bukit Merah,,1490,9605,19829,9116,6036,0,390,44596
2000,Bukit Panjang,,2342,0,2778,12100,8696,245,9,23574
2000,Bukit Timah,,6663,0,454,918,1075,7120,14,3015
2000,Central Water Catchment,No Data,,,,,,,,
2000,Changi,,87,0,85,0,0,74,34,85
2000,Changi Bay,No Data,,,,,,,,
2000,Choa Chu Kang,,108,213,1361,19382,16785,0,9,37741
2000,Clementi,,2136,912,13215,7532,2974,911,224,24633
2000,Downtown Core,,133,167,717,367,9,0,33,1260
2000,Geylang,,2394,4244,12061,8860,4079,2043,378,29578
2000,Hougang,,951,835,9682,23524,14127,4505,179,49159
2000,Jurong East,,1330,0,7542,7621,8293,0,98,23461
2000,Jurong West,,406,518,11550,24874,18289,0,98,55232
2000,Kallang,,2368,5724,11258,5536,3185,636,305,25703
2000,Lim Chu Kang,No Data,,,,,,,,
2000,Mandai,No Data,,,,,,,,
2000,Marina East,No Data,,,,,,,,
2000,Marina South,No Data,,,,,,,,
2000,Marine Parade,,2945,1269,3038,1826,1687,2245,101,7962
2000,Museum,No Data,,,,,,,,
2000,Newton,,1530,5,0,0,0,180,0,5
2000,North-Eastern Islands,No Data,,,,,,,,
2000,Novena,,3400,623,3013,1916,1246,1907,54,6922
2000,Orchard,No Data,,,,,,,,
2000,Outram,,543,3543,2927,856,43,0,104,7399
2000,Pasir Ris,,2066,19,0,10902,16089,717,5,27015
2000,Paya Lebar,No Data,,,,,,,,
2000,Pioneer,No Data,,,,,,,,
2000,Punggol,No Data,,,,,,,,
2000,Queenstown,,2231,3654,17065,4643,3170,286,164,28532
2000,River Valley,,2459,0,0,0,0,263,5,0
2000,Rochor,,483,614,2150,1284,81,68,289,4129
2000,Seletar,No Data,,,,,,,,
2000,Sembawang,,9,0,277,3035,3358,476,5,6670
2000,Sengkang,,0,73,184,5300,8042,159,9,13600
2000,Serangoon,,2994,100,4883,10866,6409,7563,107,22512
2000,Simpang,No Data,,,,,,,,
2000,Singapore River,No Data,,,,,,,,
2000,Southern Islands,No Data,,,,,,,,
2000,Straits View,No Data,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,
2000,Tampines,,2580,289,12587,28296,21443,0,153,63165
2000,Tanglin,,2861,0,19,77,78,835,0,174
2000,Tengah,No Data,,,,,,,,
2000,Toa Payoh,,612,4237,17166,7314,5542,985,275,35293
2000,Tuas,No Data,,,,,,,,
2000,Western Islands,No Data,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,
2000,Woodlands,,5,861,5260,25655,22396,0,5,54172
2000,Yishun,,424,39,13112,24594,10516,11,158,48261
2010,Ang Mo Kio,,3661,5122,26090,13993,6271,4177,391,51476
2010,Bedok,,15148,4233,23792,21673,14003,11765,611,63701
2010,Bishan,,3570,444,2371,9920,7510,3162,53,20673
2010,Boon Lay,No Data,,,,,,,,
2010,Bukit Batok,,8447,27,10970,15245,8172,1164,108,34413
2010,Bukit Merah,,2709,11319,16773,14787,9534,160,344,52413
2010,Bukit Panjang,,4171,0,2809,14982,13621,755,0,31413
2010,Bukit Timah,,10163,0,413,835,1046,8081,120,2294
2010,Central Water Catchment,No Data,,,,,,,,
2010,Changi,,480,0,153,0,6,98,41,159
2010,Changi Bay,No Data,,,,,,,,
2010,Choa Chu Kang,,4277,299,1328,21557,19823,628,0,43007
2010,Clementi,,4047,952,12609,8070,3272,1673,169,24903
2010,Downtown Core,,542,0,577,283,21,0,6,881
2010,Geylang,,6038,4313,12470,9608,4756,2135,577,31535
2010,Hougang,,4768,335,9864,25241,15488,5486,357,51674
2010,Jurong East,,2346,168,7319,8026,8303,0,130,23816
2010,Jurong West,,3820,1289,11784,30448,29644,1022,75,73167
2010,Kallang,,5527,6430,10700,7512,4050,708,547,28692
2010,Lim Chu Kang,No Data,,,,,,,,
2010,Mandai,,267,0,0,0,0,203,18,0
2010,Marina East,No Data,,,,,,,,
2010,Marina South,No Data,,,,,,,,
2010,Marine Parade,,4698,1402,3136,1796,1813,2444,209,8147
2010,Museum,No Data,,,,,,,,
2010,Newton,,1991,0,0,0,0,176,7,0
2010,North-Eastern Islands,No Data,,,,,,,,
