Year,Planning Area,,condominiums_and_other_apartments,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,landed_properties,others,total,total_hdb
2000,Ang Mo Kio,,7750,10200,78360,48420,19470,15000,1430,180630,156450
2000,Bedok,,25020,7880,71900,76560,49770,46610,3220,284970,210120
2000,Bishan,,4610,650,6810,35030,28160,11910,600,89970,72850
2000,Boon Lay,,0,0,0,0,0,0,0,90,0
2000,Bukit Batok,,10660,280,33230,51090,26850,3780,750,126640,111450
2000,Bukit Merah,,5220,22240,62380,33690,22340,390,2200,148450,140650
2000,Bukit Panjang,,7920,0,8070,44550,33380,2540,100,96560,86000
2000,Bukit Timah,,19970,0,1310,3300,4120,32230,1340,64320,10780
2000,Central Water Catchment,,0,0,0,0,0,0,0,10,0
2000,Changi,,0,0,260,0,0,230,600,1090,260
2000,Changi Bay,,0,0,0,0,0,0,0,0,0
2000,Choa Chu Kang,,2620,520,4210,68720,60060,590,90,136810,133500
2000,Clementi,,5470,2100,38030,26890,10950,6090,1460,90980,77970
2000,Downtown Core,,240,340,2160,1300,30,10,550,4620,3820
2000,Geylang,,8000,10260,38350,34000,15940,7940,2940,118910,100030
2000,Hougang,,5700,1740,29370,87290,51970,22190,1930,204070,174260
2000,Jurong East,,6660,0,22920,28460,30670,0,390,89090,82040
2000,Jurong West,,2170,1640,34790,93430,68670,3440,630,204750,198520
2000,Kallang,,7630,12260,36500,20020,11650,1950,2210,92220,80430
2000,Lim Chu Kang,,0,0,150,120,0,0,50,320,260
2000,Mandai,,230,0,0,0,0,680,90,990,0
2000,Marina East,,0,0,0,0,0,0,0,0,0
2000,Marina South,,0,0,0,0,0,0,0,0,0
2000,Marine Parade,,10210,3040,8550,6440,6350,10200,900,46260,24950
2000,Museum,,50,0,110,0,0,20,80,260,110
2000,Newton,,5080,70,20,0,0,780,170,6110,80
2000,North-Eastern Islands,,0,0,0,0,0,0,0,50,0
2000,Novena,,11210,1690,9220,6830,4700,7590,1230,42840,22800
2000,Orchard,,430,0,0,0,0,0,160,590,0
2000,Outram,,1580,7420,9280,3030,190,10,570,22200,20040
2000,Pasir Ris,,7080,40,0,39880,63210,6290,190,116680,103120
2000,Paya Lebar,,0,0,0,0,0,30,110,140,0
2000,Pioneer,No Data,,,,,,,,,
2000,Punggol,,0,0,0,0,0,230,10,240,0
2000,Queenstown,,6800,8650,49780,15970,11320,3700,1630,97860,85730
2000,River Valley,,7900,0,0,0,0,1270,200,9370,0
2000,Rochor,,1400,1580,6830,4880,410,470,2380,17940,13700
2000,Seletar,,0,0,0,0,0,190,250,440,0
2000,Sembawang,,120,0,730,13350,15010,2130,320,31660,29090
2000,Sengkang,,110,160,570,25160,33480,1290,540,61300,59360
2000,Serangoon,,9630,260,14230,39780,23780,32850,860,122420,79090
2000,Simpang,,0,0,0,0,0,0,0,0,0
2000,Singapore River,,630,0,0,0,0,0,190,830,0
2000,Southern Islands,,0,0,0,0,0,0,0,0,0
2000,Straits View,,0,0,0,0,0,0,0,0,0
2000,Sungei Kadut,,0,0,0,0,0,660,260,920,0
2000,Tampines,,8360,690,39240,110600,86520,4560,850,253110,239350
2000,Tanglin,,8460,0,70,230,260,4230,480,13720,560
2000,Tengah,,0,0,0,0,0,0,0,60,0
2000,Toa Payoh,,2720,9990,48900,27090,20860,5940,1710,121240,110870
2000,Tuas,,0,0,0,0,0,0,0,40,0
2000,Western Islands,,0,0,0,0,0,0,0,0,0
2000,Western Water Catchment,,0,0,0,0,0,0,410,410,0
2000,Woodlands,,470,2070,15990,88330,81080,240,490,188670,187480
2000,Yishun,,1500,80,38180,92930,40590,3000,930,177210,171780
2010,Ang Mo Kio,,10870,11660,70180,47300,21860,16050,1390,179300,150980
2010,Bedok,,41910,9240,66970,76230,51120,45920,3140,294520,203560
2010,Bishan,,11240,790,5920,33140,27380,11040,490,91300,68530
2010,Boon Lay,,0,0,0,0,0,0,0,40,0
2010,Bukit Batok,,24630,120,30580,53470,30200,4480,740,144200,114360
2010,Bukit Merah,,6640,23560,46400,45530,32240,460,2310,157120,147730
2010,Bukit Panjang,,12600,0,7890,54400,50610,2990,250,128730,112900
2010,Bukit Timah,,28780,0,1210,3030,3870,32270,1140,70310,8130
2010,Central Water Catchment,,0,0,0,0,0,0,0,10,0
2010,Changi,,50,0,420,0,0,370,1310,2160,430
2010,Changi Bay,,0,0,0,0,0,0,0,0,0
2010,Choa Chu Kang,,13560,990,4200,77400,74230,2470,450,173290,156810
2010,Clementi,,11250,2060,33230,26400,11410,5930,1600,91870,73090
2010,Downtown Core,,600,0,1430,1130,30,0,530,3720,2580
2010,Geylang,,14730,9590,34440,34100,17300,7030,2140,120690,96790
2010,Hougang,,14120,790,26850,89770,57000,21870,3940,216700,176770
