Year,Planning Area,employed,inactive,unemployed
2000,Ang Mo Kio,5088034860,1876437534,37192768
2000,Bedok,7176747650,2630055007,46533433
2000,Bishan,2446518210,793016543,12951141
2000,Bukit Batok,3641223425,1007923404,19511931
2000,Bukit Merah,4077729530,1725430866,27911952
2000,Bukit Panjang,2751517002,731118641,14551143
2000,Bukit Timah,1621711704,525912095,554592
2000,Changi,300144,77163,1019
2000,Choa Chu Kang,4030825165,936425186,19261704
2000,Clementi,2547218640,923418548,14931198
2000,Downtown Core,1311843,565977,8959
2000,Geylang,3147420841,1241424988,24841653
2000,Hougang,5682837163,1838739905,32332600
2000,Jurong East,2611716686,817918122,15501109
2000,Jurong West,5939436088,1604237924,30972589
2000,Kallang,2595916547,1049919265,19161358
2000,Marine Parade,109188160,44419493,552602
2000,Newton,13781035,5701125,7264
2000,Novena,112458354,39878521,629419
2000,Outram,63834234,30045005,501253
2000,Pasir Ris,3045120387,659518797,11241018
2000,Queenstown,2573718848,1090020461,18191332
2000,River Valley,22811621,7311759,6189
2000,Rochor,46363021,18903478,281209
2000,Sembawang,70674596,18004639,347395
2000,Sengkang,143059266,36129328,531618
2000,Serangoon,3332323787,1096923185,15011316
2000,Tampines,6678743429,1930247633,35842854
2000,Tanglin,33792333,8302676,147180
2000,Toa Payoh,3093623146,1314324870,23181622
2000,Woodlands,5460234804,1360035111,31212524
2000,Yishun,4983930867,1457334137,34842906
2010,Ang Mo Kio,5081540256,2003437492,24852093
2010,Bedok,8356764100,3319559608,37482802
2010,Bishan,2543221190,1121518377,1079824
2010,Bukit Batok,4342231580,1467227693,16691680
2010,Bukit Merah,4264135806,1943131908,22131561
2010,Bukit Panjang,3816327842,1269024429,14041292
2010,Bukit Timah,1822414333,776014812,491413
2010,Changi,747433,113426,1918
2010,Choa Chu Kang,5082336719,1705432984,19281719
2010,Clementi,2508820915,994318211,1014959
2010,Downtown Core,1164806,458845,2525
2010,Geylang,3491726597,1413724010,16451290
2010,Hougang,6224948345,2331642909,24892186
2010,Jurong East,2643418512,932517006,1155940
2010,Jurong West,8130156972,2500048422,33643118
2010,Kallang,2852121501,1188020383,12491047
2010,Mandai,458343,164304,625
2010,Marine Parade,118559349,544810303,462430
2010,Newton,15871091,6011375,1941
2010,Novena,1247910194,52579321,508363
2010,Outram,47863656,26293598,294108
2010,Pasir Ris,3792428067,1388024459,13921318
2010,Punggol,1752014084,42409351,633536
2010,Queenstown,2516421144,1156020907,1319939
2010,River Valley,21781778,7581617,6595
2010,Rochor,44903200,16463280,15589
2010,Sembawang,2160616343,550111931,858845
2010,Sengkang,5044537602,1254728091,16501655
2010,Serangoon,3482227499,1474025360,13671118
2010,Singapore River,543357,137328,6
2010,Tampines,7516955881,2695851678,28502842
2010,Tanglin,46903335,16493491,91121
2010,Toa Payoh,3381628310,1502125639,16631458
2010,Woodlands,7137950208,2209543593,26683001
2010,Yishun,5432039574,1817235672,22912403
2015,Ang Mo Kio,5490046300,1840033000,28001800
2015,Bedok,8250067800,2940050300,28003200
2015,Bishan,2640023100,870016200,900900
2015,Boon Lay,,,
2015,Bukit Batok,4120034500,1440026000,21002000
2015,Bukit Merah,4390038400,1760029300,18001500
2015,Bukit Panjang,4530034800,1240023500,20001700
2015,Bukit Timah,1990016900,710014000,700400
2015,Central Water Catchment,,,
2015,Changi,,,
2015,Changi Bay,,,
2015,Choa Chu Kang,5270044500,1710031100,16002200
2015,Clementi,2480021200,920016100,700600
2015,Downtown Core,,,
2015,Geylang,3340028000,1040018300,1500800
2015,Hougang,6370057100,2270036700,25001900
2015,Jurong East,2630019800,790014700,1100900
2015,Jurong West,8920069400,2380046100,33003100
