Year,Planning Area,,polytechnic,post_secondary,pre_primary,primary,prof_qualification_diploma,secondary,university
2000,Ang Mo Kio,,3216,2826,2853,14334,0,10053,2288
2000,Bedok,,4678,4085,4719,24615,0,16728,3357
2000,Bishan,,1384,1610,2196,9749,0,5161,1229
2000,Boon Lay,No Data,,,,,,,
2000,Bukit Batok,,2021,1927,2870,13904,0,9597,1084
2000,Bukit Merah,,2064,1662,1889,9053,0,6347,1795
2000,Bukit Panjang,,1536,1228,2483,11907,0,6393,724
2000,Bukit Timah,,483,1231,1309,6688,0,3730,1253
2000,Central Water Catchment,No Data,,,,,,,
2000,Changi,,14,6,16,72,0,72,0
2000,Changi Bay,No Data,,,,,,,
2000,Choa Chu Kang,,1984,1615,5052,17032,0,8628,1207
2000,Clementi,,1533,1500,1231,6711,0,4685,1473
2000,Downtown Core,,59,58,24,200,0,178,67
2000,Geylang,,1804,1550,2086,9682,0,6626,1031
2000,Hougang,,3696,3061,5387,22023,0,13456,2291
2000,Jurong East,,1654,1393,1958,8690,0,6094,1173
2000,Jurong West,,3255,2956,5228,21491,0,13226,1880
2000,Kallang,,1224,1168,1401,6609,0,4398,911
2000,Lim Chu Kang,No Data,,,,,,,
2000,Mandai,No Data,,,,,,,
2000,Marina East,No Data,,,,,,,
2000,Marina South,No Data,,,,,,,
2000,Marine Parade,,547,706,596,3318,0,2186,582
2000,Museum,No Data,,,,,,,
2000,Newton,,31,73,95,467,0,298,82
2000,North-Eastern Islands,No Data,,,,,,,
2000,Novena,,502,606,776,3363,0,1999,648
2000,Orchard,No Data,,,,,,,
2000,Outram,,327,182,189,1068,0,817,264
2000,Pasir Ris,,1386,1267,4342,14733,0,5541,830
2000,Paya Lebar,No Data,,,,,,,
2000,Pioneer,No Data,,,,,,,
2000,Punggol,No Data,,,,,,,
2000,Queenstown,,997,1038,1447,5773,0,3642,1007
2000,River Valley,,54,137,139,626,0,323,162
2000,Rochor,,316,213,188,1009,0,770,192
2000,Seletar,No Data,,,,,,,
2000,Sembawang,,419,264,657,2631,0,1494,223
2000,Sengkang,,873,623,1276,5457,0,3155,331
2000,Serangoon,,1789,1982,2585,12977,0,8044,1677
2000,Simpang,No Data,,,,,,,
2000,Singapore River,No Data,,,,,,,
2000,Southern Islands,No Data,,,,,,,
2000,Straits View,No Data,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,
2000,Tampines,,4178,3563,6609,28644,0,17309,1745
2000,Tanglin,,43,304,232,1095,0,581,200
2000,Tengah,No Data,,,,,,,
2000,Toa Payoh,,1723,1439,1903,8691,0,5797,1178
2000,Tuas,No Data,,,,,,,
2000,Western Islands,No Data,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,
2000,Woodlands,,2410,1986,6373,21499,0,11898,1056
2000,Yishun,,3186,2286,3985,20223,0,12784,1262
2010,Ang Mo Kio,,2966,2102,2501,10897,595,8754,3208
2010,Bedok,,6343,4364,4103,20171,1326,15944,5550
2010,Bishan,,2274,1704,1562,6490,357,5711,2824
2010,Boon Lay,No Data,,,,,,,
2010,Bukit Batok,,3202,2708,2372,11574,598,9601,3224
2010,Bukit Merah,,2433,1472,1874,8052,462,6390,2330
2010,Bukit Panjang,,3078,2277,2545,11233,574,8963,2752
2010,Bukit Timah,,759,1600,1338,5470,163,4150,2413
2010,Central Water Catchment,No Data,,,,,,,
2010,Changi,,31,25,81,240,7,133,12
2010,Changi Bay,No Data,,,,,,,
2010,Choa Chu Kang,,4531,3417,3166,16530,819,15224,2976
2010,Clementi,,1374,973,1403,5521,319,4262,1822
2010,Downtown Core,,56,26,39,149,13,103,63
2010,Geylang,,2394,1649,1515,7135,464,6450,1924
2010,Hougang,,5441,3600,2960,15800,978,14462,4934
2010,Jurong East,,1559,1265,1370,6270,277,5140,1873
2010,Jurong West,,5931,3794,5116,22029,1078,17625,4402
2010,Kallang,,1347,1100,1297,5499,303,4602,1458
2010,Lim Chu Kang,No Data,,,,,,,
2010,Mandai,,25,19,32,90,0,133,25
2010,Marina East,No Data,,,,,,,
2010,Marina South,No Data,,,,,,,
2010,Marine Parade,,605,601,766,3186,195,2309,851
2010,Museum,No Data,,,,,,,
2010,Newton,,65,85,74,458,30,298,103
2010,North-Eastern Islands,No Data,,,,,,,
2010,Novena,,548,681,668,2807,165,2504,844
2010,Orchard,No Data,,,,,,,
2010,Outram,,271,98,141,598,44,546,135
2010,Pasir Ris,,4290,2808,2144,12782,569,13160,2367
2010,Paya Lebar,No Data,,,,,,,
2010,Pioneer,No Data,,,,,,,
2010,Punggol,,903,448,1787,5228,112,2539,729
2010,Queenstown,,1367,1239,1290,5516,302,4726,1599
2010,River Valley,,38,171,95,659,30,441,133
2010,Rochor,,188,144,194,626,101,621,258
2010,Seletar,No Data,,,,,,,
2010,Sembawang,,1444,912,1716,6656,228,4262,1148
2010,Sengkang,,3443,1705,3938,15320,641,9176,2477
2010,Serangoon,,2578,2350,1708,8477,458,7515,3606
2010,Simpang,No Data,,,,,,,
2010,Singapore River,,0,14,34,87,0,45,27
2010,Southern Islands,No Data,,,,,,,
2010,Straits View,No Data,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,
2010,Tampines,,7117,4495,3859,20452,1265,18435,5259
2010,Tanglin,,80,279,244,1127,72,920,288
2010,Tengah,No Data,,,,,,,
2010,Toa Payoh,,2253,1574,1740,7650,452,6335,2181
2010,Tuas,No Data,,,,,,,
2010,Western Islands,No Data,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,
2010,Woodlands,,6170,3563,4936,24048,999,19306,3055
2010,Yishun,,4585,2618,2837,13178,857,11083,3441
2015,Ang Mo Kio,,3000,2300,3000,11700,200,8200,3400
2015,Bedok,,5500,4200,3200,18400,700,15000,7500
2015,Bishan,,1400,1500,1300,5800,400,4100,3100
2015,Boon Lay,,0,0,0,0,0,0,0
2015,Bukit Batok,,3600,2300,1800,8400,700,8100,4400
2015,Bukit Merah,,2200,2100,2200,8900,200,5500,2400
2015,Bukit Panjang,,4100,2000,2500,10600,200,8600,3000
2015,Bukit Timah,,600,1600,1300,5300,200,4200,2500
2015,Central Water Catchment,,0,0,0,0,0,0,0
2015,Changi,,0,0,0,0,0,0,0
2015,Changi Bay,,0,0,0,0,0,0,0
2015,Choa Chu Kang,,5500,3300,2400,12600,600,12200,5000
2015,Clementi,,900,900,1500,5300,200,3100,1700
2015,Downtown Core,,0,0,0,0,0,0,0
2015,Geylang,,1300,1200,1700,6500,300,4500,2700
2015,Hougang,,5000,3000,2600,13500,500,13000,6100
2015,Jurong East,,1200,1300,800,6200,200,3600,1800
2015,Jurong West,,6000,5000,5000,21700,500,17000,5600
2015,Kallang,,1500,1000,1200,4800,600,4600,1500
2015,Lim Chu Kang,,0,0,0,0,0,0,0
2015,Mandai,,0,0,0,0,0,0,0
2015,Marina East,,0,0,0,0,0,0,0
2015,Marina South,,0,0,0,0,0,0,0
2015,Marine Parade,,400,500,1000,2400,100,1700,1100
2015,Museum,,0,0,0,0,0,0,0
2015,Newton,,0,0,0,0,0,0,0
2015,North-Eastern Islands,,0,0,0,0,0,0,0
2015,Novena,,500,500,600,3200,100,2000,1000
2015,Orchard,,0,0,0,0,0,0,0
2015,Outram,,300,100,300,1200,0,400,400
2015,Pasir Ris,,4900,2600,2200,10000,800,9600,5000
2015,Paya Lebar,,0,0,0,0,0,0,0
2015,Pioneer,,0,0,0,0,0,0,0
2015,Punggol,,1500,800,2300,9200,200,4300,1200
2015,Queenstown,,1600,1500,1200,5000,100,3200,2300
2015,River Valley,,0,0,0,0,0,0,0
2015,Rochor,,0,0,0,0,0,0,0
2015,Seletar,,0,0,0,0,0,0,0
2015,Sembawang,,2000,900,1600,7100,100,4100,2200
2015,Sengkang,,5000,3100,4900,19300,600,13400,3400
2015,Serangoon,,1800,2000,1300,7100,200,6100,4200
2015,Simpang,,0,0,0,0,0,0,0
2015,Singapore River,,0,0,0,0,0,0,0
2015,Southern Islands,,0,0,0,0,0,0,0
2015,Straits View,,0,0,0,0,0,0,0
2015,Sungei Kadut,,0,0,0,0,0,0,0
2015,Tampines,,6700,4200,2900,15900,1100,13800,7900
2015,Tanglin,,0,300,100,1800,0,700,500
2015,Tengah,,0,0,0,0,0,0,0
2015,Toa Payoh,,2800,1200,1000,7300,300,5400,2700
2015,Tuas,,0,0,0,0,0,0,0
2015,Western Islands,,0,0,0,0,0,0,0
2015,Western Water Catchment,,0,0,0,0,0,0,0
2015,Woodlands,,6300,5700,3700,18400,800,17900,3900
2015,Yishun,,4000,3100,3000,12400,400,10000,3600
2020,Ang Mo Kio,,2832,2131,1857,8066,527,5628,3674
2020,Bedok,,3923,3309,3290,14572,580,10517,7785
2020,Bishan,,1344,1431,840,5012,223,3676,3056
2020,Boon Lay,,0,0,0,0,0,0,0
2020,Bukit Batok,,2686,2592,2077,8485,500,6604,4464
2020,Bukit Merah,,1892,1739,1857,8530,427,4992,2758
2020,Bukit Panjang,,3192,2292,1989,8761,546,6588,4108
2020,Bukit Timah,,617,1582,1232,5916,151,4125,3398
2020,Central Water Catchment,,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0
2020,Choa Chu Kang,,4839,3094,2487,11760,705,9140,6683
2020,Clementi,,1202,1364,1246,5873,272,3671,2282
2020,Downtown Core,,18,25,29,61,0,59,60
2020,Geylang,,1620,1214,1430,5301,230,4054,2377
2020,Hougang,,4216,3233,2349,11445,714,8843,6058
2020,Jurong East,,1474,1115,747,3670,279,3144,2021
2020,Jurong West,,5928,4281,3732,17935,830,13221,5833
2020,Kallang,,1347,1054,1161,4700,147,3806,1993
2020,Lim Chu Kang,,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0
2020,Marine Parade,,458,652,625,3048,101,2087,1313
2020,Museum,,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0
2020,Novena,,538,627,711,3489,93,1995,1109
2020,Orchard,,0,0,0,0,0,0,0
2020,Outram,,117,173,219,944,52,492,286
2020,Pasir Ris,,3618,2273,1661,8529,566,6784,5838
2020,Paya Lebar,,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0
2020,Punggol,,2699,1953,4921,16275,356,8685,2302
2020,Queenstown,,1077,1095,1134,5364,176,3477,2030
2020,River Valley,,62,168,193,767,12,468,317
2020,Rochor,,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0
2020,Sembawang,,2388,1388,1726,7749,273,5455,2107
2020,Sengkang,,4996,2996,4974,21822,648,12968,5185
2020,Serangoon,,1852,1516,999,5535,361,4678,4117
2020,Simpang,,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0
2020,Tampines,,4835,3658,3312,13812,584,10165,6906
2020,Tanglin,,86,298,354,1713,53,1038,626
2020,Tengah,,0,0,0,0,0,0,0
2020,Toa Payoh,,1892,1476,1585,6337,299,4795,2669
2020,Tuas,,0,0,0,0,0,0,0
2020,Western Islands,,0,0,0,0,0,0,0
2020,Western Water Catchment,,0,0,0,0,0,0,0
2020,Woodlands,,6934,4312,3201,15395,1067,12621,6388
2020,Yishun,,3727,3328,3579,13373,707,9396,4268
