Year,Planning Area,chinese,indian,malays,others
2000,Ang Mo Kio,7153872317,64016222,71757162,698815
2000,Bedok,98376100424,99559245,2449224781,30533230
2000,Bishan,3768338620,36583560,24692653,645686
2000,Bukit Batok,4219941829,50454713,100039768,470464
2000,Bukit Merah,5331153920,65425297,42344001,391532
2000,Bukit Panjang,3406433235,26542561,77077444,239321
2000,Bukit Timah,1357514744,654681,88120,417431
2000,Choa Chu Kang,5111850141,46594502,1292612601,389472
2000,Clementi,2826729528,32393078,65376245,416429
2000,Hougang,7953179903,57875795,91609223,8681004
2000,Jurong East,2670826266,26862626,60635846,239319
2000,Jurong West,6546963153,74096937,1770117137,528715
2000,Kallang,3296731881,64394450,35073272,298393
2000,Marine Parade,1328315124,23682436,20412107,543632
2000,Novena,1306413735,15551399,633675,178264
2000,Outram,49824585,781240,254242,2544
2000,Pasir Ris,3855139350,35713310,1062810487,10321115
2000,Queenstown,3126033183,34413230,52075114,553610
2000,Sembawang,63496245,646596,17011664,7393
2000,Sengkang,1244912346,875878,20952149,124144
2000,Serangoon,5085152751,49925195,34283386,854962
2000,Tampines,7261173353,66846353,2520625571,17411998
2000,Toa Payoh,4362845539,40953882,48354862,605761
2000,Woodlands,5706255870,81297687,2160421110,807988
2000,Yishun,5724856357,89288746,1353613411,867981
2010,Ang Mo Kio,7122075746,75327420,63556518,20062500
2010,Bedok,1.0231E+11,1302812320,2317824001,58846216
2010,Bishan,3761939684,36603563,19312114,13201407
2010,Bukit Batok,5123053035,79427315,1017910303,20102183
2010,Bukit Merah,6051264172,81807610,56535697,20442414
2010,Bukit Panjang,4785648223,46534508,1034010258,13771519
2010,Bukit Timah,2826132103,16851812,287433,27462987
2010,Changi,305338,199159,186147,2222
2010,Choa Chu Kang,6189661806,80167733,1469714483,22772383
2010,Clementi,3314436122,41983954,53965332,17051986
2010,Downtown Core,11811249,106116,515,2118
2010,Geylang,4483245822,56354983,75637831,18532107
2010,Hougang,8719189761,90408425,87298689,22112625
2010,Jurong East,3098431149,51314618,70767006,10031115
2010,Jurong West,9335091275,1461112518,2450424159,34443620
2010,Kallang,3705737509,74876477,36793630,13351552
2010,Marine Parade,1653719130,28532989,16731753,11401242
2010,Newton,16422088,300362,2033,462434
2010,Novena,1773119424,21152019,9831035,12581422
2010,Outram,81788018,829594,658628,235246
2010,Pasir Ris,4434645637,57685293,1361613611,27262814
2010,Punggol,2311523880,20131779,33373503,680827
2010,Queenstown,3583740431,42984026,40124254,20082186
2010,River Valley,25563183,499614,2039,609578
2010,Rochor,49915288,17281287,239261,140166
2010,Sembawang,2585826394,36653349,49315016,16501704
2010,Sengkang,6529266633,70396810,84178670,19612232
2010,Serangoon,5025453441,58795856,28542923,17221853
2010,Singapore River,512658,5646,513,236170
2010,Tampines,8507588602,1107910332,2850029084,42144857
2010,Tanglin,58767034,768812,89105,13011308
2010,Toa Payoh,4882353120,48954712,46854936,15161956
2010,Woodlands,7506974378,1422512932,3128630720,30573389
2010,Yishun,6361164569,100579627,1555115517,25272856
2015,Ang Mo Kio,6886074410,70407120,64406650,19002400
2015,Bedok,1.0101E+11,1288012210,2164022360,56906100
2015,Bishan,3748039740,35303470,17901980,13201400
2015,Boon Lay,,,,
2015,Bukit Batok,5005052030,70406670,96909880,18802030
2015,Bukit Merah,5889063740,77207410,67406690,21102580
2015,Bukit Panjang,5121052090,52705040,1121011020,15001740
2015,Bukit Timah,2974034420,17601900,310460,28803050
2015,Central Water Catchment,,,,
2015,Changi,580620,250220,390330,8060
2015,Changi Bay,,,,
2015,Choa Chu Kang,6139062070,83708110,1494014680,23102490
2015,Clementi,3351037140,38303790,49305030,15801790
2015,Downtown Core,13501470,160140,2020,200140
2015,Geylang,4353044500,52004700,75407730,17901940
