Year,Planning Area,,below_sgd_1000,no_working_person,sgd_10000_over,sgd_10000_to_10999,sgd_1000_to_1999,sgd_11000_to_11999,sgd_12000_to_12999,sgd_13000_to_13999,sgd_14000_to_14999,sgd_15000_to_17499,sgd_17500_to_19999,sgd_20000_over,sgd_2000_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,total
2000,Ang Mo Kio,,8352,,,,8079,,,,,,,,7409,7089,5074,4088,2954,2265,8793,,,54103
2000,Bedok,,10217,,,,9496,,,,,,,,9733,8560,6923,5192,4436,3386,16891,,,74833
2000,Bishan,,1964,,,,1769,,,,,,,,2255,2557,2267,2249,1934,1655,8305,,,24954
2000,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Bukit Batok,,2987,,,,4490,,,,,,,,5282,4916,3749,3135,2518,1961,7216,,,36253
2000,Bukit Merah,,10075,,,,6724,,,,,,,,5807,4935,3890,3286,2784,2079,6896,,,46476
2000,Bukit Panjang,,1768,,,,3246,,,,,,,,3976,3749,2916,2374,1813,1493,4836,,,26171
2000,Bukit Timah,,1730,,,,412,,,,,,,,650,832,612,764,702,694,10416,,,16812
2000,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Changi,,28,,,,47,,,,,,,,37,51,24,30,11,11,40,,,280
2000,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Choa Chu Kang,,1674,,,,3530,,,,,,,,5371,5563,5012,4180,3164,2623,6741,,,37858
2000,Clementi,,3682,,,,3159,,,,,,,,3597,3338,2517,2319,1724,1497,6071,,,27905
2000,Downtown Core,,281,,,,251,,,,,,,,141,167,175,109,68,43,192,,,1426
2000,Geylang,,6444,,,,5470,,,,,,,,4434,4050,2990,2414,2063,1447,5082,,,34393
2000,Hougang,,4828,,,,7346,,,,,,,,7672,7326,5951,4765,3826,2679,10400,,,54793
2000,Jurong East,,2096,,,,2829,,,,,,,,3599,3455,2779,2224,1741,1433,4733,,,24888
2000,Jurong West,,3994,,,,6673,,,,,,,,8582,8617,6973,5614,4298,3277,7707,,,55735
2000,Kallang,,6409,,,,4431,,,,,,,,3744,3143,2683,1853,1451,1205,4094,,,29013
2000,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Mandai,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Marine Parade,,2558,,,,1249,,,,,,,,1194,1095,875,714,809,568,4192,,,13254
2000,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Newton,,295,,,,16,,,,,,,,64,108,28,94,83,76,951,,,1715
2000,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Novena,,1863,,,,1117,,,,,,,,1051,1144,919,872,739,607,3972,,,12283
2000,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Outram,,2720,,,,1428,,,,,,,,880,760,552,509,272,234,691,,,8046
2000,Pasir Ris,,1028,,,,1890,,,,,,,,3070,3848,3406,3212,2849,2347,8153,,,29802
2000,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Punggol,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Queenstown,,6719,,,,4284,,,,,,,,3625,3308,2829,2031,1681,1393,5344,,,31214
2000,River Valley,,534,,,,73,,,,,,,,155,161,158,80,96,49,1420,,,2727
2000,Rochor,,977,,,,764,,,,,,,,679,593,454,424,298,158,622,,,4969
2000,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Sembawang,,543,,,,840,,,,,,,,1195,1036,838,817,472,381,1038,,,7160
2000,Sengkang,,637,,,,1607,,,,,,,,2095,2032,1967,1614,990,832,1994,,,13768
2000,Serangoon,,2864,,,,2883,,,,,,,,3413,3542,3129,2517,2187,1941,10700,,,33176
2000,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Singapore River,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Tampines,,4623,,,,6917,,,,,,,,9476,9465,7927,6060,5485,3693,12252,,,65898
2000,Tanglin,,493,,,,95,,,,,,,,123,191,140,152,147,179,2350,,,3870
2000,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Toa Payoh,,7547,,,,5256,,,,,,,,4660,4339,3262,2652,2339,1545,5565,,,37165
2000,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Woodlands,,4176,,,,7823,,,,,,,,8941,8521,6743,5240,3647,2637,6454,,,54182
2000,Yishun,,4408,,,,7106,,,,,,,,7970,6749,5645,4367,3554,2427,6629,,,48854
2010,Ang Mo Kio,,3136,8467,12137,,5549,,,,,,,,6055,5236,4565,3959,3357,2911,,2442,1891,59705
2010,Bedok,,3782,11143,25281,,6857,,,,,,,,7476,7362,6596,5825,5444,4352,,3807,3298,91224
2010,Bishan,,595,2855,10264,,1166,,,,,,,,1390,1717,1616,1594,1684,1622,,1380,1573,27457
2010,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Bukit Batok,,1136,3452,13088,,2849,,,,,,,,3486,3723,3537,3264,3024,2480,,2172,1922,44133
2010,Bukit Merah,,4142,10311,10685,,5324,,,,,,,,4495,3767,3679,3602,2918,2553,,2342,1809,55627
2010,Bukit Panjang,,846,2260,9320,,2324,,,,,,,,3092,3261,3250,3069,2618,2453,,2223,1623,36339
2010,Bukit Timah,,344,2612,12639,,340,,,,,,,,528,569,761,602,625,467,,610,561,20658
2010,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Changi,,25,31,147,,37,,,,,,,,59,84,139,94,60,21,,42,38,778
2010,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Choa Chu Kang,,846,2356,12899,,2463,,,,,,,,3491,4099,4213,3911,3926,3583,,3288,2839,47912
2010,Clementi,,1239,4321,8344,,2098,,,,,,,,2488,2319,2074,2251,1859,1520,,1155,1124,30792
2010,Downtown Core,,40,198,346,,112,,,,,,,,110,98,85,103,110,95,,84,47,1429
2010,Geylang,,2425,6097,7881,,3980,,,,,,,,3774,3563,3103,2760,2352,1781,,1424,1146,40285
2010,Hougang,,1749,5058,14850,,4899,,,,,,,,5714,5905,5223,5084,4501,3487,,3118,2697,62285
2010,Jurong East,,814,2470,6143,,1639,,,,,,,,2303,2350,2277,2166,1824,1663,,1449,1195,26292
2010,Jurong West,,2157,5400,15434,,5174,,,,,,,,7286,8217,7557,6606,6526,5553,,4520,3653,78083
2010,Kallang,,2588,6429,7117,,3460,,,,,,,,2957,2721,2356,2021,1726,1550,,1337,1213,35474
2010,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Mandai,,0,74,248,,19,,,,,,,,0,13,0,32,13,31,,53,6,489
2010,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Marine Parade,,525,3029,5671,,813,,,,,,,,906,910,728,692,677,449,,694,403,15498
2010,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Newton,,28,441,1152,,34,,,,,,,,59,72,71,77,102,51,,64,25,2175
2010,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Novena,,559,2194,5404,,1138,,,,,,,,1009,1046,815,784,667,636,,533,423,15207
2010,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Outram,,1076,2009,861,,928,,,,,,,,557,513,407,312,293,180,,154,98,7388
2010,Pasir Ris,,449,1694,12364,,1416,,,,,,,,1992,2667,2832,2931,2971,2567,,2350,1825,36057
2010,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Punggol,,175,806,5415,,690,,,,,,,,1090,1371,1527,1579,1674,1339,,1348,1030,18043
2010,Queenstown,,1753,6642,7856,,2832,,,,,,,,2733,2601,2061,2174,1789,1525,,1330,1068,34365
2010,River Valley,,6,387,1618,,26,,,,,,,,131,96,117,74,77,92,,66,57,2748
2010,Rochor,,253,888,1012,,378,,,,,,,,429,512,464,386,273,252,,203,203,5257
2010,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Sembawang,,317,829,5370,,839,,,,,,,,1547,1795,1996,2072,1885,1525,,1390,1047,20613
2010,Sengkang,,558,1800,13040,,2333,,,,,,,,3488,4025,4005,4421,4026,3831,,3428,2832,47787
2010,Serangoon,,863,3669,12484,,1853,,,,,,,,2299,2448,2626,2533,2152,1690,,1822,1548,35986
2010,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Singapore River,,19,117,472,,0,,,,,,,,9,25,24,37,29,19,,34,12,798
2010,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Tampines,,1812,5294,18454,,4646,,,,,,,,5922,6302,6235,6142,5625,5011,,4418,3729,73591
2010,Tanglin,,84,737,3546,,63,,,,,,,,122,138,155,165,129,121,,214,114,5588
2010,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Toa Payoh,,2894,7132,8456,,3914,,,,,,,,3850,3425,3052,2501,2254,2056,,1924,1518,42977
2010,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Woodlands,,1779,4249,12467,,5266,,,,,,,,6722,6898,7096,6192,5640,4566,,4242,3162,68279
2010,Yishun,,1534,4367,9620,,4817,,,,,,,,5820,5294,5295,4745,3850,3267,,2738,2229,53576
2015,Ang Mo Kio,,2100,8700,,2500,5400,1800,1600,1200,1700,2200,2000,6100,4400,3900,4000,3800,2900,3300,,2600,2300,62600
