Year,Planning Area,,person1,person2,person3,person4,person5,person6,person7,person_more_8
2000,Ang Mo Kio,,6687,9727,10920,12999,8500,3566,1087,616
2000,Bedok,,7003,12200,13862,18594,12887,6423,2382,1481
2000,Bishan,,1310,3964,4585,6945,4946,2106,773,325
2000,Boon Lay,No Data,,,,,,,,
2000,Bukit Batok,,2539,5998,7099,9873,6654,2756,918,415
2000,Bukit Merah,,6206,10870,9762,10445,6095,2100,709,290
2000,Bukit Panjang,,1181,3924,4656,7253,5629,2335,758,433
2000,Bukit Timah,,1154,2134,2442,3610,3675,2204,850,743
2000,Central Water Catchment,No Data,,,,,,,,
2000,Changi,,48,62,30,57,20,44,9,9
2000,Changi Bay,No Data,,,,,,,,
2000,Choa Chu Kang,,788,5481,6828,11599,8127,3413,1092,530
2000,Clementi,,3899,4987,5764,6541,4301,1625,546,242
2000,Downtown Core,,262,315,240,321,210,54,19,5
2000,Geylang,,3650,7019,6870,7812,5020,2540,991,491
2000,Hougang,,3014,7563,9816,15405,11222,4886,1852,1035
2000,Jurong East,,1606,3347,5092,6853,4938,2010,700,342
2000,Jurong West,,3166,8073,10223,15768,11331,4826,1622,726
2000,Kallang,,4178,6877,5422,6204,3918,1651,460,303
2000,Lim Chu Kang,No Data,,,,,,,,
2000,Mandai,No Data,,,,,,,,
2000,Marina East,No Data,,,,,,,,
2000,Marina South,No Data,,,,,,,,
2000,Marine Parade,,1966,2686,2403,2486,2009,965,401,337
2000,Museum,No Data,,,,,,,,
2000,Newton,,261,279,235,341,285,173,100,40
2000,North-Eastern Islands,No Data,,,,,,,,
2000,Novena,,1107,2376,2395,2773,1912,979,408,333
2000,Orchard,No Data,,,,,,,,
2000,Outram,,1786,2315,1549,1220,702,335,99,40
2000,Pasir Ris,,785,4198,5319,8342,6536,3103,1052,468
2000,Paya Lebar,No Data,,,,,,,,
2000,Pioneer,No Data,,,,,,,,
2000,Punggol,No Data,,,,,,,,
2000,Queenstown,,3774,8498,7012,6359,3589,1310,417,254
2000,River Valley,,540,470,401,452,444,218,122,79
2000,Rochor,,764,1013,893,1134,730,253,120,62
2000,Seletar,No Data,,,,,,,,
2000,Sembawang,,271,1384,1652,1863,1232,498,170,91
2000,Sengkang,,274,2491,2806,4039,2615,1077,357,111
2000,Serangoon,,2011,4584,5865,8876,6796,3114,1142,787
2000,Simpang,No Data,,,,,,,,
2000,Singapore River,No Data,,,,,,,,
2000,Southern Islands,No Data,,,,,,,,
2000,Straits View,No Data,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,
2000,Tampines,,3539,9201,12100,18262,13727,5927,2189,954
2000,Tanglin,,545,548,625,720,652,374,170,235
2000,Tengah,No Data,,,,,,,,
2000,Toa Payoh,,5939,7793,7631,7966,4797,1974,715,350
2000,Tuas,No Data,,,,,,,,
2000,Western Islands,No Data,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,
2000,Woodlands,,2241,9295,10607,14598,10581,4506,1541,812
2000,Yishun,,2711,7347,9856,13540,9490,4052,1233,625
2010,Ang Mo Kio,,10029,13021,13328,11705,6860,2864,1244,654
2010,Bedok,,12598,17613,18412,19446,12730,5989,2682,1756
2010,Bishan,,2654,4552,5553,6926,4330,2175,781,486
2010,Boon Lay,No Data,,,,,,,,
2010,Bukit Batok,,4719,7604,9262,11146,6782,2942,1059,617
2010,Bukit Merah,,10936,14920,11578,9625,5115,2297,749,407
2010,Bukit Panjang,,2472,5654,7140,9831,6442,3107,1072,620
2010,Bukit Timah,,2125,3105,3643,4370,3738,2014,1036,626
2010,Central Water Catchment,No Data,,,,,,,,
2010,Changi,,175,129,124,187,103,27,33,0
2010,Changi Bay,No Data,,,,,,,,
2010,Choa Chu Kang,,2764,6467,8985,13585,9094,4289,1781,947
2010,Clementi,,5534,7095,6422,5992,3334,1547,581,286
2010,Downtown Core,,413,330,257,270,69,70,7,12
2010,Geylang,,7750,8907,7921,7417,4471,2332,838,649
2010,Hougang,,5691,9820,13161,16276,9745,4712,1793,1086
2010,Jurong East,,3011,4369,6063,6214,3958,1754,517,407
2010,Jurong West,,7066,12858,16267,19548,13103,5577,2167,1497
2010,Kallang,,7760,8720,6820,6231,3651,1529,444,320
2010,Lim Chu Kang,No Data,,,,,,,,
2010,Mandai,,66,48,107,106,77,53,12,19
2010,Marina East,No Data,,,,,,,,
2010,Marina South,No Data,,,,,,,,
2010,Marine Parade,,2780,3360,2896,2893,1948,999,334,288
2010,Museum,No Data,,,,,,,,
2010,Newton,,442,485,352,349,358,132,43,14
2010,North-Eastern Islands,No Data,,,,,,,,
2010,Novena,,2458,3229,2994,2977,2090,824,394,243
2010,Orchard,No Data,,,,,,,,
2010,Outram,,2634,2122,1221,738,405,181,47,39
2010,Pasir Ris,,2201,4881,6260,9559,7356,3537,1495,768
2010,Paya Lebar,No Data,,,,,,,,
2010,Pioneer,No Data,,,,,,,,
2010,Punggol,,920,3877,4160,4845,2594,1094,393,161
2010,Queenstown,,6582,9565,7065,5632,3289,1510,493,229
2010,River Valley,,591,494,408,491,423,169,86,86
2010,Rochor,,1149,1245,1097,924,439,206,109,87
2010,Seletar,No Data,,,,,,,,
2010,Sembawang,,1106,3402,4414,5547,3650,1515,744,235
2010,Sengkang,,2264,8252,10582,13432,7862,3478,1381,536
2010,Serangoon,,3180,6335,7181,8750,5783,2645,1172,941
2010,Simpang,No Data,,,,,,,,
2010,Singapore River,,387,163,88,112,27,13,0,8
2010,Southern Islands,No Data,,,,,,,,
2010,Straits View,No Data,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,
2010,Tampines,,6308,11289,14696,19244,12128,6172,2457,1298
2010,Tanglin,,955,991,880,1107,818,476,138,223
2010,Tengah,No Data,,,,,,,,
2010,Toa Payoh,,8538,10423,8037,8056,4807,2135,698,283
2010,Tuas,No Data,,,,,,,,
2010,Western Islands,No Data,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,
2010,Woodlands,,5871,10228,12663,17020,11869,6256,2566,1806
2010,Yishun,,5532,9182,11203,13232,8411,3496,1481,1040
2015,Ang Mo Kio,,10400,15000,13300,12000,6700,,,
2015,Bedok,,12600,20300,18800,19200,12600,,,
2015,Bishan,,2700,5400,6300,6300,4900,,,
2015,Boon Lay,,0,0,0,0,0,,,
2015,Bukit Batok,,5200,8600,10300,10600,5900,,,
2015,Bukit Merah,,11100,15800,9600,10100,5400,,,
2015,Bukit Panjang,,3000,7200,9100,10800,6800,,,
2015,Bukit Timah,,2400,3600,4900,4700,4600,,,
2015,Central Water Catchment,,0,0,0,0,0,,,
2015,Changi,,0,0,0,0,0,,,
2015,Changi Bay,,0,0,0,0,0,,,
2015,Choa Chu Kang,,2800,7500,10800,13800,9000,,,
2015,Clementi,,5200,7900,6400,5600,3100,,,
2015,Downtown Core,,0,0,0,0,0,,,
2015,Geylang,,6500,8700,8300,7500,3400,,,
2015,Hougang,,5800,12100,14600,16000,9400,,,
2015,Jurong East,,3300,4900,5500,6200,3200,,,
2015,Jurong West,,6900,14000,16400,23000,12000,,,
2015,Kallang,,8100,9200,7000,6200,3600,,,
2015,Lim Chu Kang,,0,0,0,0,0,,,
2015,Mandai,,0,0,0,0,0,,,
2015,Marina East,,0,0,0,0,0,,,
2015,Marina South,,0,0,0,0,0,,,
2015,Marine Parade,,2200,4300,2600,3100,1900,,,
2015,Museum,,0,0,0,0,0,,,
2015,Newton,,0,0,0,0,0,,,
2015,North-Eastern Islands,,0,0,0,0,0,,,
2015,Novena,,2100,3700,3700,3100,1600,,,
2015,Orchard,,0,0,0,0,0,,,
2015,Outram,,2100,2600,1500,1400,500,,,
2015,Pasir Ris,,2900,6800,7900,10900,6400,,,
2015,Paya Lebar,,0,0,0,0,0,,,
2015,Pioneer,,0,0,0,0,0,,,
2015,Punggol,,1800,7400,8900,9000,3700,,,
2015,Queenstown,,7500,9600,7200,5900,3300,,,
2015,River Valley,,0,0,0,0,0,,,
2015,Rochor,,0,0,0,0,0,,,
2015,Seletar,,0,0,0,0,0,,,
2015,Sembawang,,1400,4300,5100,6300,3200,,,
2015,Sengkang,,3000,13400,14500,17400,10100,,,
2015,Serangoon,,4000,8100,7700,8900,5600,,,
2015,Simpang,,0,0,0,0,0,,,
2015,Singapore River,,0,0,0,0,0,,,
2015,Southern Islands,,0,0,0,0,0,,,
2015,Straits View,,0,0,0,0,0,,,
2015,Sungei Kadut,,0,0,0,0,0,,,
2015,Tampines,,8100,15000,16800,20600,10300,,,
2015,Tanglin,,1200,1300,1300,1400,1100,,,
2015,Tengah,,0,0,0,0,0,,,
2015,Toa Payoh,,7500,11600,9200,7400,4400,,,
2015,Tuas,,0,0,0,0,0,,,
2015,Western Islands,,0,0,0,0,0,,,
2015,Western Water Catchment,,0,0,0,0,0,,,
2015,Woodlands,,5900,13300,12900,18000,11200,,,
2015,Yishun,,7100,13900,13600,14300,8300,,,
2020,Ang Mo Kio,,12603,15564,12172,10414,5116,2834,980,537
2020,Bedok,,17598,23486,19081,17654,10727,4845,2631,1530
2020,Bishan,,4444,6352,6184,6131,3551,1686,682,413
2020,Boon Lay,,0,0,0,0,0,0,0,0
2020,Bukit Batok,,8445,12574,12465,10873,5868,2553,917,603
2020,Bukit Merah,,14151,17214,11016,9477,5033,1724,819,266
2020,Bukit Panjang,,4953,8955,9415,10166,6055,2450,1030,556
2020,Bukit Timah,,2464,3889,4412,5121,4515,2179,1295,737
2020,Central Water Catchment,,0,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0,0
2020,Choa Chu Kang,,5175,10812,12942,14893,8292,3752,1408,749
2020,Clementi,,6652,7989,6733,6291,3676,1443,566,259
2020,Downtown Core,,681,410,173,130,86,29,27,9
2020,Geylang,,10321,10529,8060,6276,3823,1826,732,492
2020,Hougang,,11031,17088,14966,16106,9321,3957,1688,952
2020,Jurong East,,4497,6627,5995,5239,2802,1329,465,259
2020,Jurong West,,10971,17005,17656,18524,10976,5382,2016,1349
2020,Kallang,,10816,11217,6883,5912,3684,1526,485,309
2020,Lim Chu Kang,,0,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0,0
2020,Marine Parade,,3367,3863,3176,2842,2110,940,418,354
2020,Museum,,0,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,0
2020,Novena,,3630,4302,3366,3217,2073,994,389,308
2020,Orchard,,0,0,0,0,0,0,0,0
2020,Outram,,2832,2195,1296,888,496,203,113,29
2020,Pasir Ris,,4790,8146,8749,10900,6883,3055,1462,814
2020,Paya Lebar,,0,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0,0
2020,Punggol,,5375,13023,12453,12781,7856,2972,1248,458
2020,Queenstown,,8278,10224,7181,5959,3411,1284,500,215
2020,River Valley,,869,794,571,740,603,223,117,58
2020,Rochor,,0,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0,0
2020,Sembawang,,4310,7162,6744,7466,4158,2097,676,437
2020,Sengkang,,8576,16046,17143,18989,11208,5095,1632,687
2020,Serangoon,,5384,7984,7800,7687,4694,2309,1178,1050
2020,Simpang,,0,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0,0
2020,Tampines,,10895,17995,18183,17600,10400,5341,2303,964
