Year,Planning Area,,no_family_nucleus,ofn_1_gen,ofn_2_gen,ofn_3_more_gen,tfn_1to2_gen,tfn_3_more_gen,three_more_fam_nucleus
2000,Ang Mo Kio,,9260,5383,33463,3306,722,1859,110
2000,Bedok,,10241,7280,47854,5055,1120,3115,168
2000,Bishan,,2194,2561,16936,1802,379,1055,28
2000,Boon Lay,No Data,,,,,,,
2000,Bukit Batok,,3905,4137,23770,2484,511,1341,105
2000,Bukit Merah,,9671,5115,27433,2381,590,1228,57
2000,Bukit Panjang,,1791,2687,18312,1767,477,1058,79
2000,Bukit Timah,,1805,1640,10748,1386,344,779,109
2000,Central Water Catchment,No Data,,,,,,,
2000,Changi,,86,20,149,0,9,15,0
2000,Changi Bay,No Data,,,,,,,
2000,Choa Chu Kang,,1604,4216,27167,2511,620,1667,73
2000,Clementi,,5114,2862,17012,1702,343,817,54
2000,Downtown Core,,327,171,746,96,52,33,0
2000,Geylang,,5989,3318,20825,2271,614,1299,78
2000,Hougang,,4569,4710,38039,3896,912,2538,128
2000,Jurong East,,2370,2282,16917,1743,444,1080,53
2000,Jurong West,,4981,6176,37763,3581,944,2206,84
2000,Kallang,,6560,3188,16280,1674,425,847,39
2000,Lim Chu Kang,No Data,,,,,,,
2000,Mandai,No Data,,,,,,,
2000,Marina East,No Data,,,,,,,
2000,Marina South,No Data,,,,,,,
2000,Marine Parade,,2980,1539,6956,956,162,622,38
2000,Museum,No Data,,,,,,,
2000,Newton,,349,232,888,133,37,71,6
2000,North-Eastern Islands,No Data,,,,,,,
2000,Novena,,1950,1408,7303,845,181,549,48
2000,Orchard,No Data,,,,,,,
2000,Outram,,2942,820,3711,344,48,177,5
2000,Pasir Ris,,1341,3400,20980,2253,492,1273,62
2000,Paya Lebar,No Data,,,,,,,
2000,Pioneer,No Data,,,,,,,
2000,Punggol,No Data,,,,,,,
2000,Queenstown,,5808,4535,18255,1534,305,724,52
2000,River Valley,,665,377,1366,200,33,79,6
2000,Rochor,,1130,514,2763,288,57,198,20
2000,Seletar,No Data,,,,,,,
2000,Sembawang,,455,1077,4876,391,98,249,15
2000,Sengkang,,595,1683,9810,825,212,615,28
2000,Serangoon,,3112,3014,22555,2331,511,1586,67
2000,Simpang,No Data,,,,,,,
2000,Singapore River,No Data,,,,,,,
2000,Southern Islands,No Data,,,,,,,
2000,Straits View,No Data,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,
2000,Tampines,,5127,6388,45544,4809,1004,2905,122
2000,Tanglin,,810,454,2115,249,62,145,35
2000,Tengah,No Data,,,,,,,
2000,Toa Payoh,,7914,3985,21619,2056,461,1071,59
2000,Tuas,No Data,,,,,,,
2000,Western Islands,No Data,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,
