Year,Planning Area,,below_sgd_1000,sgd_10000_to_10999,sgd_1000_to_1499,sgd_1000_to_1999,sgd_11000_to_11999,sgd_12000_14999,sgd_12000_over,sgd_15000_over,sgd_1500_to_1999,sgd_2000_to_2499,sgd_2000_to_2999,sgd_2500_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_over,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,total
2000,Ang Mo Kio,,10854,,13844,0,,0,,0,12797,11353,0,7852,11824,5515,3365,8336,,,,,,85740
2000,Bedok,,12884,,16002,0,,0,,0,16422,14915,0,10536,16662,8506,5884,17606,,,,,,119416
2000,Bishan,,2918,,3561,0,,0,,0,4483,4351,0,4036,7050,4522,3281,8472,,,,,,42675
2000,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Bukit Batok,,5463,,8221,0,,0,,0,8524,7769,0,5894,8784,4854,3299,7027,,,,,,59837
2000,Bukit Merah,,10246,,11161,0,,0,,0,9751,8802,0,6642,10053,5067,2917,5669,,,,,,70307
2000,Bukit Panjang,,3936,,6086,0,,0,,0,6748,6375,0,4694,7052,3436,1740,4449,,,,,,44516
2000,Bukit Timah,,1377,,946,0,,0,,0,1084,1637,0,1353,3086,2548,2267,13623,,,,,,27920
2000,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Changi,,69,,41,0,,0,,0,55,42,0,45,113,29,14,36,,,,,,444
2000,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Choa Chu Kang,,4777,,7081,0,,0,,0,9055,9683,0,7773,12193,5892,3475,5543,,,,,,65473
2000,Clementi,,4537,,5368,0,,0,,0,5847,5415,0,4446,6231,3696,2319,6253,,,,,,44112
2000,Downtown Core,,328,,319,0,,0,,0,272,262,0,273,324,164,56,157,,,,,,2154
