Year,Planning Area,,accommodation_food_services,admin_support_services,arts_entertainment_recreation,business_services,construction,financial_insurance_services,health_social_services,hotels_restaurants,information_communications,manufacturing,other_comm_social_personal,other_services_industries,others,professional_services,public_admin_education,real_estate_services,transport_communications,transportation_storage,wholesale_retail_trade
2000,Ang Mo Kio,,0,0,0,10457,6199,4516,0,6415,0,16722,0,17295,551,0,0,0,9553,0,14030
2000,Bedok,,0,0,0,15779,6742,8066,0,7632,0,19395,0,23298,806,0,0,0,16781,0,20918
2000,Bishan,,0,0,0,6631,1932,3191,0,2136,0,7021,0,9516,343,0,0,0,4427,0,7477
2000,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,
2000,Bukit Batok,,0,0,0,7612,3883,2798,0,2907,0,14799,0,11367,477,0,0,0,6100,0,9894
2000,Bukit Merah,,0,0,0,10545,3425,4389,0,6809,0,10671,0,13709,314,0,0,0,8447,0,11997
2000,Bukit Panjang,,0,0,0,5036,3384,1862,0,2378,0,10362,0,8273,533,0,0,0,4806,0,7882
2000,Bukit Timah,,0,0,0,5497,948,3300,0,676,0,3881,0,7097,205,0,0,0,1764,0,4552
2000,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,
2000,Changi,,0,0,0,45,5,14,0,78,0,29,0,200,5,0,0,0,29,0,38
2000,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,
2000,Choa Chu Kang,,0,0,0,7845,4663,2777,0,2892,0,16668,0,11818,519,0,0,0,7389,0,10901
2000,Clementi,,0,0,0,6480,1878,2563,0,2482,0,8713,0,10129,302,0,0,0,4921,0,6646
2000,Downtown Core,,0,0,0,311,93,168,0,295,0,220,0,292,14,0,0,0,277,0,484
2000,Geylang,,0,0,0,6546,3781,3074,0,4178,0,8791,0,9491,308,0,0,0,6207,0,9938
2000,Hougang,,0,0,0,10989,7186,5213,0,5415,0,17025,0,17707,754,0,0,0,11627,0,18077
2000,Jurong East,,0,0,0,5255,2334,1749,0,2358,0,11173,0,7772,364,0,0,0,4768,0,7030
2000,Jurong West,,0,0,0,10318,5757,3138,0,5183,0,29726,0,15927,621,0,0,0,10162,0,14649
2000,Kallang,,0,0,0,5643,2256,2627,0,3824,0,6926,0,7570,267,0,0,0,4879,0,8514
2000,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,
2000,Mandai,No Data,,,,,,,,,,,,,,,,,,,
2000,Marina East,No Data,,,,,,,,,,,,,,,,,,,
2000,Marina South,No Data,,,,,,,,,,,,,,,,,,,
2000,Marine Parade,,0,0,0,3305,722,2085,0,941,0,2120,0,3957,98,0,0,0,1999,0,3851
2000,Museum,No Data,,,,,,,,,,,,,,,,,,,
2000,Newton,,0,0,0,528,36,356,0,85,0,210,0,482,12,0,0,0,180,0,524
2000,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,
2000,Novena,,0,0,0,3068,1017,1737,0,1309,0,2470,0,4303,130,0,0,0,1797,0,3769
2000,Orchard,No Data,,,,,,,,,,,,,,,,,,,
2000,Outram,,0,0,0,1603,644,649,0,1440,0,1221,0,1759,38,0,0,0,1079,0,2183
2000,Pasir Ris,,0,0,0,6704,2437,3875,0,2165,0,8751,0,9451,302,0,0,0,8729,0,8425
2000,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,
2000,Pioneer,No Data,,,,,,,,,,,,,,,,,,,
2000,Punggol,No Data,,,,,,,,,,,,,,,,,,,
2000,Queenstown,,0,0,0,6745,2054,3016,0,3630,0,7118,0,9376,212,0,0,0,4823,0,7611
2000,River Valley,,0,0,0,882,76,634,0,104,0,428,0,759,26,0,0,0,322,0,671
