Year,Planning Area,,l1_chi,l1_eng,l1_mal,l1_non_off,l1_tam,l2_eng_chi,l2_eng_mal,l2_eng_non_off,l2_eng_tam,l2_other_two,l3_eng_chi_mal,l3_eng_mal_tam,l3_other_three,no_literate
2000,Ang Mo Kio,,40646,20331,2384,147,1025,54235,8847,300,3838,279,1450,506,577,13961
2000,Bedok,,45899,33234,7867,283,609,67068,31295,1138,2459,503,1699,285,1297,15173
2000,Bishan,,12250,15050,601,62,344,29220,4407,389,2174,127,645,302,361,3653
2000,Boon Lay,No Data,,,,,,,,,,,,,,
2000,Bukit Batok,,22482,12349,3863,97,567,32524,12040,640,3106,281,1987,340,610,6314
2000,Bukit Merah,,33832,15750,1831,121,1769,43019,5367,394,4008,201,705,554,393,15225
2000,Bukit Panjang,,19029,7255,2146,105,345,26128,9406,317,1679,198,728,222,257,5252
2000,Bukit Timah,,5271,14764,101,11,56,20559,1791,807,499,99,607,80,550,1226
2000,Central Water Catchment,No Data,,,,,,,,,,,,,,
2000,Changi,,86,123,26,10,16,158,119,0,72,0,11,17,5,69
2000,Changi Bay,No Data,,,,,,,,,,,,,,
2000,Choa Chu Kang,,23315,10741,2786,74,512,39572,15500,335,2835,234,1332,423,514,5481
2000,Clementi,,14897,11594,2308,120,423,27098,8274,623,2143,157,740,178,492,5541
2000,Downtown Core,,1301,431,16,0,50,1448,86,20,60,19,25,19,21,346
2000,Geylang,,25344,10054,2884,167,721,30907,10036,358,1698,218,786,193,379,10110
2000,Hougang,,40870,23314,2446,232,738,59522,11938,359,3374,342,1105,561,783,12535
2000,Jurong East,,16797,7281,2391,77,401,26088,9278,424,2103,136,930,277,378,5204
2000,Jurong West,,39913,13719,5503,136,825,52796,22010,902,4558,546,2873,605,666,10081
2000,Kallang,,20568,8813,1504,193,1554,24779,4324,513,3403,207,431,324,474,8457
2000,Lim Chu Kang,No Data,,,,,,,,,,,,,,
2000,Mandai,No Data,,,,,,,,,,,,,,
2000,Marina East,No Data,,,,,,,,,,,,,,
2000,Marina South,No Data,,,,,,,,,,,,,,
2000,Marine Parade,,5346,8916,654,46,88,11655,3426,741,473,62,308,84,294,2074
2000,Museum,No Data,,,,,,,,,,,,,,
2000,Newton,,377,1788,13,0,0,1300,276,228,26,11,61,0,101,64
2000,North-Eastern Islands,No Data,,,,,,,,,,,,,,
2000,Novena,,6539,8127,205,59,302,12065,1268,354,1076,67,325,95,287,2388
2000,Orchard,No Data,,,,,,,,,,,,,,
2000,Outram,,6693,1594,130,37,492,6250,343,85,328,52,128,14,77,3155
2000,Pasir Ris,,12612,13346,1553,54,145,30038,14274,465,1353,127,647,237,560,2960
2000,Paya Lebar,No Data,,,,,,,,,,,,,,
2000,Pioneer,No Data,,,,,,,,,,,,,,
2000,Punggol,No Data,,,,,,,,,,,,,,
2000,Queenstown,,18734,13026,2168,129,714,25630,6213,411,1881,155,992,409,462,8175
2000,River Valley,,772,2122,6,13,0,2486,248,261,45,0,225,0,227,137
2000,Rochor,,3881,1733,67,30,541,4253,285,47,859,32,93,93,61,1539
2000,Seletar,No Data,,,,,,,,,,,,,,
2000,Sembawang,,4460,2047,393,18,101,7168,2578,71,589,40,155,122,56,1047
2000,Sengkang,,9479,4508,583,45,93,14779,4155,98,821,26,199,114,157,2603
2000,Serangoon,,19498,19726,939,118,395,37649,5592,460,2609,182,687,386,541,5300
2000,Simpang,No Data,,,,,,,,,,,,,,
2000,Singapore River,No Data,,,,,,,,,,,,,,
2000,Southern Islands,No Data,,,,,,,,,,,,,,
2000,Straits View,No Data,,,,,,,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,,,,,,,
2000,Tampines,,37083,23400,6606,209,350,62077,36213,963,2592,414,1639,349,1181,10515
2000,Tanglin,,810,3577,0,16,5,3548,432,335,93,16,159,0,404,150
2000,Tengah,No Data,,,,,,,,,,,,,,
2000,Toa Payoh,,24592,15036,1780,101,569,33626,6369,350,2471,177,661,326,430,9547
2000,Tuas,No Data,,,,,,,,,,,,,,
2000,Western Islands,No Data,,,,,,,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,,,,,,,
2000,Woodlands,,32937,13619,5168,252,769,45349,28101,421,4711,459,2173,622,547,8636
2000,Yishun,,33614,15735,3794,157,773,43401,18699,910,6077,367,2289,623,613,8757
2010,Ang Mo Kio,,30511,16269,1748,197,595,65641,10500,2937,5786,678,4259,861,3178,10014
2010,Bedok,,36837,31341,4960,503,545,95125,38815,6937,4519,1181,6862,867,8283,10245
2010,Bishan,,9190,12151,377,50,256,39036,5238,1938,2522,157,2212,425,2301,2266
2010,Boon Lay,No Data,,,,,,,,,,,,,,
2010,Bukit Batok,,16888,10794,2110,238,311,51861,15791,3923,5069,482,4813,530,3940,3965
2010,Bukit Merah,,27131,13933,1397,277,1206,55065,8143,3418,5569,498,2719,811,2984,10410
2010,Bukit Panjang,,17815,7800,1620,167,204,47461,15534,1966,2895,443,2931,507,2625,3854
2010,Bukit Timah,,3803,12720,68,59,12,28112,2455,2439,573,116,1623,116,3175,761
2010,Central Water Catchment,No Data,,,,,,,,,,,,,,
2010,Changi,,126,171,36,6,7,379,544,20,164,14,106,61,68,54
2010,Changi Bay,No Data,,,,,,,,,,,,,,
2010,Choa Chu Kang,,19962,10707,2136,202,312,62600,21651,4013,5423,564,5082,737,3822,4015
2010,Clementi,,11127,9441,1503,149,364,32600,7473,2207,2604,208,2196,391,2355,3513
2010,Downtown Core,,806,342,0,8,19,1567,43,140,25,20,94,0,140,118
2010,Geylang,,20820,9164,2250,231,428,39846,11759,2352,2843,567,2825,449,2760,6300
2010,Hougang,,32291,19755,1648,280,616,85893,14611,3252,5759,533,3948,964,3882,8062
2010,Jurong East,,11533,6343,1504,134,379,29593,9488,1804,3697,388,2475,643,2323,3068
2010,Jurong West,,37019,14519,4709,438,795,85515,33825,5288,10125,1453,10257,1406,5134,7692
2010,Kallang,,17549,8718,1279,329,945,32253,5288,2742,3919,353,2056,391,2717,6042
2010,Lim Chu Kang,No Data,,,,,,,,,,,,,,
2010,Mandai,,167,182,0,0,0,621,77,31,98,0,22,19,39,44
2010,Marina East,No Data,,,,,,,,,,,,,,
