Year,Planning Area,,chinese_dialects,chn_dlt_eng,chn_dlt_mand,chn_dlt_oth_lang,eng_chn_dlt,eng_mand,eng_mly,eng_oth_ind_lang,eng_oth_lang,eng_tml,english,malay,mand_chn_dlt,mand_eng,mand_oth_lang,mandarin,mly_eng,mly_oth_lang,oth_ind_lang_eng,oth_ind_lang_oth_lang,oth_lang_eng,oth_lang_oth_non_eng_lang,other_indian_languages,others,tamil,tml_eng,tml_oth_lang
2000,Ang Mo Kio,,51339,0,0,0,0,0,0,0,0,0,30885,12537,0,0,0,61496,0,0,0,0,0,0,612,163,5840,0,0
2000,Bedok,,52639,0,0,0,0,0,0,0,0,0,62218,45041,0,0,0,73095,0,0,0,0,0,0,1572,693,2990,0,0
2000,Bishan,,17802,0,0,0,0,0,0,0,0,0,33010,4495,0,0,0,24195,0,0,0,0,0,0,394,218,2565,0,0
2000,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Bukit Batok,,22086,0,0,0,0,0,0,0,0,0,23175,19340,0,0,0,45157,0,0,0,0,0,0,1344,337,4370,0,0
2000,Bukit Merah,,53119,0,0,0,0,0,0,0,0,0,23184,7356,0,0,0,37276,0,0,0,0,0,0,734,288,7179,0,0
2000,Bukit Panjang,,18891,0,0,0,0,0,0,0,0,0,15755,14782,0,0,0,37130,0,0,0,0,0,0,447,155,2453,0,0
2000,Bukit Timah,,8141,0,0,0,0,0,0,0,0,0,33002,808,0,0,0,12228,0,0,0,0,0,0,224,338,393,0,0
2000,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Changi,,150,0,0,0,0,0,0,0,0,0,177,174,0,0,0,110,0,0,0,0,0,0,37,0,103,0,0
2000,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Choa Chu Kang,,22934,0,0,0,0,0,0,0,0,0,24608,23342,0,0,0,53364,0,0,0,0,0,0,718,102,4213,0,0
2000,Clementi,,19170,0,0,0,0,0,0,0,0,0,19511,11897,0,0,0,25343,0,0,0,0,0,0,778,325,2995,0,0
2000,Downtown Core,,1767,0,0,0,0,0,0,0,0,0,482,106,0,0,0,1366,0,0,0,0,0,0,14,14,102,0,0
2000,Geylang,,30844,0,0,0,0,0,0,0,0,0,17029,15554,0,0,0,37097,0,0,0,0,0,0,678,185,2687,0,0
2000,Hougang,,50583,0,0,0,0,0,0,0,0,0,42271,17593,0,0,0,72560,0,0,0,0,0,0,788,278,5022,0,0
2000,Jurong East,,19141,0,0,0,0,0,0,0,0,0,14384,14109,0,0,0,32064,0,0,0,0,0,0,501,316,2921,0,0
2000,Jurong West,,36230,0,0,0,0,0,0,0,0,0,25974,34022,0,0,0,79282,0,0,0,0,0,0,1358,635,6778,0,0
2000,Kallang,,27034,0,0,0,0,0,0,0,0,0,13970,6464,0,0,0,25897,0,0,0,0,0,0,999,213,5227,0,0
2000,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Mandai,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Marine Parade,,7391,0,0,0,0,0,0,0,0,0,15087,3649,0,0,0,8763,0,0,0,0,0,0,1150,101,625,0,0
2000,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Newton,,536,0,0,0,0,0,0,0,0,0,3004,155,0,0,0,738,0,0,0,0,0,0,63,63,46,0,0
2000,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Novena,,9217,0,0,0,0,0,0,0,0,0,14559,1221,0,0,0,9938,0,0,0,0,0,0,312,112,1457,0,0
2000,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Outram,,10004,0,0,0,0,0,0,0,0,0,1746,430,0,0,0,5283,0,0,0,0,0,0,52,20,812,0,0
2000,Pasir Ris,,13528,0,0,0,0,0,0,0,0,0,35001,17746,0,0,0,31205,0,0,0,0,0,0,485,133,1594,0,0
2000,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Punggol,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Queenstown,,29334,0,0,0,0,0,0,0,0,0,19033,9183,0,0,0,21553,0,0,0,0,0,0,587,311,3464,0,0
2000,River Valley,,1477,0,0,0,0,0,0,0,0,0,3760,132,0,0,0,1290,0,0,0,0,0,0,95,105,12,0,0
2000,Rochor,,5513,0,0,0,0,0,0,0,0,0,1850,257,0,0,0,4505,0,0,0,0,0,0,263,39,1641,0,0
2000,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Sembawang,,4261,0,0,0,0,0,0,0,0,0,4219,3493,0,0,0,9673,0,0,0,0,0,0,114,42,778,0,0
2000,Sengkang,,10114,0,0,0,0,0,0,0,0,0,8726,5678,0,0,0,20049,0,0,0,0,0,0,50,45,1068,0,0
2000,Serangoon,,24810,0,0,0,0,0,0,0,0,0,40057,6000,0,0,0,36828,0,0,0,0,0,0,625,189,3206,0,0
2000,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Singapore River,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Tampines,,41078,0,0,0,0,0,0,0,0,0,51087,52930,0,0,0,74217,0,0,0,0,0,0,957,514,3233,0,0
2000,Tanglin,,1501,0,0,0,0,0,0,0,0,0,6817,146,0,0,0,1532,0,0,0,0,0,0,101,289,85,0,0
2000,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Toa Payoh,,32304,0,0,0,0,0,0,0,0,0,23304,8775,0,0,0,34312,0,0,0,0,0,0,566,143,3298,0,0
2000,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Woodlands,,28008,0,0,0,0,0,0,0,0,0,27497,42335,0,0,0,69562,0,0,0,0,0,0,1216,312,6300,0,0
2000,Yishun,,35694,0,0,0,0,0,0,0,0,0,28448,26672,0,0,0,62512,0,0,0,0,0,0,2004,516,7496,0,0
2010,Ang Mo Kio,,32771,0,0,0,0,0,0,0,0,0,46338,10352,0,0,0,61143,0,0,0,0,0,0,1202,1522,6079,0,0
2010,Bedok,,37280,0,0,0,0,0,0,0,0,0,96675,38903,0,0,0,80351,0,0,0,0,0,0,3575,2372,4953,0,0
2010,Bishan,,10709,0,0,0,0,0,0,0,0,0,44620,3225,0,0,0,23841,0,0,0,0,0,0,540,954,2045,0,0
2010,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Bukit Batok,,15031,0,0,0,0,0,0,0,0,0,41029,17785,0,0,0,49889,0,0,0,0,0,0,2460,2096,5368,0,0
2010,Bukit Merah,,36709,0,0,0,0,0,0,0,0,0,37409,8624,0,0,0,41195,0,0,0,0,0,0,1057,1593,6995,0,0
2010,Bukit Panjang,,14239,0,0,0,0,0,0,0,0,0,33440,17673,0,0,0,51221,0,0,0,0,0,0,1039,1056,2758,0,0
2010,Bukit Timah,,4798,0,0,0,0,0,0,0,0,0,43439,304,0,0,0,11549,0,0,0,0,0,0,312,1422,366,0,0
2010,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Changi,,150,0,0,0,0,0,0,0,0,0,750,514,0,0,0,342,0,0,0,0,0,0,27,0,148,0,0
2010,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Choa Chu Kang,,17764,0,0,0,0,0,0,0,0,0,46003,24533,0,0,0,67434,0,0,0,0,0,0,2278,2146,5768,0,0
2010,Clementi,,13486,0,0,0,0,0,0,0,0,0,27571,7988,0,0,0,24284,0,0,0,0,0,0,1014,979,2976,0,0
2010,Downtown Core,,733,0,0,0,0,0,0,0,0,0,759,8,0,0,0,1316,0,0,0,0,0,0,80,70,70,0,0
2010,Geylang,,20707,0,0,0,0,0,0,0,0,0,27447,13969,0,0,0,37123,0,0,0,0,0,0,996,1309,3404,0,0
2010,Hougang,,32805,0,0,0,0,0,0,0,0,0,63388,14566,0,0,0,80880,0,0,0,0,0,0,1795,1438,6038,0,0
2010,Jurong East,,11948,0,0,0,0,0,0,0,0,0,20084,11502,0,0,0,29866,0,0,0,0,0,0,1061,1001,4308,0,0
2010,Jurong West,,29058,0,0,0,0,0,0,0,0,0,49634,41596,0,0,0,108075,0,0,0,0,0,0,3012,3109,11109,0,0
2010,Kallang,,17767,0,0,0,0,0,0,0,0,0,23414,5895,0,0,0,29154,0,0,0,0,0,0,1654,932,4712,0,0
2010,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Mandai,,230,0,0,0,0,0,0,0,0,0,686,43,0,0,0,395,0,0,0,0,0,0,0,0,53,0,0
2010,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Marine Parade,,4884,0,0,0,0,0,0,0,0,0,21012,2635,0,0,0,8962,0,0,0,0,0,0,1269,384,506,0,0
2010,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Newton,,204,0,0,0,0,0,0,0,0,0,3319,64,0,0,0,680,0,0,0,0,0,0,122,363,32,0,0
2010,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Novena,,6638,0,0,0,0,0,0,0,0,0,18953,1430,0,0,0,10244,0,0,0,0,0,0,489,676,1273,0,0
2010,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Outram,,4795,0,0,0,0,0,0,0,0,0,2041,882,0,0,0,4458,0,0,0,0,0,0,16,161,516,0,0
2010,Pasir Ris,,10119,0,0,0,0,0,0,0,0,0,56929,20280,0,0,0,35055,0,0,0,0,0,0,1120,1138,1574,0,0
2010,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Punggol,,5963,0,0,0,0,0,0,0,0,0,19430,4825,0,0,0,21235,0,0,0,0,0,0,1017,364,874,0,0
2010,Queenstown,,16181,0,0,0,0,0,0,0,0,0,30842,6629,0,0,0,23272,0,0,0,0,0,0,931,1221,3217,0,0
2010,River Valley,,657,0,0,0,0,0,0,0,0,0,4484,99,0,0,0,1029,0,0,0,0,0,0,118,313,25,0,0
2010,Rochor,,3147,0,0,0,0,0,0,0,0,0,2816,311,0,0,0,4484,0,0,0,0,0,0,183,55,1413,0,0
2010,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sembawang,,7278,0,0,0,0,0,0,0,0,0,19107,7607,0,0,0,28062,0,0,0,0,0,0,627,1504,2165,0,0
2010,Sengkang,,19906,0,0,0,0,0,0,0,0,0,46112,13992,0,0,0,65613,0,0,0,0,0,0,2730,1081,4270,0,0
2010,Serangoon,,16016,0,0,0,0,0,0,0,0,0,52649,4828,0,0,0,35374,0,0,0,0,0,0,1116,1036,3827,0,0
2010,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Singapore River,,57,0,0,0,0,0,0,0,0,0,776,68,0,0,0,103,0,0,0,0,0,0,0,56,0,0,0
2010,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Tampines,,27721,0,0,0,0,0,0,0,0,0,76645,50345,0,0,0,76917,0,0,0,0,0,0,3189,2321,4090,0,0
2010,Tanglin,,1074,0,0,0,0,0,0,0,0,0,10509,112,0,0,0,1562,0,0,0,0,0,0,165,575,26,0,0
2010,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Toa Payoh,,22355,0,0,0,0,0,0,0,0,0,36377,7005,0,0,0,37740,0,0,0,0,0,0,575,1007,3728,0,0
2010,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Woodlands,,19741,0,0,0,0,0,0,0,0,0,50698,51078,0,0,0,90263,0,0,0,0,0,0,2533,1892,9043,0,0
2010,Yishun,,23982,0,0,0,0,0,0,0,0,0,40711,24748,0,0,0,67705,0,0,0,0,0,0,1997,1358,6893,0,0
2015,Ang Mo Kio,,28400,0,0,0,0,0,0,0,0,0,58000,12800,0,0,0,56500,0,0,0,0,0,0,600,1300,6800,0,0
2015,Bedok,,30400,0,0,0,0,0,0,0,0,0,107600,34000,0,0,0,70400,0,0,0,0,0,0,2400,2400,5100,0,0
2015,Bishan,,10300,0,0,0,0,0,0,0,0,0,43800,1700,0,0,0,23100,0,0,0,0,0,0,500,500,2300,0,0
2015,Boon Lay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Bukit Batok,,13700,0,0,0,0,0,0,0,0,0,44600,12600,0,0,0,49900,0,0,0,0,0,0,1200,1400,4900,0,0
2015,Bukit Merah,,32400,0,0,0,0,0,0,0,0,0,46800,8100,0,0,0,37100,0,0,0,0,0,0,1300,3100,4600,0,0
2015,Bukit Panjang,,14900,0,0,0,0,0,0,0,0,0,42800,18400,0,0,0,54700,0,0,0,0,0,0,500,800,2300,0,0
2015,Bukit Timah,,5200,0,0,0,0,0,0,0,0,0,47300,300,0,0,0,11300,0,0,0,0,0,0,200,1100,200,0,0
2015,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Choa Chu Kang,,16900,0,0,0,0,0,0,0,0,0,54700,23100,0,0,0,62800,0,0,0,0,0,0,2800,2400,4700,0,0
