Year,Planning Area,divorced,married,single,widowed
2000,Ang Mo Kio,18302783,4157541664,2830623691,16517024
2000,Bedok,19893221,6211762027,3671331579,19009263
2000,Bishan,4911013,2182722083,108569857,5172941
2000,Bukit Batok,7751509,3145431381,1540512750,8073120
2000,Bukit Merah,16182452,3316132707,2424119546,18017643
2000,Bukit Panjang,418946,2421224232,111158971,5362635
2000,Bukit Timah,250499,1527415787,62046530,3021574
2000,Changi,55,215198,16294,529
2000,Choa Chu Kang,5481142,3634036421,1407111302,6393189
2000,Clementi,7021196,2123521376,1351612567,7473247
2000,Downtown Core,4154,10911014,770594,63217
2000,Geylang,11841824,2648026203,1764013886,10695568
2000,Hougang,12652127,4920449674,2665321648,13276221
2000,Jurong East,565892,2196722140,1279510387,5192498
2000,Jurong West,12621824,5007950051,2604419858,11484867
2000,Kallang,9751302,2121420308,1513211278,10524282
2000,Marine Parade,449712,96929936,54205569,3512038
2000,Newton,8553,13451435,568589,21148
2000,Novena,293448,98609913,53655140,3431794
2000,Outram,380413,47994451,43553209,3551419
2000,Pasir Ris,495973,2866428944,86197777,3932508
2000,Queenstown,11301765,2244122132,1402411860,8614884
2000,River Valley,50121,20082042,9481014,67291
2000,Rochor,144174,38073536,26542093,202905
2000,Sembawang,96298,66296696,23502084,140553
2000,Sengkang,202419,1304613044,50034360,1971389
2000,Serangoon,5331227,2939429734,1502913354,8373973
2000,Tampines,13172793,5908259851,2806924188,12057085
2000,Tanglin,62144,30813150,11711501,43395
2000,Toa Payoh,14091945,2635626558,1734715354,12865780
2000,Woodlands,11562280,4930849814,1979715882,10614464
2000,Yishun,11402332,4311742944,2252918030,11104604
2010,Ang Mo Kio,21974424,4299242420,2666624706,14788290
2010,Bedok,33035430,7125170419,4375339018,220411643
2010,Bishan,6521553,2296822999,1355012715,5563124
2010,Bukit Batok,11402531,3697136000,2089118214,7604208
2010,Bukit Merah,26273979,3636135498,2356020837,17388961
2010,Bukit Panjang,9211728,3266532551,1797815785,6933500
2010,Bukit Timah,469975,1774017795,78378901,4291887
2010,Changi,2935,623596,226198,48
2010,Choa Chu Kang,13772026,4442944071,2314820823,8524502
2010,Clementi,10731862,2186021758,1238112653,7313812
2010,Geylang,17422745,2837927105,1941716165,11615882
2010,Hougang,18343431,5292052325,3180930069,14927614
2010,Jurong East,7201299,2204321635,1359010731,5612794
2010,Jurong West,23233953,6937667399,3660330068,13617092
2010,Kallang,16582286,2315922392,1589613170,9375083
2010,Mandai,632,457404,159213,625
2010,Marine Parade,546984,1117411043,56525913,3942143
2010,Newton,79117,15131502,573763,41124
2010,Novena,610812,1137111217,58765919,3871931
2010,Outram,511518,35473247,33882395,2631202
2010,Pasir Ris,9681385,3342633255,1812715984,6753219
2010,Punggol,366859,1671016692,51085016,2091403
2010,Queenstown,13572385,2299422889,1286012821,8314894
2010,River Valley,58181,19401880,9461186,57243
2010,Rochor,186315,36203461,23592011,126782
2010,Sembawang,343899,1907818849,82797412,2651958
2010,Sengkang,10572089,4506945183,1781015994,7084082
2010,Serangoon,9861922,3073830404,1831416931,8924721
2010,Singapore River,4459,372389,264230,14
2010,Tampines,16844240,6271162616,3921535013,13668532
2010,Tanglin,184256,43924331,17711980,84380
2010,Toa Payoh,17683152,2856128502,1889617395,12756358
2010,Woodlands,21563722,6057759812,3215127139,12586129
2010,Yishun,20413730,4469643950,2702124112,10265856
2015,Ang Mo Kio,27004400,4410043900,2720024500,21008400
2015,Bedok,35005600,6820067400,4020035500,270012700
2015,Bishan,6001900,2240021900,1230012900,9003500
2015,Boon Lay,,,,
2015,Bukit Batok,14002800,3440034100,2080020400,11005200
2015,Bukit Merah,25004500,3670035100,2260020400,15009200
2015,Bukit Panjang,10001900,3830037200,1970017100,6003800
2015,Bukit Timah,400700,1990019600,72009500,3001500
2015,Central Water Catchment,,,,
2015,Changi,,,,
2015,Changi Bay,,,,
2015,Choa Chu Kang,12002900,4480044600,2440025100,10005100
2015,Clementi,12001500,2200021100,1040011100,11004300
2015,Downtown Core,,,,
2015,Geylang,22003000,2630024800,1590014000,8005500
2015,Hougang,19004400,5350052900,3210030600,15007800
2015,Jurong East,12001400,2150020200,1230010100,3003700
2015,Jurong West,27004700,7360072200,3810033400,19008400
2015,Kallang,17002400,2390022600,1390014000,10005200
2015,Lim Chu Kang,,,,
2015,Mandai,,,,
2015,Marina East,,,,
2015,Marina South,,,,
2015,Marine Parade,5001300,1020010000,57005800,2002100
2015,Museum,,,,
2015,Newton,,,,
2015,North-Eastern Islands,,,,
2015,Novena,400800,1120010900,66005600,3001400
2015,Orchard,,,,
2015,Outram,400600,52004800,27002400,2001100
