Year,Planning Area,,bus,car,lorry_pickup,motorcycle_scooter,mrt,mrt_bus,mrt_car,mrt_lrt_and_bus,mrt_lrt_only,mrt_other,no_transport_required,other_combi_mrt_lrt_or_bus,other_combi_mrt_or_bus,others,pvt_chartered_bus,pvt_chartered_bus_van,taxi,taxi_pvt_hire_car_only
2000,Ang Mo Kio,,12510,2925,10,149,944,2922,38,0,0,0,10918,0,0,1638,3485,0,30,0
2000,Bedok,,21231,5535,37,341,1184,4682,100,0,0,0,11917,0,0,3436,9633,0,83,0
2000,Bishan,,6292,2578,14,58,371,1335,53,0,0,0,5076,0,0,1428,4098,0,24,0
2000,Boon Lay,No Data,,,,,,,,,,,,,,,,,,
2000,Bukit Batok,,10037,1924,19,110,902,2564,34,0,0,0,10285,0,0,1362,4133,0,34,0
2000,Bukit Merah,,9867,1324,0,89,411,1805,10,0,0,0,5275,0,0,915,3050,0,62,0
2000,Bukit Panjang,,6871,1477,34,74,231,877,19,0,0,0,8355,0,0,2684,3630,0,19,0
2000,Bukit Timah,,3245,4146,0,26,38,432,24,0,0,0,1728,0,0,1644,3377,0,33,0
2000,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,
2000,Changi,,91,19,0,0,0,10,0,0,0,0,0,0,0,32,29,0,0,0
2000,Changi Bay,No Data,,,,,,,,,,,,,,,,,,
2000,Choa Chu Kang,,7742,1672,34,72,1655,3704,82,0,0,0,13514,0,0,1851,5182,0,10,0
2000,Clementi,,6561,1238,0,39,381,1389,0,0,0,0,4270,0,0,868,2372,0,14,0
2000,Downtown Core,,261,24,0,0,63,86,0,0,0,0,110,0,0,11,30,0,0,0
2000,Geylang,,7984,1699,12,88,597,2139,10,0,0,0,6355,0,0,1104,2753,0,38,0
2000,Hougang,,19542,3976,72,183,110,1843,5,0,0,0,14074,0,0,2312,7744,0,53,0
2000,Jurong East,,8131,1061,35,53,323,1478,5,0,0,0,6515,0,0,826,2496,0,38,0
2000,Jurong West,,16350,1870,10,140,1098,4360,34,0,0,0,17846,0,0,1517,4755,0,59,0
2000,Kallang,,5706,1114,14,87,308,994,0,0,0,0,4163,0,0,719,2576,0,29,0
2000,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,
2000,Mandai,No Data,,,,,,,,,,,,,,,,,,
2000,Marina East,No Data,,,,,,,,,,,,,,,,,,
2000,Marina South,No Data,,,,,,,,,,,,,,,,,,
2000,Marine Parade,,2964,1192,0,14,10,430,5,0,0,0,1155,0,0,596,1566,0,5,0
2000,Museum,No Data,,,,,,,,,,,,,,,,,,
2000,Newton,,186,328,0,0,34,24,5,0,0,0,61,0,0,103,298,0,7,0
2000,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,
2000,Novena,,2338,1514,0,24,98,403,23,0,0,0,1257,0,0,520,1685,0,34,0
2000,Orchard,No Data,,,,,,,,,,,,,,,,,,
2000,Outram,,1036,120,0,0,174,398,0,0,0,0,628,0,0,106,378,0,5,0
2000,Pasir Ris,,6316,2094,14,88,558,2178,29,0,0,0,10942,0,0,1549,4307,0,24,0
2000,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,
2000,Pioneer,No Data,,,,,,,,,,,,,,,,,,
2000,Punggol,No Data,,,,,,,,,,,,,,,,,,
2000,Queenstown,,4849,930,5,24,405,1215,38,0,0,0,3593,0,0,659,2141,0,43,0
2000,River Valley,,181,433,0,5,55,120,0,0,0,0,162,0,0,123,357,0,5,0
2000,Rochor,,1283,139,0,0,66,217,0,0,0,0,596,0,0,48,339,0,0,0
2000,Seletar,No Data,,,,,,,,,,,,,,,,,,
2000,Sembawang,,981,350,5,14,753,844,43,0,0,0,2143,0,0,154,403,0,0,0
2000,Sengkang,,4905,806,36,38,19,453,0,0,0,0,3359,0,0,561,1513,0,24,0
2000,Serangoon,,10196,4385,24,82,117,1301,38,0,0,0,4619,0,0,1957,6315,0,19,0
2000,Simpang,No Data,,,,,,,,,,,,,,,,,,
2000,Singapore River,No Data,,,,,,,,,,,,,,,,,,
2000,Southern Islands,No Data,,,,,,,,,,,,,,,,,,
2000,Straits View,No Data,,,,,,,,,,,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,
2000,Tampines,,18841,3533,67,237,1310,4907,62,0,0,0,21208,0,0,3213,8540,0,129,0
2000,Tanglin,,368,988,0,5,19,62,0,0,0,0,145,0,0,219,630,0,18,0
2000,Tengah,No Data,,,,,,,,,,,,,,,,,,
2000,Toa Payoh,,7048,1631,5,79,536,1496,29,0,0,0,5861,0,0,899,3101,0,45,0
2000,Tuas,No Data,,,,,,,,,,,,,,,,,,
2000,Western Islands,No Data,,,,,,,,,,,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,
2000,Woodlands,,9269,1827,45,134,3498,6078,125,0,0,0,17561,0,0,1642,4995,0,48,0
2000,Yishun,,9682,1753,57,146,3380,4908,50,0,0,0,18603,0,0,1162,3932,0,53,0
2010,Ang Mo Kio,,8837,4029,131,104,1541,4012,103,0,0,25,7803,0,0,1367,2729,0,97,0
2010,Bedok,,16868,8162,158,334,2085,7934,235,0,0,60,11696,0,0,3354,6387,0,148,0
2010,Bishan,,5917,3341,37,82,1175,3251,65,0,0,51,3154,0,0,1174,2461,0,76,0
2010,Boon Lay,No Data,,,,,,,,,,,,,,,,,,
