Year,Planning Area,,buddhism,catholic_christian,hinduism,islam,no_religion,other_christians,other_religions,sikhism,taoism
2000,Ang Mo Kio,,69977,7610,6122,11712,22019,12400,371,238,18075
2000,Bedok,,82393,11138,4960,42513,30159,21532,579,649,14887
2000,Bishan,,27477,6192,3247,4496,12642,10249,192,318,4772
2000,Boon Lay,No Data,,,,,,,,,
2000,Bukit Batok,,40220,3556,5038,17063,14344,9319,288,365,7009
2000,Bukit Merah,,58280,3959,5983,9336,20339,10960,178,557,13577
2000,Bukit Panjang,,33727,2669,2337,12282,9350,5639,158,232,6673
2000,Bukit Timah,,12579,4961,1047,962,11841,13155,261,140,1475
2000,Central Water Catchment,No Data,,,,,,,,,
2000,Changi,,154,53,76,174,104,60,0,37,53
2000,Changi Bay,No Data,,,,,,,,,
2000,Choa Chu Kang,,46189,2904,4260,19318,14356,8234,259,261,7872
2000,Clementi,,27421,3137,3046,11792,13367,9674,178,195,5774
2000,Downtown Core,,2189,159,105,173,657,194,0,0,366
2000,Geylang,,43323,2845,2232,15410,13502,6955,110,246,9231
2000,Hougang,,77103,10289,5473,15549,20835,12719,699,504,14946
2000,Jurong East,,29746,2028,2875,12619,10640,5848,66,261,7681
2000,Jurong West,,68301,3779,6306,29945,20311,9331,309,763,16089
2000,Kallang,,35678,2495,4546,8139,10945,6105,167,617,6852
2000,Lim Chu Kang,No Data,,,,,,,,,
2000,Mandai,No Data,,,,,,,,,
2000,Marina East,No Data,,,,,,,,,
2000,Marina South,No Data,,,,,,,,,
2000,Marine Parade,,10494,3158,2223,3834,6607,5560,176,433,1682
2000,Museum,No Data,,,,,,,,,
2000,Newton,,942,471,302,154,1013,1213,38,19,91
2000,North-Eastern Islands,No Data,,,,,,,,,
2000,Novena,,12906,2438,1743,1414,6128,5949,97,231,2250
2000,Orchard,No Data,,,,,,,,,
2000,Outram,,10305,296,648,928,3046,1321,62,56,2718
2000,Pasir Ris,,28131,4502,2267,15830,12936,10136,146,363,4061
2000,Paya Lebar,No Data,,,,,,,,,
2000,Pioneer,No Data,,,,,,,,,
2000,Punggol,No Data,,,,,,,,,
2000,Queenstown,,32677,4281,2787,9944,13632,9582,178,314,5702
2000,River Valley,,1885,832,299,55,1417,1746,31,20,258
2000,Rochor,,6780,446,1035,1078,2014,762,63,228,1109
2000,Seletar,No Data,,,,,,,,,
2000,Sembawang,,8298,651,865,3021,2561,1420,34,141,1854
2000,Sengkang,,18988,1479,1251,5071,4995,2574,107,111,3084
2000,Serangoon,,39948,8192,4461,5681,15881,12254,218,342,7105
2000,Simpang,No Data,,,,,,,,,
2000,Singapore River,No Data,,,,,,,,,
2000,Southern Islands,No Data,,,,,,,,,
2000,Straits View,No Data,,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,,
2000,Tampines,,72288,7731,4410,45257,23764,16442,417,578,12704
2000,Tanglin,,1990,1426,418,142,2358,2845,64,42,261
2000,Tengah,No Data,,,,,,,,,
2000,Toa Payoh,,44405,5691,3663,8574,14444,10141,175,434,8507
2000,Tuas,No Data,,,,,,,,,
2000,Western Islands,No Data,,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,,
2000,Woodlands,,55893,4531,6654,35530,17686,10149,150,538,12632
2000,Yishun,,59197,4791,9053,23575,15709,10080,357,466,12578
2010,Ang Mo Kio,,56082,12040,7775,11650,25820,15692,598,326,23191
2010,Bedok,,74930,20150,9628,45965,39471,30011,839,1095,24932
2010,Bishan,,23081,9966,3636,4347,16849,13439,282,134,6385
2010,Boon Lay,No Data,,,,,,,,,
2010,Bukit Batok,,37755,7287,7676,18708,21592,14166,290,371,12869
2010,Bukit Merah,,49565,7812,6326,11620,24693,15514,536,694,16799
2010,Bukit Panjang,,35922,5579,4213,17727,16598,10285,295,340,14862
2010,Bukit Timah,,11325,7578,1609,1012,14015,17100,238,211,2946
2010,Central Water Catchment,No Data,,,,,,,,,
2010,Changi,,378,93,226,662,159,73,0,31,133
2010,Changi Bay,No Data,,,,,,,,,
2010,Choa Chu Kang,,48826,6770,8064,25597,23302,13256,323,212,14878
2010,Clementi,,23541,5182,3782,9291,14737,11798,303,241,7255
2010,Downtown Core,,1354,228,81,120,696,369,47,33,395
2010,Geylang,,37224,5069,3628,16037,17417,9923,392,475,12432
2010,Hougang,,66781,15695,8420,16031,29174,18995,597,525,25277
2010,Jurong East,,24244,3121,4828,12743,12054,6488,208,338,9350
2010,Jurong West,,80021,7884,12736,42386,34020,14230,670,740,25488
2010,Kallang,,29687,4931,5664,8583,15316,9011,330,651,10406
2010,Lim Chu Kang,No Data,,,,,,,,,
2010,Mandai,,344,166,117,57,278,107,6,0,226
2010,Marina East,No Data,,,,,,,,,
2010,Marina South,No Data,,,,,,,,,
2010,Marine Parade,,10029,4613,2836,3512,7643,6570,285,282,2078
2010,Museum,No Data,,,,,,,,,
2010,Newton,,996,705,392,165,1121,1128,90,22,94
2010,North-Eastern Islands,No Data,,,,,,,,,
2010,Novena,,11813,4335,1814,2107,7464,6798,161,195,3436
2010,Orchard,No Data,,,,,,,,,
2010,Outram,,5956,528,554,1063,3146,1316,47,86,2375
2010,Pasir Ris,,29935,9178,3800,24198,16629,14406,359,499,8035
2010,Paya Lebar,No Data,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,
2010,Punggol,,17165,3496,2035,5671,8387,4872,111,84,4543
2010,Queenstown,,24416,6589,3691,8368,16288,13387,323,293,7677
2010,River Valley,,1330,1063,606,95,1520,1564,73,8,229
2010,Rochor,,5200,546,1172,1099,2196,1119,39,194,1295
2010,Seletar,No Data,,,,,,,,,
2010,Sembawang,,20444,4158,3079,8370,9702,5367,161,220,5581
2010,Sengkang,,51292,8963,6828,14604,22758,11537,332,186,15491
2010,Serangoon,,32975,11839,6593,5994,19740,16079,481,481,10726
2010,Simpang,No Data,,,,,,,,,
2010,Singapore River,,286,201,54,46,411,353,8,0,12
2010,Southern Islands,No Data,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,
2010,Tampines,,64543,13741,8429,53514,31279,22325,885,466,20195
2010,Tanglin,,2290,2299,759,262,3188,4045,140,57,338
2010,Tengah,No Data,,,,,,,,,
2010,Toa Payoh,,38437,9440,4426,8390,20122,13397,442,307,10947
2010,Tuas,No Data,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,
2010,Woodlands,,62974,8794,12335,50734,26115,13107,469,504,17913
2010,Yishun,,51354,8793,9878,26642,23095,11608,500,446,20115
2015,Ang Mo Kio,,56200,11700,6000,13900,26900,19300,300,200,22600
2015,Bedok,,70700,20000,9700,42700,37300,31900,900,1100,21700
2015,Bishan,,21200,9500,4300,2800,16900,13600,0,100,7800
2015,Boon Lay,,0,0,0,0,0,0,0,0,0
2015,Bukit Batok,,40600,7800,6700,15200,20700,16200,300,200,12300
2015,Bukit Merah,,50500,8300,5100,11300,26300,16300,500,900,13200
2015,Bukit Panjang,,41700,4600,3700,19500,21000,12700,100,200,16000
2015,Bukit Timah,,10300,8200,1600,700,15000,19800,100,0,3400
2015,Central Water Catchment,,0,0,0,0,0,0,0,0,0
2015,Changi,,0,0,0,0,0,0,0,0,0
2015,Changi Bay,,0,0,0,0,0,0,0,0,0
2015,Choa Chu Kang,,47700,8900,8600,26100,28100,13100,200,0,16600
2015,Clementi,,23500,4100,2100,8200,16300,12900,200,100,5300
2015,Downtown Core,,0,0,0,0,0,0,0,0,0
2015,Geylang,,32200,4000,3300,14400,18100,10800,100,500,8900
2015,Hougang,,71500,16700,6900,16000,35000,18500,100,100,19800
2015,Jurong East,,17500,3800,4700,13800,13200,5700,0,500,11500
2015,Jurong West,,87800,7400,15300,40800,40400,15900,500,700,26200
2015,Kallang,,28900,5500,5500,7600,18000,9700,400,1100,8100
2015,Lim Chu Kang,,0,0,0,0,0,0,0,0,0
