Period,Zone,Resale Price Adj 2024
2006–2010,PAP,232450
2006–2010,PAP,254945
2006–2010,PAP,239948
2006–2010,PAP,356923
2006–2010,PAP,241448
2006–2010,PAP,449903
2006–2010,PAP,245947
2006–2010,PAP,251946
2006–2010,PAP,571377
2006–2010,PAP,509141
2006–2010,PAP,337427
2006–2010,PAP,326930
2006–2010,PAP,311933
2006–2010,PAP,344926
2006–2010,PAP,599871
2006–2010,PAP,497893
2006–2010,PAP,379418
2006–2010,PAP,340427
2006–2010,PAP,257945
2006–2010,PAP,269942
2006–2010,PAP,357358
2006–2010,PAP,272941
2006–2010,PAP,236199
2006–2010,PAP,280260
2006–2010,PAP,257945
2006–2010,PAP,277440
2006–2010,PAP,269942
2006–2010,PAP,262444
2006–2010,PAP,247447
2006–2010,PAP,251946
2006–2010,PAP,262444
2006–2010,PAP,329929
2006–2010,PAP,244447
2006–2010,PAP,292437
2006–2010,PAP,577376
2006–2010,PAP,334428
2006–2010,PAP,278940
2006–2010,PAP,244447
2006–2010,PAP,229451
2006–2010,PAP,221952
2006–2010,PAP,224952
2006–2010,PAP,235449
2006–2010,PAP,238449
2006–2010,PAP,323930
2006–2010,PAP,239948
2006–2010,PAP,303217
2006–2010,PAP,299936
2006–2010,PAP,313433
2006–2010,PAP,220453
2006–2010,PAP,232450
2006–2010,PAP,397415
2006–2010,PAP,179961
2006–2010,PAP,238449
2006–2010,PAP,383917
2006–2010,PAP,311933
2006–2010,PAP,344926
2006–2010,PAP,284939
2006–2010,PAP,298436
2006–2010,PAP,239948
2006–2010,PAP,223452
2006–2010,PAP,287938
2006–2010,PAP,284939
2006–2010,PAP,344926
2006–2010,PAP,235449
2006–2010,PAP,382418
2006–2010,PAP,295137
2006–2010,PAP,224952
2006–2010,PAP,227951
2006–2010,PAP,439406
2006–2010,PAP,469399
2006–2010,PAP,557880
2006–2010,PAP,562379
2006–2010,PAP,389916
2006–2010,PAP,400414
2006–2010,PAP,388416
2006–2010,PAP,221952
2006–2010,PAP,224952
2006–2010,PAP,382418
2006–2010,PAP,434906
2006–2010,PAP,244447
2006–2010,PAP,413911
2006–2010,PAP,322431
2006–2010,PAP,206956
2006–2010,PAP,230950
2006–2010,PAP,461901
2006–2010,PAP,382418
2006–2010,PAP,509590
2006–2010,PAP,503892
2006–2010,PAP,347925
2006–2010,PAP,374919
2006–2010,PAP,269942
2006–2010,PAP,262444
2006–2010,PAP,302935
2006–2010,PAP,287938
2006–2010,PAP,337427
2006–2010,PAP,224952
2006–2010,PAP,509890
2006–2010,PAP,307434
2006–2010,PAP,314932
2006–2010,PAP,347925
2006–2010,PAP,344926
2006–2010,PAP,382418
2006–2010,PAP,524887
2006–2010,PAP,262444
2006–2010,PAP,245947
2006–2010,PAP,206956
2006–2010,PAP,319881
2006–2010,PAP,271442
2006–2010,PAP,221952
2006–2010,PAP,272941
2006–2010,PAP,260944
2006–2010,PAP,374919
2006–2010,PAP,363672
2006–2010,PAP,227951
2006–2010,PAP,230950
2006–2010,PAP,461901
2006–2010,PAP,226151
2006–2010,PAP,292437
2006–2010,PAP,209955
2006–2010,PAP,386917
2006–2010,PAP,344926
2006–2010,PAP,328429
2006–2010,PAP,370420
2006–2010,PAP,215204
2006–2010,PAP,343426
2006–2010,PAP,332928
2006–2010,PAP,449903
2006–2010,PAP,339677
2006–2010,PAP,337427
2006–2010,PAP,248946
2006–2010,PAP,266943
2006–2010,PAP,232450
2006–2010,PAP,271742
2006–2010,PAP,233950
2006–2010,PAP,233950
2006–2010,PAP,374919
2006–2010,PAP,404913
2006–2010,PAP,251946
2006–2010,PAP,250446
2006–2010,PAP,235149
2006–2010,PAP,427408
2006–2010,PAP,461901
2006–2010,PAP,611868
2006–2010,PAP,244447
2006–2010,PAP,314932
2006–2010,PAP,479897
2006–2010,PAP,491894
2006–2010,PAP,472398
2006–2010,PAP,337427
2006–2010,PAP,364422
2006–2010,PAP,322431
2006–2010,PAP,314932
2006–2010,PAP,326930
2006–2010,PAP,307434
2006–2010,PAP,479897
2006–2010,PAP,307434
2006–2010,PAP,449903
2006–2010,PAP,476897
2006–2010,PAP,437906
2006–2010,PAP,370432
2006–2010,PAP,413911
2006–2010,PAP,341926
2006–2010,PAP,352424
2006–2010,PAP,449903
2006–2010,PAP,388416
2006–2010,PAP,382418
2006–2010,PAP,367421
2006–2010,PAP,387499
2006–2010,PAP,329929
2006–2010,PAP,337427
2006–2010,PAP,349425
2006–2010,PAP,299936
2006–2010,PAP,337427
2006–2010,PAP,412411
