Year,Month,Latitude,Longitude,Postal Code,Region,Planning Area,Subzone,Block,Street Name,Flat Type,Flat Model,Storey Lower,Storey Upper,Floor Area Sqm,Lease Commence Date,Years Remaining,Closest Mrt,Closest Mrt Dist,Cbd Dist,Electoral Boundary,Ruling Party,Resale Price
1992,1,1.345675021,103.8480329,570104.0,CENTRAL REGION,BISHAN,BISHAN EAST,104.0,BISHAN ST 12,4 ROOM,SIMPLIFIED,4,6,84,1985,92,Braddell MRT Station,591.8049385,6939.813149,,,62000
1992,1,1.346100701,103.8478472,570106.0,CENTRAL REGION,BISHAN,BISHAN EAST,106.0,BISHAN ST 12,4 ROOM,MODEL A,1,3,105,1985,92,Bishan MRT Station,594.3436742,6987.924469,,,108000
1992,1,1.34780072,103.8493161,570116.0,CENTRAL REGION,BISHAN,BISHAN EAST,116.0,BISHAN ST 12,4 ROOM,SIMPLIFIED,1,3,89,1985,92,Bishan MRT Station,389.1719455,7168.731506,,,83000
1992,1,1.34780072,103.8493161,570116.0,CENTRAL REGION,BISHAN,BISHAN EAST,116.0,BISHAN ST 12,3 ROOM,SIMPLIFIED,1,3,64,1985,92,Bishan MRT Station,389.1719455,7168.731506,,,52000
1992,1,1.347349574,103.8505352,570119.0,CENTRAL REGION,BISHAN,BISHAN EAST,119.0,BISHAN ST 12,EXECUTIVE,MAISONETTE,7,9,143,1987,94,Bishan MRT Station,465.2284005,7115.954308,,,205000
1992,1,1.346476051,103.8512737,570124.0,CENTRAL REGION,BISHAN,BISHAN EAST,124.0,BISHAN ST 12,5 ROOM,IMPROVED,10,12,121,1987,94,Bishan MRT Station,585.460715,7018.856082,,,138800
1992,1,1.34711903,103.8515533,570125.0,CENTRAL REGION,BISHAN,BISHAN EAST,125.0,BISHAN ST 12,5 ROOM,IMPROVED,10,12,121,1987,94,Bishan MRT Station,536.1554573,7090.008788,,,189000
1992,1,1.346075894,103.8516948,570127.0,CENTRAL REGION,BISHAN,BISHAN EAST,127.0,BISHAN ST 12,4 ROOM,SIMPLIFIED,1,3,84,1986,93,Bishan MRT Station,645.3891642,6974.746557,,,82000
1992,1,1.34608832,103.8504668,570128.0,CENTRAL REGION,BISHAN,BISHAN EAST,128.0,BISHAN ST 12,5 ROOM,IMPROVED,22,24,121,1987,94,Bishan MRT Station,596.5831559,6976.598381,,,170000
1992,1,1.345467542,103.8517224,570133.0,CENTRAL REGION,BISHAN,BISHAN EAST,133.0,BISHAN ST 12,3 ROOM,SIMPLIFIED,4,6,64,1987,94,Bishan MRT Station,707.6461548,6907.499677,,,56000
1992,1,1.345411048,103.8520798,570134.0,CENTRAL REGION,BISHAN,BISHAN EAST,134.0,BISHAN ST 12,EXECUTIVE,APARTMENT,10,12,151,1986,93,Bishan MRT Station,730.2879804,6901.638515,,,255000
1992,1,1.346420297,103.8535925,570170.0,CENTRAL REGION,BISHAN,BISHAN EAST,170.0,BISHAN ST 13,4 ROOM,SIMPLIFIED,1,3,83,1987,94,Bishan MRT Station,733.8472645,7017.330081,,,70000
1992,1,1.346420297,103.8535925,570170.0,CENTRAL REGION,BISHAN,BISHAN EAST,170.0,BISHAN ST 13,5 ROOM,IMPROVED,7,9,121,1987,94,Bishan MRT Station,733.8472645,7017.330081,,,200000
1992,1,1.347751187,103.8542583,570173.0,CENTRAL REGION,BISHAN,BISHAN EAST,173.0,BISHAN ST 13,5 ROOM,IMPROVED,16,18,121,1987,94,Bishan MRT Station,692.6592889,7167.418828,,,190000
1992,1,1.348960622,103.853736,570175.0,CENTRAL REGION,BISHAN,BISHAN EAST,175.0,BISHAN ST 13,5 ROOM,IMPROVED,4,6,121,1987,94,Bishan MRT Station,573.9399102,7298.623431,,,190000
1992,1,1.348127431,103.8523303,570178.0,CENTRAL REGION,BISHAN,BISHAN EAST,178.0,BISHAN ST 13,4 ROOM,SIMPLIFIED,1,3,83,1987,94,Bishan MRT Station,500.3277897,7202.369389,,,82000
1992,1,1.349138096,103.8528785,570181.0,CENTRAL REGION,BISHAN,BISHAN EAST,181.0,BISHAN ST 13,4 ROOM,SIMPLIFIED,1,3,83,1987,94,Bishan MRT Station,480.6877923,7315.320496,,,82000
1992,1,1.349138096,103.8528785,570181.0,CENTRAL REGION,BISHAN,BISHAN EAST,181.0,BISHAN ST 13,5 ROOM,IMPROVED,4,6,121,1987,94,Bishan MRT Station,480.6877923,7315.320496,,,200000
1992,1,1.350205825,103.8530492,570182.0,CENTRAL REGION,BISHAN,BISHAN EAST,182.0,BISHAN ST 13,4 ROOM,SIMPLIFIED,1,3,83,1987,94,Bishan MRT Station,452.003563,7433.824154,,,100000
1992,1,1.349345586,103.8525788,570186.0,CENTRAL REGION,BISHAN,BISHAN EAST,186.0,BISHAN ST 13,EXECUTIVE,MAISONETTE,4,6,146,1987,94,Bishan MRT Station,440.3415455,7337.534406,,,230000
1992,1,1.361341729,103.8448747,570242.0,CENTRAL REGION,BISHAN,MARYMOUNT,242.0,BISHAN ST 22,4 ROOM,MODEL A,7,9,116,1992,99,Ang Mo Kio MRT Station,1083.549593,8692.089226,,,130000
1992,1,1.357284441,103.8393967,570022.0,CENTRAL REGION,BISHAN,UPPER THOMSON,22.0,SIN MING RD,3 ROOM,IMPROVED,1,3,68,1973,80,Upper Thomson MRT Station,789.6551936,8320.129463,,,36000
1992,1,1.350115061,103.8387276,570305.0,CENTRAL REGION,BISHAN,UPPER THOMSON,305.0,SHUNFU RD,3 ROOM,NEW GENERATION,10,12,67,1985,92,Marymount MRT Station,173.8511925,7551.987326,,,50000
1992,1,1.351478813,103.8371852,570313.0,CENTRAL REGION,BISHAN,UPPER THOMSON,313.0,SHUNFU RD,3 ROOM,NEW GENERATION,7,9,67,1985,92,Marymount MRT Station,394.9030552,7733.256155,,,60000
1992,1,1.362870322,103.833604,570403.0,CENTRAL REGION,BISHAN,UPPER THOMSON,403.0,SIN MING AVE,3 ROOM,SIMPLIFIED,7,9,64,1986,93,Upper Thomson MRT Station,938.0799665,9048.564629,,,56700
1992,1,1.286629213,103.8068619,150002.0,CENTRAL REGION,BUKIT MERAH,ALEXANDRA HILL,2.0,JLN BT MERAH,3 ROOM,IMPROVED,10,12,63,1975,82,Queenstown MRT Station,880.276815,4961.848134,,,45500
1992,1,1.287077496,103.8127058,150046.0,CENTRAL REGION,BUKIT MERAH,ALEXANDRA HILL,46.0,LENGKOK BAHRU,4 ROOM,MODEL A,1,3,111,1984,91,Redhill MRT Station,530.6765968,4318.812516,,,170000
1992,1,1.287613426,103.8122721,150051.0,CENTRAL REGION,BUKIT MERAH,ALEXANDRA HILL,51.0,LENGKOK BAHRU,5 ROOM,IMPROVED,7,9,122,1986,93,Redhill MRT Station,545.250253,4373.332386,,,180000
1992,1,1.292075251,103.8285841,160001.0,CENTRAL REGION,BUKIT MERAH,BUKIT HO SWEE,1.0,DELTA AVE,5 ROOM,IMPROVED,13,15,119,1983,90,Tiong Bahru MRT Station,673.7596322,2719.971269,,,160000
1992,1,1.291734122,103.8280261,161002.0,CENTRAL REGION,BUKIT MERAH,BUKIT HO SWEE,2.0,DELTA AVE,5 ROOM,IMPROVED,22,24,122,1985,92,Tiong Bahru MRT Station,623.1104661,2764.376868,,,160000
