Year,Month,Latitude,Longitude,Postal Code,Region,Planning Area,Subzone,Block,Street Name,Flat Type,Flat Model,Storey Lower,Storey Upper,Floor Area Sqm,Lease Commence Date,Years Remaining,Closest Mrt,Closest Mrt Dist,Cbd Dist,Electoral Boundary,Ruling Party,Resale Price,Resale Price Adj 2024,Closest Pri Sch Dist,Closest Pri Sch
2005,1,1.370577658,103.857854578,560561.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,561,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,7,9,92,1980,74,Ang Mo Kio MRT Station,926.04721338,9711.323311487,,,222500,336902,710.3248584430931,JING SHAN PRIMARY SCHOOL
2005,1,1.373607695,103.858204942,560550.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,550,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,10,12,82,1981,75,Ang Mo Kio MRT Station,1044.565363574,10048.361060922,,,200000,302833,736.2604688287598,JING SHAN PRIMARY SCHOOL
2005,1,1.374738413,103.855876768,560542.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,542,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,68,1981,75,Ang Mo Kio MRT Station,881.383790154,10156.743014206,,,215000,325545,534.6804607456914,JING SHAN PRIMARY SCHOOL
2005,1,1.371790676,103.854961174,560578.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,578,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,7,9,91,1980,74,Ang Mo Kio MRT Station,635.420812535,9826.468726456,,,228000,345230,366.3220942055414,JING SHAN PRIMARY SCHOOL
2005,1,1.374738413,103.855876768,560542.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,542,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,1,3,68,1981,75,Ang Mo Kio MRT Station,881.383790154,10156.743014206,,,220000,333116,534.6804607456914,JING SHAN PRIMARY SCHOOL
2005,1,1.371402396,103.854845849,560576.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,576,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,67,1980,74,Ang Mo Kio MRT Station,610.486307016,9783.045630751,,,169000,255894,363.3254490937007,JING SHAN PRIMARY SCHOOL
2005,1,1.372820008,103.857784026,560554.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,554,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,1,3,68,1981,75,Ang Mo Kio MRT Station,969.515766891,9958.015905415,,,105000,158987,677.8559300065738,JING SHAN PRIMARY SCHOOL
2005,1,1.370577658,103.857854578,560561.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,561,ANG MO KIO AVE 10,3 ROOM,NEW GENERATION,4,6,68,1980,74,Ang Mo Kio MRT Station,926.04721338,9711.323311487,,,157000,237724,710.3248584430931,JING SHAN PRIMARY SCHOOL
2005,1,1.374473785,103.854100516,560536.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,536,ANG MO KIO AVE 10,4 ROOM,NEW GENERATION,10,12,93,1980,74,Ang Mo Kio MRT Station,712.50595966,10119.502842998,,,247000,373999,356.3713057347862,JING SHAN PRIMARY SCHOOL
2005,1,1.373179219,103.856294541,560545.0,NORTH-EAST REGION,ANG MO KIO,CHENG SAN,545,ANG MO KIO AVE 10,5 ROOM,IMPROVED,22,24,118,1981,75,Ang Mo Kio MRT Station,831.194632278,9987.035683599,,,352888,534331,518.542429509488,JING SHAN PRIMARY SCHOOL
