town,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_remaining_lease,avg_mrt_distance,avg_cbd_distance
ANG MO KIO,251483.09544579356,220000.0,50898,81.4852057055287,76.19821996935046,621.7848691423887,9767.836170983976
BEDOK,270087.2210660405,240000.0,65157,88.16662829780377,77.31017388768666,757.1675639374454,9997.803496034074
BISHAN,415156.1475063601,392000.0,20833,105.7714683434935,83.1272980367686,684.678778061115,7768.269660311733
BUKIT BATOK,268037.35255853273,243500.0,42583,92.93145151821149,82.47479040931827,634.3874588945899,13670.205787640594
BUKIT MERAH,342340.6150415813,295000.0,33188,81.91620465228395,76.01943473544655,668.4161126560216,3414.673438335419
BUKIT PANJANG,326040.79793945275,308000.0,26789,103.50274366344395,85.95513083728396,991.4534242217435,14247.392299741374
BUKIT TIMAH,443494.7325723604,411000.0,2453,108.33591520587036,77.56543008560946,341.5400151225442,8999.71335962914
CENTRAL AREA,333620.1621271077,255000.0,6939,72.9626747369938,76.2324542441274,300.818394937855,1762.1746063799765
CHOA CHU KANG,340446.8684936695,332000.0,36964,111.90057894167298,86.92860621144898,678.3441033818048,16392.987338410763
CLEMENTI,278522.461112124,235000.0,27425,83.55755697356426,76.61101185050137,747.4977347974433,10118.180433250736
GEYLANG,267953.7290219329,235000.0,27493,81.44527697959481,74.53213545266068,435.8366932653131,6253.6706595566975
HOUGANG,311127.28365364997,290000.0,49014,99.98363732811033,82.74619496470396,816.7226837581385,10444.675427717119
JURONG EAST,277483.7554224334,256000.0,24205,96.45354265647593,80.11005990497831,860.9672316027512,13904.564464259418
JURONG WEST,287728.63286989066,273000.0,64661,100.18409860657893,82.69995824376363,823.9206039524983,17274.976224538204
KALLANG/WHAMPOA,315070.43493985076,276000.0,26268,83.93231308055428,75.37581848637124,487.1038341790226,4377.340761333094
LIM CHU KANG,63660.9375,61750.0,64,68.59375,84.640625,5471.18280593651,22405.555056502148
MARINE PARADE,335244.5828680203,300000.0,7880,85.29809644670051,70.89619289340102,1888.6463909669642,7201.381777328305
PASIR RIS,400214.4789235459,385000.0,32477,123.17236813745112,86.72149521199619,1094.3445877896966,14914.845343093617
PUNGGOL,469280.9479377219,460000.0,18305,99.46861513247747,91.2585086042065,1510.0744314499502,14407.903780657512
QUEENSTOWN,291583.47288147674,196000.0,28062,72.35952533675433,72.7220440453282,479.7079424502674,6466.36022866173
SEMBAWANG,370423.3181135951,366000.0,12659,105.37143534244412,88.839560786792,520.0522057294035,18840.559493958
SENGKANG,426605.45808313705,427000.0,30143,102.84487277311482,89.34157184089175,984.8584937859845,12826.453552769499
SERANGOON,322211.8814280595,293000.0,22324,98.66493459953413,82.15740906647554,1048.1366607922735,8873.958271896667
TAMPINES,329101.3886537919,315000.0,77982,104.14685440229796,83.54547203200738,678.1050132558955,13181.406548252502
TOA PAYOH,298245.3244933863,248888.0,30694,82.9698963966899,73.74555287678373,631.1160229031518,6010.58036631171
WOODLANDS,304915.5183275063,290000.0,63211,106.38112037461835,85.65091518881208,635.7200441424296,18557.836235595772
YISHUN,264094.8293637367,244000.0,67975,93.50231702831924,82.68050018389114,727.6105608230222,16049.078685938342
