town,flat_type,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_remaining_lease,avg_mrt_distance,avg_cbd_distance
ANG MO KIO,1 ROOM,48796.70995670996,50000.0,231,31.0,80.73593073593074,,
ANG MO KIO,2 ROOM,161293.7877094972,135500.0,716,44.43854748603352,73.27653631284916,422.5309260950812,9743.555125514851
ANG MO KIO,3 ROOM,193907.3021873736,172000.0,32139,71.15933912069448,75.54174056442329,634.4837422091568,9778.924448938898
ANG MO KIO,4 ROOM,309337.95972883544,270000.0,12391,93.23759180050037,76.73763215236866,602.2933166586924,9724.376253334274
ANG MO KIO,5 ROOM,470325.3342563291,432250.0,5056,120.58386075949367,79.03659018987342,616.8128024724724,9774.428540114493
ANG MO KIO,EXECUTIVE,630876.3452054794,585000.0,365,154.75616438356164,79.23287671232876,640.0567139545768,10231.841861291867
BEDOK,2 ROOM,135150.88457269702,115000.0,901,44.83795782463929,78.65260821309656,627.3719671855023,9634.737381513769
BEDOK,3 ROOM,190400.93750836345,168500.0,29892,68.55332530442928,75.24059949150275,817.490081956727,10102.493103034192
BEDOK,4 ROOM,285601.4924576806,254000.0,20617,92.37522432943688,78.25241305718582,699.0171968309126,10028.880973717529
BEDOK,5 ROOM,404471.7204980487,383000.0,10762,122.01245121724587,79.23332094406244,744.840466436721,9878.075417124544
BEDOK,EXECUTIVE,517141.26164154103,500000.0,2985,146.55946398659967,84.18827470686767,642.1058376332761,9283.481469445565
BISHAN,3 ROOM,214171.56863429968,188000.0,2863,65.5005239259518,78.50820817324485,526.9740066387169,7765.069499625991
BISHAN,4 ROOM,372662.601183432,347000.0,10140,97.73629191321498,83.84753451676528,722.4731598429153,7808.577610948304
BISHAN,5 ROOM,510665.75222009403,473000.0,5743,123.39839804979975,83.8596552324569,692.2687481653115,7642.392367350487
BISHAN,EXECUTIVE,636577.3130653267,602500.0,1990,151.15929648241206,83.9251256281407,690.1907627472117,7978.486861503174
BISHAN,MULTI GENERATION,518212.28571428574,545000.0,56,161.875,90.53571428571429,815.2361689519854,6789.611925924111
BISHAN,MULTI-GENERATION,693021.6585365854,675000.0,41,156.4390243902439,76.1219512195122,840.8853046769405,6788.399826644328
BUKIT BATOK,2 ROOM,335416.6666666667,339000.0,12,45.416666666666664,95.25,934.8491110792133,14032.506179279917
BUKIT BATOK,3 ROOM,177555.06797481165,155000.0,17786,68.94433824356236,81.21471944225796,646.7178232046401,13667.080924081662
