year,region,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_mrt_distance,avg_cbd_distance
1990,CENTRAL,61607.18126582279,45000.0,3950,74.1840506329114,613.5317629537487,5473.417697511114
1990,EAST,76622.55278310941,65800.0,2084,91.49040307101727,727.6905555275114,11343.788666884278
1990,NORTH,59326.52480705623,52400.0,907,87.6747519294377,734.0915604588612,17496.958542662174
1990,NORTH-EAST,70223.73356807511,52330.0,2556,84.48122065727699,710.0825590827551,9587.548674418518
1990,WEST,71504.79454787234,56000.0,3008,89.19946808510639,777.3482508697347,13882.35510370856
1991,CENTRAL,70868.98150105709,50000.0,3784,77.47595137420718,617.5287891501806,5535.328097184653
1991,EAST,83445.79530703944,70000.0,2003,93.46430354468298,725.6200073002005,11304.91772526007
1991,NORTH,65947.73527161438,58000.0,1307,89.79724560061209,701.3668329861894,17017.660426110695
1991,NORTH-EAST,70409.64674634793,53000.0,3012,84.35192563081009,701.1926220972484,9688.334431067098
1991,WEST,77267.40996726083,57000.0,2749,91.20771189523462,752.3293085049739,13660.035321861962
1992,CENTRAL,82697.82167748138,60000.0,4161,78.90242730112953,625.2181933901621,5593.145243787056
1992,EAST,87478.9152238806,71000.0,3350,91.89223880597015,700.6192118251083,11392.318281110915
1992,NORTH,78112.64830508475,62000.0,1416,92.40254237288136,683.7191762307802,16662.157728673123
1992,NORTH-EAST,85750.93416149069,64000.0,2415,88.68819875776397,710.9132660127631,9714.369045333664
1992,WEST,85036.48149319836,65000.0,3161,91.74976273331224,758.6516691729356,13654.38111027918
1993,CENTRAL,127133.61212861213,90000.0,4914,81.64733414733415,633.9374064731121,5700.4062609635885
1993,EAST,136702.65411275416,112000.0,4328,94.76871534195934,685.5263391900538,11633.153412283436
1993,NORTH,141526.5878489327,127000.0,2436,99.44334975369458,753.0267453696385,16424.694197595698
1993,NORTH-EAST,130722.38263785395,98350.0,2684,89.34761549925484,713.0888811093403,9694.25999838369
1993,WEST,131577.87719765582,106000.0,3754,94.90330314331379,792.6869173952397,13935.319277200046
1994,CENTRAL,163146.47453476983,115000.0,6126,81.50522363695723,646.7427197444669,5770.261545448973
1994,EAST,189949.9264339152,175000.0,6416,98.15445760598504,711.3053490262938,11881.70829082933
1994,NORTH,173431.64281592614,153000.0,3466,97.1197345643393,737.7078486114466,16459.489264913012
1994,NORTH-EAST,166192.64879425347,145000.0,3898,89.65854284248333,698.5297265993821,9719.638729175065
1994,WEST,167837.91758156795,153000.0,6467,95.2948817071285,795.8208704819442,14156.980095322962
1995,CENTRAL,207180.97746523895,153000.0,6257,82.56896276170689,643.42424012477,5745.088192863675
1995,EAST,229025.38883321403,215000.0,6985,97.01632068718683,704.6048199693245,11970.124615806342
1995,NORTH,211029.96506904956,183000.0,3693,97.02951529921474,735.0264885108012,16560.192130323012
1995,NORTH-EAST,206412.97395833334,185000.0,4032,90.33308531746032,701.4467934610725,9785.795835908948
1995,WEST,202615.5624802278,187000.0,6322,95.61420436570705,802.3140228581685,14449.965632563586
1996,CENTRAL,274097.24618502625,215000.0,8388,82.77896995708154,657.1812983069645,5932.524688710601
1996,EAST,303266.87711138313,285000.0,8170,95.24406364749082,710.606946721938,11916.143366577817
1996,NORTH,265326.04884054995,239500.0,4873,93.48573773855941,737.378776225294,16703.781559605588
1996,NORTH-EAST,285199.1301020408,256000.0,5488,91.88939504373178,747.3246967407305,9873.36451156949
1996,WEST,264666.900375,240000.0,8000,93.73325,794.7662101435589,14349.216589317366
1997,CENTRAL,304264.75347476226,270000.0,6835,85.55859546452085,652.491896244911,5927.599564256129
1997,EAST,350005.246271777,335000.0,7175,102.53588850174216,713.7369501503479,12281.090296802542
1997,NORTH,279367.01144267444,253000.0,4457,95.06977787749608,712.6806261876263,16746.89879290538
1997,NORTH-EAST,319085.93593199254,300000.0,4823,96.50673854447439,760.2721692560752,9905.387010675733
1997,WEST,284985.0475853111,276000.0,8469,96.12728775534302,761.4363989167114,14491.206363483474
1998,CENTRAL,244684.94358706987,190000.0,9590,83.43065693430657,631.3253077601614,5819.891860691782
1998,EAST,306493.8565400844,290000.0,13035,106.28185654008439,776.7752532645438,12738.757341513157
1998,NORTH,232304.35241087285,209000.0,7321,96.10353776806447,707.9387284913728,16858.661783310043
1998,NORTH-EAST,246640.37223235218,233000.0,7678,91.56381870278719,750.8950432787354,9846.590539295876
1998,WEST,239620.52935936456,231500.0,13471,96.94796228936234,771.961394656775,14543.821959728744
1999,CENTRAL,231899.02800999742,180000.0,11603,83.67172283030251,624.6173231521051,5748.651596554919
1999,EAST,295501.43836697127,283000.0,15211,107.40135428308461,799.8451254410301,12744.007399382608
1999,NORTH,239478.42924098426,226000.0,7681,103.51334461658638,697.3373978543129,17162.0390583448
1999,NORTH-EAST,233000.9972826087,218000.0,8464,91.25129962192817,746.916627569979,9803.041132418168
1999,WEST,241611.4076772583,230000.0,14823,101.90406800242866,768.3253393996388,15014.139821633758
2000,CENTRAL,246869.26869688384,193000.0,7060,83.30028328611898,610.4897432943618,5656.397268345041
2000,EAST,304008.03557919624,290000.0,8460,104.54078014184397,815.2551749070902,12637.842647876238
2000,NORTH,245059.65175660994,235000.0,5522,101.91108294096342,657.2298738831505,17248.785353314834
2000,NORTH-EAST,241106.55232100707,219000.0,5084,89.82218725413061,711.3096888194875,9827.125341816512
2000,WEST,240678.49084249084,227000.0,8736,97.62797619047619,775.820266257466,14823.448569355043
2001,CENTRAL,232368.72106448887,183000.0,7102,83.50675865953252,609.8803900764068,5608.979778549369
2001,EAST,283947.45188945293,267000.0,8865,104.93750705019741,838.504631443543,12529.966661986704
2001,NORTH,232612.60441134346,218000.0,6982,104.01962188484674,604.6972262928846,17638.725489739012
2001,NORTH-EAST,232495.84665839392,216800.0,5641,92.09147314305974,812.2420087666236,9954.814121116371
2001,WEST,228436.18848388802,216000.0,9465,100.40042260961437,762.3506853293915,14734.579991933606
2002,CENTRAL,229574.5677467973,185000.0,6635,82.98914845516202,626.145375422304,5711.474931129737
2002,EAST,264840.69534574467,250000.0,7520,103.17579787234042,835.2694539128984,12441.122884080043
2002,NORTH,217872.78816428676,205000.0,6793,102.6210805240689,642.9562905695708,17693.849982133754
2002,NORTH-EAST,229126.2269058296,219000.0,5575,94.53470852017938,845.5100653041742,9970.241969953626
2002,WEST,230268.50182767623,215000.0,9575,102.57535248041775,773.5801331743842,14865.672626097388
2003,CENTRAL,226902.94414414413,191000.0,5550,80.80594594594595,618.0788363571224,5590.955597254786
2003,EAST,255588.00992177066,244000.0,5241,99.30223239839725,781.8325302566217,12290.26069953204
2003,NORTH,220870.82386266094,213000.0,5825,100.46128755364806,620.0968906564293,17632.58499225161
2003,NORTH-EAST,231228.52327377014,222000.0,4533,93.14383410544893,787.5398508100905,10250.335450487853
2003,WEST,226134.67125031832,217000.0,7854,98.55513114336644,770.5309218886337,14696.688061973433
2004,CENTRAL,232940.407971864,200000.0,5971,80.48752302796852,603.0458147838135,5622.187726266331
2004,EAST,252960.3193124368,243000.0,4945,97.94883720930233,791.1178603311615,12161.138329477662
2004,NORTH,230308.7620933035,225000.0,5809,99.72559820967464,598.3034970519257,17651.82932086264
2004,NORTH-EAST,236033.13467724642,228000.0,4663,93.55393523482736,774.835148249318,10433.990715165215
2004,WEST,228636.55178663906,220000.0,7724,96.12946659761782,739.7428468512138,14924.223553566735
2005,CENTRAL,235336.42624313987,200000.0,6013,82.1984034591718,599.337164132434,5551.6171138858235
2005,EAST,249387.1252629566,243000.0,5229,100.86383629757124,802.3106362526175,12360.89610174901
2005,NORTH,228264.02812611967,225000.0,5582,100.30544607667503,601.6079867836766,17684.60245443284
2005,NORTH-EAST,232005.0083364911,228000.0,5278,93.79746115953013,779.1614509917804,10591.969081274665
2005,WEST,228839.88530781821,222000.0,7943,97.88631499433464,740.2741845874843,14968.51341650298
2006,CENTRAL,244085.75807875683,210000.0,5663,83.716934487021,612.8871633531609,5511.037099834433
2006,EAST,246568.52776031845,243000.0,4773,101.35428451707521,796.7407011841838,12341.57319761592
2006,NORTH,225741.30160405234,222000.0,4738,101.17053609117771,610.478406584211,17620.15359311118
2006,NORTH-EAST,237123.229125833,235000.0,5102,95.07781262250099,817.5022096558325,10776.77462602777
2006,WEST,228843.24066564118,223000.0,7151,98.41029226681583,756.1053672756564,15018.596423840956
2007,CENTRAL,286562.19599775574,252000.0,5347,85.12156349354778,615.5703222845069,5469.099679348157
2007,EAST,273215.02300437086,265000.0,4347,104.0706234184495,800.371636895072,12369.291345479684
2007,NORTH,241257.56741573033,240000.0,4806,103.15168539325843,632.4509289557951,17744.733304487163
2007,NORTH-EAST,268166.72638556437,265000.0,5431,98.64905174001105,923.3733178390179,11259.441372548667
2007,WEST,246906.30024110054,237500.0,7051,99.43781023968232,768.750140026511,15067.86361779248
2008,CENTRAL,349658.58946412354,313000.0,5505,85.1118982742961,615.716171812127,5506.933564944139
2008,EAST,327842.2549745488,320000.0,4322,103.42480333179084,789.0960515843967,12419.841600464297
2008,NORTH,281346.21886083874,282000.0,4793,101.94596286250783,646.4520125601564,17755.909898264174
2008,NORTH-EAST,325472.31305743847,323000.0,5606,98.70674277559758,958.082136672275,11246.250686385645
2008,WEST,302874.7551165435,295000.0,7036,99.98294485503126,759.2800331699957,15106.95397869682
2009,CENTRAL,364344.3165270894,328000.0,5851,84.56434797470519,606.6635864361298,5496.77668746214
2009,EAST,344558.75614591595,338000.0,5044,102.43735130848533,829.2775711793613,12479.827348336863
2009,NORTH,305924.35798352293,306000.0,5098,101.7347979599843,623.3050540508569,17756.85135044315
2009,NORTH-EAST,345797.900966937,348000.0,6412,99.0382096069869,990.723539601278,11353.585702411183
2009,WEST,328547.96236226324,324000.0,8077,100.61037513928439,763.3070174380281,15178.22819525015
2010,CENTRAL,411056.365942029,370000.0,6900,84.71594202898551,598.6270670306792,5457.102164191322
2010,EAST,385243.6482118294,377000.0,5816,102.22730398899587,800.9811388450021,12398.331312149889
2010,NORTH,344384.8690997567,340500.0,6165,101.93008921330089,649.5293603570439,17712.495285664278
2010,NORTH-EAST,390328.4628995434,388000.0,7008,98.64697488584476,930.980622841653,11203.562401067924
2010,WEST,368877.70976017846,360000.0,8965,100.65822643614055,778.1130223233216,15188.45725727659
2011,CENTRAL,453699.50959981495,407000.0,4323,83.12861438815638,594.8741985475584,5401.175255459333
2011,EAST,431967.96912714007,423000.0,3563,101.53381981476284,806.0666705630649,12376.946717514136
2011,NORTH,388302.44455445546,387750.0,4040,101.69381188118813,654.036577784602,17674.996122913544
2011,NORTH-EAST,440287.40482128016,438000.0,4812,97.88487115544473,951.5937357318513,11294.251865243166
2011,WEST,413150.5053220278,403000.0,5543,100.87966804979253,787.1190319607209,15255.009547025786
2012,CENTRAL,493039.7708236389,443000.0,4298,83.83550488599349,587.3226304755898,5421.482860306712
2012,EAST,471674.97709727223,457000.0,3886,102.39783839423572,816.6958375111761,12424.029602289036
2012,NORTH,423415.4659090909,418000.0,4224,101.76538825757575,649.8035998783221,17697.166644714296
2012,NORTH-EAST,478815.52273666806,479750.0,4838,98.35923935510542,955.3475971666288,11385.82113168228
2012,WEST,445005.75,433000.0,5952,100.30359543010752,778.7263901314417,15208.647417397011
